"Common.Name","Scientific.Name","Endemic.Near.Endemic","Long.Term.Trend","Current.Annual.Change","Range.Size","Long.Term.Status","Current.Status","Range.Status","Concern.Status","WLPA.Schedule","IUCN"
"Hair-crested Drongo","Dicrurus hottentottus","","-30.7±32.81","0.6±8.68","9.18±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Ashy Drongo","Dicrurus leucophaeus","","1.32±23.36","-0.49±3.89","23.28±0.06","Stable","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black Drongo","Dicrurus macrocercus","","32.16±13.5","-3.43±1.39","224.35±0.07","Stable","Moderate Decline","Very Large","Low","Schedule-IV","LC"
"Greater Racquet-tailed Drongo","Dicrurus paradiseus","","-47.26±16.97","-2.73±5.3","51.89±0.05","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Lesser Racquet-tailed Drongo","Dicrurus remifer","","-23.26±53.91","-8.69±9.07","14.43±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black-rumped Flameback","Dinopium benghalense","X","-12.89±14.56","4.62±3.25","129.02±0.08","Stable","Moderate Increase","Very Large","Low","Schedule-IV","LC"
"Common Flameback","Dinopium javanense","","","","7.17±0.06","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Himalayan Flameback","Dinopium shorii","X","-66.82±27.07","1.13±14.65","8.03±0.09","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Andaman Woodpecker","Dryocopus hodgei","X","","","0.5±0.01","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"White-bellied Woodpecker","Dryocopus javensis","","-55.58±26.62","-2.23±9.65","8.6±0.04","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Green Imperial-pigeon","Ducula aenea","","4.06±51.06","-7.66±6.76","23.61±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Mountain Imperial-pigeon","Ducula badia","","-73.07±10.22","4.03±7.69","17.12±0.05","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Tawny-bellied Babbler","Dumetia hyperythra","X","-42.29±16.08","-0.09±4.79","67.64±0.09","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Little Egret","Egretta garzetta","","-22.44±9.26","-6.98±1.56","195.91±0.08","Stable","Strong Decline","Very Large","Low","Schedule-IV","LC"
"Western Reef-egret","Egretta gularis","","-39.88±35.75","-4.93±9.06","6.35±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black-winged Kite","Elanus caeruleus","","-34.65±10.14","-5.67±2.33","197.28±0.11","Stable","Strong Decline","Very Large","Low","Schedule-I","LC"
"Yellow-breasted Bunting","Emberiza aureola","","","","","Data Deficient","Data Deficient","Data Deficient","High","Schedule-IV","CR"
"Red-headed Bunting","Emberiza bruniceps","","","5.11±19.76","16.77±0.09","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Grey-necked Bunting","Emberiza buchanani","","","-1.54±33.68","13.55±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Rock Bunting","Emberiza cia","","-28.02±57.15","0.3±15.39","18.88±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Crested Bunting","Emberiza lathami","","-62.54±18.25","-12.41±5.35","10.49±0.07","Moderate Decline","Strong Decline","Moderate","Moderate","Schedule-IV","LC"
"Black-headed Bunting","Emberiza melanocephala","","","20.72±20.43","15.76±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"White-capped Bunting","Emberiza stewarti","","","18.63±39.69","0.75±0.08","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Black-backed Forktail","Enicurus immaculatus","","","-3.38±82.6","10.99±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Spotted Forktail","Enicurus maculatus","","-16±47.32","-3.7±8.44","16.6±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Slaty-backed Forktail","Enicurus schistaceus","","","9.43±53.35","10.26±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Little Forktail","Enicurus scouleri","","-29.8±47.73","-3.57±10.66","15.36±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black-necked Stork","Ephippiorhynchus asiaticus","","-38.95±32.11","-12.51±5.34","20.56±0.07","Uncertain","Strong Decline","Moderate","Moderate","Schedule-IV","NT"
"Ashy-crowned Sparrow-lark","Eremopterix griseus","X","-51.19±10.36","-3.52±3.48","135.96±0.08","Moderate Decline","Uncertain","Very Large","Moderate","Schedule-IV","LC"
"White-bellied Erpornis","Erpornis zantholeuca","","","5.36±27.79","9.96±0.09","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Rusty-cheeked Scimitar-babbler","Erythrogenys erythrogenys","","-4.71±58.47","8.83±13.7","10.61±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Spot-breasted Scimitar-babbler","Erythrogenys mcclellandi","X","","","3.35±0.09","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Great Thick-knee","Esacus recurvirostris","","-55.23±19.85","-3.54±6.56","33.39±0.08","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","NT"
"Western Koel","Eudynamys scolopaceus","","59.45±19.63","5.35±2.3","186.2±0.08","Moderate Increase","Strong Increase","Very Large","Low","Schedule-IV","LC"
"Nilgiri Flycatcher","Eumyias albicaudatus","X","","","4.07±0.03","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Verditer Flycatcher","Eumyias thalassinus","","1.28±31.58","0.96±5.57","11.73±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Indian Silverbill","Euodice malabarica","","7.65±21.87","2.07±3.79","153.8±0.08","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Oriental Dollarbird","Eurystomus orientalis","","-5.99±69.24","-7.04±9.97","14.07±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Amur Falcon","Falco amurensis","","","-7.73±20.88","8.44±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Red-headed Falcon","Falco chicquera","","-64.59±12.98","-8.13±4.83","56.32±0.14","Strong Decline","Strong Decline","Large","High","Schedule-I","NT"
"Laggar Falcon","Falco jugger","","","7.32±37.69","15.43±0.07","Data Deficient","Uncertain","Moderate","Moderate","Schedule-I","NT"
