"Common.Name","Scientific.Name","Endemic.Near.Endemic","Long.Term.Trend","Current.Annual.Change","Range.Size","Long.Term.Status","Current.Status","Range.Status","Concern.Status","WLPA.Schedule","IUCN"
"Ashy Bulbul","Hemixos flavala","","-11.19±57.95","-3.04±10.09","14.48±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Forest Owlet","Heteroglaux blewitti","X","","","1.39±0.06","Data Deficient","Data Deficient","Restricted","High","Schedule-I","EN"
"Rufous Sibia","Heterophasia capistrata","X","32±85.03","3.66±12.57","11.17±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Grey Sibia","Heterophasia gracilis","X","","","3.73±0.06","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Beautiful Sibia","Heterophasia pulchella","X","","","3.65±0.06","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Gould's Shortwing","Heteroxenicus stellatus","X","","","0.88±0.03","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Booted Eagle","Hieraaetus pennatus","","9.1±67.96","-4.98±9.27","73.82±0.12","Uncertain","Uncertain","Large","Low","Schedule-I","LC"
"Large Hawk-cuckoo","Hierococcyx sparverioides","","-42.61±60.73","-3.08±16.32","6.68±0.09","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Common Hawk-cuckoo","Hierococcyx varius","X","-36.29±10.24","-3.39±2.47","159.36±0.11","Moderate Decline","Uncertain","Very Large","Moderate","Schedule-IV","LC"
"Black-winged Stilt","Himantopus himantopus","","-14.05±17.85","0.23±3.7","53.75±0.08","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Brown-backed Needletail","Hirundapus giganteus","","-64.71±26.55","-10.7±8.76","14.03±0.05","Moderate Decline","Moderate Decline","Moderate","Moderate","Schedule-IV","LC"
"Barn Swallow","Hirundo rustica","","-16.3±12.14","-0.41±2.27","140.63±0.09","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Wire-tailed Swallow","Hirundo smithii","","-5.91±20.4","-0.12±3.69","151.11±0.09","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Hume's Bush-warbler","Horornis brunnescens","X","","","3.62±0.11","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Aberrant Bush-warbler","Horornis flavolivaceus","","","10.25±82.04","9.45±0.11","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Brownish-flanked Bush-warbler","Horornis fortipes","","-27.73±56.25","-0.54±13.93","14.52±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Bengal Florican","Houbaropsis bengalensis","","","","1.84±0.07","Data Deficient","Data Deficient","Restricted","High","Schedule-I","CR"
"Pheasant-tailed Jacana","Hydrophasianus chirurgus","","-41.67±13.18","-0.66±4","101.44±0.1","Moderate Decline","Uncertain","Very Large","Moderate","Schedule-IV","LC"
"Caspian Tern","Hydroprogne caspia","","-57.73±31.6","2.98±14.44","19.69±0.06","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Blue-naped Pitta","Hydrornis nipalensis","","","","4.79±0.08","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Black-naped Monarch","Hypothymis azurea","","-46.84±13.57","-0.02±4.33","79.08±0.08","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Square-tailed Bulbul","Hypsipetes ganeesa","X","-73.73±13.09","-6.03±7.23","10.84±0.04","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Black Bulbul","Hypsipetes leucocephalus","","36.03±56.64","3.97±7.9","25.19±0.06","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Lesser Fish-eagle","Icthyophaga humilis","","","-7.87±7.67","8.45±0.05","Data Deficient","Uncertain","Moderate","Moderate","Schedule-I","NT"
"Grey-headed Fish-eagle","Icthyophaga ichthyaetus","","3.6±140.67","-4.96±20.99","12.52±0.07","Uncertain","Uncertain","Moderate","Moderate","Schedule-I","NT"
"Black Eagle","Ictinaetus malaiensis","","-34.77±18.42","-5.39±3.87","53.26±0.08","Stable","Moderate Decline","Large","Low","Schedule-I","LC"
"Booted Warbler","Iduna caligata","","-16.32±26.72","6.94±6.83","77.75±0.09","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Yellow-rumped Honeyguide","Indicator xanthonotus","X","","","2.13±0.06","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","NT"
"Asian Fairy-bluebird","Irena puella","","-58.02±18.62","-1.04±7.76","18.87±0.04","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Blood Pheasant","Ithaginis cruentus","","","","1.12±0.05","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-I","LC"
"Cinnamon Bittern","Ixobrychus cinnamomeus","","-67.06±10.88","-11.23±3.89","19.82±0.08","Strong Decline","Strong Decline","Moderate","High","Schedule-IV","LC"
"Black Bittern","Ixobrychus flavicollis","","6.12±43.81","-10.41±3.99","11.31±0.1","Uncertain","Strong Decline","Moderate","Moderate","Schedule-IV","LC"
"Yellow Bittern","Ixobrychus sinensis","","-3.2±33.13","-2.34±5.18","15.05±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Mountain Bulbul","Ixos mcclellandii","","","1.8±19.18","10.17±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Nicobar Bulbul","Ixos nicobariensis","X","","","0.03","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","NT"
"Eurasian Wryneck","Jynx torquilla","","-43.45±97.28","0.54±29.89","33.42±0.11","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Brown Fish-owl","Ketupa zeylonensis","","-39.5±19.06","-6.71±4.13","48.44±0.09","Stable","Moderate Decline","Large","Low","Schedule-IV","LC"
"Andaman Shama","Kittacincla albiventris","X","","0.79±13.95","0.49±0.03","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"White-rumped Shama","Kittacincla malabarica","","-12.61±32.03","-1.96±6.1","49.98±0.07","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Black-headed Cuckooshrike","Lalage melanoptera","X","-49.66±14.24","2.46±5.15","24.18±0.12","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Black-winged Cuckooshrike","Lalage melaschistos","","-31.48±73.13","10.66±25.92","6.82±0.44","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Brown Shrike","Lanius cristatus","","-31.66±21.41","-6.41±4.62","85.83±0.08","Stable","Moderate Decline","Large","Low","Schedule-IV","LC"
"Great Grey Shrike","Lanius excubitor","","-84.46±6.47","-7.9±5.88","4.26±0.07","Strong Decline","Moderate Decline","Moderate","High","Schedule-IV","LC"
"Isabelline Shrike","Lanius isabellinus","","-38.23±65.16","0.85±18.93","26.59±0.09","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Long-tailed Shrike","Lanius schach","","-18.26±14.37","-6.01±2.47","55.96±0.09","Stable","Strong Decline","Large","Moderate","Schedule-IV","LC"
"Grey-backed Shrike","Lanius tephronotus","","-51.33±39.92","3.92±16.53","14.41±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Bay-backed Shrike","Lanius vittatus","","-57.92±9.53","-4.46±3.37","129.4±0.09","Moderate Decline","Uncertain","Very Large","Moderate","Schedule-IV","LC"
"Brown-headed Gull","Larus brunnicephalus","","-73.39±17.11","-2.4±10.26","33.37±0.07","Strong Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Lesser Black-backed Gull","Larus fuscus","","-44.28±47.9","4.35±17.55","10.08±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Slender-billed Gull","Larus genei","","","-1.03±16.22","12.05±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Pallas's Gull","Larus ichthyaetus","","-41.99±46.75","-6.31±11.61","22.29±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black-headed Gull","Larus ridibundus","","-63.38±15.56","-4.83±6.42","29.6±0.07","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Indian Blue Robin","Larvivora brunnea","","-62.4±37.69","3.37±20.55","5.44±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Rufous-vented Grass-babbler","Laticilla burnesii","X","","","1.16±0.05","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","NT"
"Swamp Grass-babbler","Laticilla cinerascens","X","","","0.19","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","EN"
"Brown-fronted Woodpecker","Leiopicus auriceps","X","-24.14±43.77","-3.96±8.84","10.85±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Yellow-crowned Woodpecker","Leiopicus mahrattensis","","-72.1±7.61","-6.19±3.93","84.46±0.11","Strong Decline","Moderate Decline","Large","High","Schedule-IV","LC"
"Rufous-backed Sibia","Leioptila annectens","","","","3.21±0.07","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Silver-eared Mesia","Leiothrix argentauris","","","-12.53±31.37","9.27±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Red-billed Leiothrix","Leiothrix lutea","","70.02±130.56","-3.39±11.21","10.24±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Crimson-backed Sunbird","Leptocoma minima","X","-80.29±10.93","-1.17±9.66","17.12±0.04","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Purple-rumped Sunbird","Leptocoma zeylonica","X","20.34±20.45","1.5±2.95","120.4±0.07","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Greater Adjutant","Leptoptilos dubius","","","","4.63±0.08","Data Deficient","Data Deficient","Moderate","High","Schedule-IV","EN"
"Lesser Adjutant","Leptoptilos javanicus","","-25.15±43.99","-1.51±10.13","20.75±0.07","Uncertain","Uncertain","Moderate","Moderate","Schedule-IV","VU"
"Snow Partridge","Lerwa lerwa","","","","2.86±0.08","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Plain Mountain-finch","Leucosticte nemoricola","","-48.18±43.56","7.84±19.71","15.54±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Slaty-breasted Rail","Lewinia striata","","","-6.37±10.93","16±0.09","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Bar-tailed Godwit","Limosa lapponica","","","-1.18±39.96","6.23±0.05","Data Deficient","Uncertain","Moderate","Moderate","Schedule-IV","NT"
"Black-tailed Godwit","Limosa limosa","","-44.18±19.97","-1.15±5.98","45.54±0.07","Stable","Uncertain","Large","Low","Schedule-IV","NT"
"Bugun Liocichla","Liocichla bugunorum","X","","","0.06","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","CR"
"Red-faced Liocichla","Liocichla phoenicea","","","8.83±84.66","4.77±0.1","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Himalayan Grasshopper-warbler","Locustella kashmirensis","X","","","0.56","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","LC"
"Spotted Grasshopper-warbler","Locustella thoracica","","","","2.65±0.06","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Black-throated Munia","Lonchura kelaarti","X","","-3.93±10.32","11.14±0.04","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Tricoloured Munia","Lonchura malacca","X","5.85±30.35","-7.29±3.73","95.71±0.12","Uncertain","Strong Decline","Large","Moderate","Schedule-IV","LC"
"Scaly-breasted Munia","Lonchura punctulata","","49.64±27.63","-3.52±2.57","166.23±0.11","Uncertain","Uncertain","Very Large","Low","Schedule-IV","LC"
"White-rumped Munia","Lonchura striata","","-17.77±22.83","-7.62±3.46","72.29±0.08","Stable","Strong Decline","Large","Moderate","Schedule-IV","LC"
"Grey-crested Tit","Lophophanes dichrous","","","3.82±25.75","6.16±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Himalayan Monal","Lophophorus impejanus","X","","6.6±28.71","7.62±0.05","Data Deficient","Uncertain","Moderate","Low","Schedule-I","LC"
"Sclater's Monal","Lophophorus sclateri","X","","","0.12","Data Deficient","Data Deficient","Very Restricted","High","Schedule-I","VU"
"Rufous-bellied Eagle","Lophotriorchis kienerii","","-38.42±32.88","-9.13±6.08","20.2±0.08","Uncertain","Strong Decline","Moderate","Moderate","Schedule-I","NT"
"Kalij Pheasant","Lophura leucomelanos","","45.69±67.67","2.37±8.85","18.63±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-I","LC"
"Vernal Hanging-parrot","Loriculus vernalis","","-40.03±31.75","3.99±10.96","22.2±0.04","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"White-naped Tit","Machlolophus nuchalis","X","","","3.97±0.1","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Yellow-cheeked Tit","Machlolophus spilonotus","","","-2.68±24.88","4.77±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black-lored Tit","Machlolophus xanthogenys","X","4.8±81.61","-8.32±9.7","8.83±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Andaman Cuckoo-dove","Macropygia rufipennis","X","","","0.61±0","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Barred Cuckoo-dove","Macropygia unchall","","","4.6±79.21","7.35±0.09","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Abbott's Babbler","Malacocincla abbotti","","","12.67±62.35","5.89±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Eurasian Wigeon","Mareca penelope","","-57.07±121.54","-4.11±46.43","59.69±0.08","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Gadwall","Mareca strepera","","-12.38±38.54","1.19±8.12","68.31±0.09","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Crested Kingfisher","Megaceryle lugubris","","-16.83±42.93","-7.34±6.69","14.88±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Striated Grassbird","Megalurus palustris","","","-9.63±8.91","14.84±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Nicobar Scrubfowl","Megapodius nicobariensis","X","","","0.08","Data Deficient","Data Deficient","Restricted","High","Schedule-I","VU"
"Sultan Tit","Melanochlora sultanea","","","2.17±55.78","6.57±0.05","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Goosander","Mergus merganser","","","-6.31±25.43","4.67±0.11","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Chestnut-headed Bee-eater","Merops leschenaulti","","-19.4±31.47","-3.82±6.11","16.56±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Asian Green Bee-eater","Merops orientalis","","-1.04±11.79","-3.28±1.73","203.82±0.07","Stable","Moderate Decline","Very Large","Low","Schedule-IV","LC"
"Blue-cheeked Bee-eater","Merops persicus","","","-9.08±10.34","17.03±0.1","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Blue-tailed Bee-eater","Merops philippinus","","42.23±45.91","-2.63±5","32.76±0.08","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Bronze-winged Jacana","Metopidius indicus","","-1.34±23.89","-5.67±3.39","101.09±0.08","Stable","Moderate Decline","Very Large","Low","Schedule-IV","LC"
"Little Cormorant","Microcarbo niger","","23.86±15.39","-6.13±1.6","196.87±0.08","Stable","Strong Decline","Very Large","Low","Schedule-IV","LC"
"Collared Falconet","Microhierax caerulescens","","","","3.46±0.05","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Rufous Woodpecker","Micropternus brachyurus","","-42.11±18.19","-2.3±4.99","42.68±0.08","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Black Kite","Milvus migrans","","6.7±14.99","-1.7±2.15","85.74±0.07","Stable","Uncertain","Large","Low","Schedule-I","LC"
"Red-tailed Minla","Minla ignotincta","","","","6.66±0.1","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Jerdon's Bushlark","Mirafra affinis","X","-13.33±37.24","-1.05±7.31","36.04±0.05","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Bengal Bushlark","Mirafra assamica","X","","-6.33±7.57","24.92±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Indian Bushlark","Mirafra erythroptera","X","-33.86±17.88","-3.42±4.21","90.2±0.1","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Pin-striped Tit-babbler","Mixornis gularis","","-6.31±67.52","5.32±15.77","14.6±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Nilgiri Chilappan","Montecincla cachinnans","X","-59.05±77.6","18.85±54.58","0.63±0.03","Uncertain","Uncertain","Very Restricted","High","Schedule-IV","EN"
"Palani Chilappan","Montecincla fairbanki","X","114.95±368.88","-5.96±17.43","1.35±0.03","Uncertain","Uncertain","Restricted","Moderate","Schedule-IV","NT"
"Banasura Chilappan","Montecincla jerdoni","X","","","0.19","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","EN"
"Ashambu Chilappan","Montecincla meridionalis","X","","","0.19","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","VU"
"Blue-capped Rock-thrush","Monticola cinclorhyncha","","-37.3±27.1","-2.57±6.62","10.36±0.15","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Chestnut-bellied Rock-thrush","Monticola rufiventris","","-5.07±51.23","-4.89±7.52","17.24±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Blue Rock-thrush","Monticola solitarius","","-71.37±15.44","-6.09±8.45","56.68±0.11","Strong Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"White Wagtail","Motacilla alba","","-47.06±13.83","-1.34±4.57","161.74±0.1","Moderate Decline","Uncertain","Very Large","Moderate","Schedule-IV","LC"
"Grey Wagtail","Motacilla cinerea","","-36.3±13.38","-3.53±3.18","115.22±0.1","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Citrine Wagtail","Motacilla citreola","","-12.87±39.07","2.16±8.31","73.98±0.09","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Western Yellow Wagtail","Motacilla flava","","-28.29±16.12","-0.45±3.74","126.76±0.1","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"White-browed Wagtail","Motacilla maderaspatensis","","-39.12±9.79","-5.13±2.33","162.07±0.1","Moderate Decline","Strong Decline","Very Large","Moderate","Schedule-IV","LC"
"Great Slaty Woodpecker","Mulleripicus pulverulentus","","","","3.27±0.07","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Asian Brown Flycatcher","Muscicapa dauurica","","-42.4±16.72","-2.11±4.44","14.18±0.14","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Brown-breasted Flycatcher","Muscicapa muttui","","-1.69±50.69","1.76±8.51","18.92±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Dark-sided Flycatcher","Muscicapa sibirica","","-22.47±70.57","1.17±16.04","6.99±0.09","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Collared Grosbeak","Mycerobas affinis","","","","4.13±0.1","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Black-and-yellow Grosbeak","Mycerobas icterioides","X","","","7.83±0.07","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Spot-winged Grosbeak","Mycerobas melanozanthos","","","","6.42±0.08","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Painted Stork","Mycteria leucocephala","","42.06±33.17","-3.27±3.67","123.93±0.08","Uncertain","Uncertain","Very Large","Moderate","Schedule-IV","NT"
"White-tailed Blue Robin","Myiomela leucura","","","-19.83±8.65","7.85±0.11","Data Deficient","Strong Decline","Moderate","Moderate","Schedule-IV","LC"
"Blue Whistling-thrush","Myophonus caeruleus","","-8.7±32.62","0.6±6.49","30.57±0.05","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Malabar Whistling-thrush","Myophonus horsfieldii","X","-48.2±25.72","-5.8±7.18","18.75±0.04","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Fire-tailed Myzornis","Myzornis pyrrhoura","X","","16.63±29.11","2.36±0.07","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Egyptian Vulture","Neophron percnopterus","","-59.48±13.98","-8.85±4.66","62.4±0.07","Moderate Decline","Strong Decline","Large","High","Schedule-IV","EN"
"Red-crested Pochard","Netta rufina","","-22.17±35.1","0.69±8.08","34.44±0.08","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Cotton Pygmy-goose","Nettapus coromandelianus","","-59.55±9.45","-8.04±3.16","100.13±0.1","Strong Decline","Strong Decline","Very Large","High","Schedule-IV","LC"
"Large Niltava","Niltava grandis","","","0.48±22.54","7.9±0.09","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Small Niltava","Niltava macgrigoriae","","23.38±85.66","-0.62±12.11","16.52±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Rufous-bellied Niltava","Niltava sundara","","-29.11±35.99","-12.42±5.45","16.51±0.06","Uncertain","Strong Decline","Moderate","Moderate","Schedule-IV","LC"
"Changeable Hawk-eagle","Nisaetus cirrhatus","","-37.68±16.63","-5.71±3.84","55.33±0.08","Stable","Moderate Decline","Large","Low","Schedule-I","LC"
"Mountain Hawk-eagle","Nisaetus nipalensis","","-26.97±45.92","-5.45±8.71","13.74±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-I","LC"
"Large-spotted Nutcracker","Nucifraga multipunctata","X","","","2.4±0.08","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Eurasian Curlew","Numenius arquata","","-76.99±12.43","0.46±9.59","20.33±0.06","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","NT"
"Whimbrel","Numenius phaeopus","","-78.94±16.82","-2.77±13.14","9.28±0.04","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Black-crowned Night-heron","Nycticorax nycticorax","","12.28±23.46","-0.73±3.05","127.79±0.12","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Blue-bearded Bee-eater","Nyctyornis athertoni","","6.21±41.72","-3.62±6.33","33.21±0.07","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Indian Grey Hornbill","Ocyceros birostris","X","40.41±30.43","-1.03±3.56","128.23±0.08","Uncertain","Uncertain","Very Large","Low","Schedule-IV","LC"
"Malabar Grey Hornbill","Ocyceros griseus","X","-66.78±23.1","-3.34±10.71","13.26±0.04","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Desert Wheatear","Oenanthe deserti","","-58.36±48.8","-2.26±19.33","21.17±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Brown Rockchat","Oenanthe fusca","X","4.45±28.54","11.67±6.58","76.13±0.09","Uncertain","Strong Increase","Large","Low","Schedule-IV","LC"
"Isabelline Wheatear","Oenanthe isabellina","","","2.69±13.39","14.84±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Variable Wheatear","Oenanthe picata","","-58.43±59.91","-7.75±19.95","19.01±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Himalayan Quail","Ophrysia superciliosa","X","","","","Data Deficient","Data Deficient","Data Deficient","High","Schedule-I","CR"
"Black-naped Oriole","Oriolus chinensis","","-11.44±75.74","-2.35±14","24.23±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Indian Golden Oriole","Oriolus kundoo","","-9.53±15.1","-3.58±2.57","65.24±0.1","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Maroon Oriole","Oriolus traillii","","20.53±55.28","-1.01±7.38","16.36±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black-hooded Oriole","Oriolus xanthornus","","-18.11±20.91","0.51±4.47","97.06±0.06","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Common Tailorbird","Orthotomus sutorius","","13.42±10.99","2.82±1.7","189.44±0.08","Stable","Moderate Increase","Very Large","Low","Schedule-IV","LC"
"Osprey","Pandion haliaetus","","-48.44±25.94","-4.8±7.72","58.48±0.09","Uncertain","Uncertain","Large","Low","Schedule-I","LC"
"Black-breasted Parrotbill","Paradoxornis flavirostris","X","","","1.43±0.09","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Green-backed Tit","Parus monticolus","","-28.65±38.67","-3.71±8.37","18.75±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Russet Sparrow","Passer cinnamomeus","","27.45±70.21","-1.38±9.16","21.05±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"House Sparrow","Passer domesticus","","2.81±11.94","-2.03±1.79","113.24±0.09","Stable","Stable","Very Large","Low","Schedule-IV","LC"
"Eurasian Tree Sparrow","Passer montanus","","-45.49±33.76","0.15±11.12","18.25±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Sind Sparrow","Passer pyrrhonotus","X","","","6.85±0.06","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Rosy Starling","Pastor roseus","","171.26±80.97","9.91±6.01","121.63±0.11","Strong Increase","Strong Increase","Very Large","Low","Schedule-IV","LC"
"Indian Peafowl","Pavo cristatus","X","101.84±37.46","4.87±3.56","152.43±0.07","Strong Increase","Moderate Increase","Very Large","Low","Schedule-I","LC"
"Stork-billed Kingfisher","Pelargopsis capensis","","-8.83±32.42","-4.3±5.32","43.91±0.06","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Dalmatian Pelican","Pelecanus crispus","","","0.6±21.95","11.22±0.1","Data Deficient","Uncertain","Moderate","Moderate","Schedule-IV","NT"
"Great White Pelican","Pelecanus onocrotalus","","31.64±129.46","-2.55±19.02","17.86±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Spot-billed Pelican","Pelecanus philippensis","","147.13±131.05","-5.21±7.77","23.17±0.05","Uncertain","Uncertain","Moderate","Moderate","Schedule-IV","NT"
"Marsh Babbler","Pellorneum palustre","X","","","1±0.08","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","VU"
"Puff-throated Babbler","Pellorneum ruficeps","","-57.78±11.53","-3.81±4.15","55.02±0.07","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Rock Bush-quail","Perdicula argoondah","X","","-7.47±7.53","26.29±0.1","Data Deficient","Uncertain","Large","Low","Schedule-IV","LC"
"Jungle Bush-quail","Perdicula asiatica","X","-53.49±13.82","-5.94±4.21","76.35±0.12","Moderate Decline","Moderate Decline","Large","Moderate","Schedule-IV","LC"
"Painted Bush-quail","Perdicula erythrorhyncha","X","","","4.03±0.05","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Manipur Bush-quail","Perdicula manipurensis","X","","","","Data Deficient","Data Deficient","Data Deficient","High","Schedule-IV","EN"
"Short-billed Minivet","Pericrocotus brevirostris","","-56.82±73.53","0.42±31.21","9.65±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Small Minivet","Pericrocotus cinnamomeus","","-58.47±8.01","-6.37±2.75","137.25±0.1","Strong Decline","Strong Decline","Very Large","High","Schedule-IV","LC"
