GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,OBSERVATION COUNT,BREEDING BIRD ATLAS CODE,BREEDING BIRD ATLAS CATEGORY,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID, LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS420482626,3/4/2019 2:26,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,X,,,,India,IN,Rajasthan,IN-RJ,Jaisalmer,IN-RJ-JS,,,,,Desert NP--Sam Sand Dunes,L2585018,H,26.8425287,70.5460453,12/12/2011,,obsr636717,S30878235,Historical,P62,EBIRD,,,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS424266979,2/25/2019 13:06,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,1,,,,India,IN,Karnataka,IN-KA,Bellary,IN-KA-BL,,,,,Daroji Bear Sanctuary,L2607098,H,15.2669631,76.6070652,3/15/2015,,obsr789008,S31160893,Historical,P62,EBIRD,,,,2,1,,1,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS289676497,11/13/2018 14:28,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,2,,,,India,IN,Karnataka,IN-KA,Bellary,IN-KA-BL,,,,,Daroji Bear Sanctuary,L2607098,H,15.2669631,76.6070652,1/4/2015,16:30:00,obsr447642,S21237282,Traveling,P22,EBIRD,90,1,,4,1,,0,1,0,,"+ Paul & Fi, Farah & Minla. Saw 3 Sloth Bears!",
URN:CornellLabOfOrnithology:EBIRD:OBS330764672,5/27/2019 8:17,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,2,,,,India,IN,Karnataka,IN-KA,Bellary,IN-KA-BL,,,,,Daroji Bear Sanctuary,L2607098,H,15.2669631,76.6070652,5/23/2015,5:30:00,obsr435643,S24188245,Traveling,P22,EBIRD,240,6,,2,1,,0,1,0,,"<br />Submitted from eBird for iOS, version 1.0.1 Build 5",
URN:CornellLabOfOrnithology:EBIRD:OBS548491621,11/13/2018 14:28,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,4,,,,India,IN,Karnataka,IN-KA,Bellary,IN-KA-BL,,,,,Daroji Bear Sanctuary,L2607098,H,15.2669631,76.6070652,11/11/2017,6:00:00,obsr613305,S40436888,Traveling,P22,EBIRD,120,3,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS332254574,11/13/2018 14:28,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,1,,,,India,IN,Karnataka,IN-KA,Bellary,IN-KA-BL,,,,,Daroji Bear Sanctuary,L2607098,H,15.2669631,76.6070652,7/9/2015,14:30:00,obsr520953,S24302273,Stationary,P21,EBIRD,210,,,1,1,,0,1,0,,only one sloth bear far on the hill,
URN:CornellLabOfOrnithology:EBIRD:OBS492771135,12/10/2018 6:10,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,X,,,,India,IN,Punjab,IN-PB,Tarn Taran,IN-PB-TA,,,,,Harike Bird Sanctuary,L2666743,H,31.1520527,74.9588526,1/30/2010,,obsr672253,S36443403,Historical,P62,EBIRD,,,,,1,,0,1,0,,"Observations from three days (split-up lists not available), but all from the bird sanctuary area.",
URN:CornellLabOfOrnithology:EBIRD:OBS267619226,2/13/2019 1:50,6474,species,Indian Skimmer,Rynchops albicollis,,,15,,,,India,IN,Punjab,IN-PB,Tarn Taran,IN-PB-TA,,,,,Harike Bird Sanctuary,L2666743,H,31.1520527,74.9588526,2/12/2003,,obsr172204,S19464712,Historical,P62,EBIRD,,,,4,1,,0,1,1,,https://groups.yahoo.com/neo/groups/delhibird/conversations/messages/3233,
URN:CornellLabOfOrnithology:EBIRD:OBS773793951,6/11/2019 6:25,6474,species,Indian Skimmer,Rynchops albicollis,,,X,,,,India,IN,Punjab,IN-PB,Tarn Taran,IN-PB-TA,,,,,Harike Bird Sanctuary,L2666743,H,31.1520527,74.9588526,3/1/2002,,obsr447960,S57280619,Historical,P62,EBIRD,,,,1,1,,0,0,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS773793750,6/11/2019 6:25,6474,species,Indian Skimmer,Rynchops albicollis,,,X,,,,India,IN,Punjab,IN-PB,Tarn Taran,IN-PB-TA,,,,,Harike Bird Sanctuary,L2666743,H,31.1520527,74.9588526,3/29/2002,,obsr447960,S57280614,Historical,P62,EBIRD,,,,3,1,,0,0,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS267619232,2/13/2019 1:50,6438,species,Black-bellied Tern,Sterna acuticauda,,,1,,,,India,IN,Punjab,IN-PB,Tarn Taran,IN-PB-TA,,,,,Harike Bird Sanctuary,L2666743,H,31.1520527,74.9588526,2/12/2003,,obsr172204,S19464712,Historical,P62,EBIRD,,,,4,1,,0,1,0,,https://groups.yahoo.com/neo/groups/delhibird/conversations/messages/3233,
URN:CornellLabOfOrnithology:EBIRD:OBS455073545,12/10/2018 6:10,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,X,,,,India,IN,Punjab,IN-PB,Tarn Taran,IN-PB-TA,,,,,Harike Bird Sanctuary,L2666743,H,31.1520527,74.9588526,1/31/2010,10:00:00,obsr812427,S33498759,Traveling,P22,EBIRD,120,3,,6,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS331375151,6/5/2019 8:49,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,1,,,,India,IN,Uttar Pradesh,IN-UP,Mathura,IN-UP-MT,,,,,Farah Grassland,L3774845,P,27.3032995,77.797451,7/12/2015,7:00:00,obsr562621,S24235393,Traveling,P22,EBIRD,240,2,,1,1,,0,1,0,,,Indian Eagle Owl
URN:CornellLabOfOrnithology:EBIRD:OBS289438036,10/19/2017 10:52,2816,species,Indian Bustard,Ardeotis nigriceps,,,1,,,,India,IN,Madhya Pradesh,IN-MP,Mandsaur,IN-MP-MS,,,,,Hanspura,L3270226,P,24.1003794,75.6666183,1/1/2015,12:10:00,obsr490392,S21218838,Incidental,P20,EBIRD,,,,1,0,,0,1,1,,travelling in train,saw at 12.10pm. was travelling in duranto train. the spot was 49km from Ramganj mandi jn railway station. ( i noted the km number near the railway line. it showed 800km near the place where i saw the bird). i clearly the white neck and the size of a female indian peafowl. It was never a peafowl for sure
URN:CornellLabOfOrnithology:EBIRD:OBS299136591,1/23/2019 23:08,6474,species,Indian Skimmer,Rynchops albicollis,,,59,,,,India,IN,Rajasthan,IN-RJ,Dhaulpur,IN-RJ-DH,,,,,Chambal River,L3401851,P,26.787996,78.170943,2/19/2015,15:30:00,obsr360002,S22037100,Traveling,P22,EBIRD,120,6,,5,1,,0,1,1,,,"We counted 59. The local guide said they had counted over 40 two days earlier, and around 65 that morning."
URN:CornellLabOfOrnithology:EBIRD:OBS299136617,1/23/2019 23:08,6438,species,Black-bellied Tern,Sterna acuticauda,,,1,,,,India,IN,Rajasthan,IN-RJ,Dhaulpur,IN-RJ-DH,,,,,Chambal River,L3401851,P,26.787996,78.170943,2/19/2015,15:30:00,obsr360002,S22037100,Traveling,P22,EBIRD,120,6,,5,1,,0,1,1,,,
URN:CornellLabOfOrnithology:EBIRD:OBS395845644,11/13/2018 14:16,6474,species,Indian Skimmer,Rynchops albicollis,,,50,,,,India,IN,Odisha,IN-OR,Cuttack,IN-OR-CU,,,,,Mundli to Shelter Road,L4540437,P,20.4446267,85.7455659,4/25/2016,6:30:00,obsr659860,S29252748,Traveling,P22,EBIRD,180,9,,1,1,,1,1,1,,,
URN:CornellLabOfOrnithology:EBIRD:OBS346000169,11/13/2018 14:29,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,1,,,,India,IN,Maharashtra,IN-MH,Satara,IN-MH-ST,,,,,"Patan, Maharashtra",L3940688,P,17.373973,73.9188856,9/26/2015,6:30:00,obsr522998,S25289423,Incidental,P20,EBIRD,,,,9,0,,0,1,0,,"We have stayed in a hotel in patan and next day morning, ventured out to Kaash plateu for birds and flowers",
URN:CornellLabOfOrnithology:EBIRD:OBS345386815,11/13/2018 14:15,9131,species,Great Hornbill,Buceros bicornis,,,X,,,,India,IN,Tamil Nadu,IN-TN,The Nilgiris,IN-TN-NI,,,,,IN--Jungle Hut Resort,L3935689,P,11.532117,76.6461611,2/16/2015,,obsr513886,S25244368,Historical,P62,EBIRD,,,,9,1,,0,1,0,,Birding with Asian Adventures.,
URN:CornellLabOfOrnithology:EBIRD:OBS436446244,11/13/2018 14:28,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,2,,,,India,IN,Karnataka,IN-KA,Bangalore,IN-KA-BN,,,,,Eagle owl Place,L3971447,P,12.921167,77.527437,10/2/2016,18:30:00,obsr636501,S32057440,Stationary,P21,EBIRD,30,,,4,1,G1951535,1,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS349478561,11/13/2018 14:28,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,2,,,,India,IN,Karnataka,IN-KA,Bangalore,IN-KA-BN,,,,,Eagle owl Place,L3971447,P,12.921167,77.527437,10/24/2015,12:19:00,obsr636501,S25524443,Stationary,P21,EBIRD,19,,,2,1,G1444416,1,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS434030089,11/13/2018 14:28,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,2,,,,India,IN,Karnataka,IN-KA,Bangalore,IN-KA-BN,,,,,Eagle owl Place,L3971447,P,12.921167,77.527437,10/2/2016,18:30:00,obsr667659,S31886443,Stationary,P21,EBIRD,30,,,4,1,G1951535,1,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS404758845,11/13/2018 14:28,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,3,,,,India,IN,Karnataka,IN-KA,Bangalore,IN-KA-BN,,,,,Eagle owl Place,L3971447,P,12.921167,77.527437,5/17/2016,12:24:00,obsr599170,S29764899,Stationary,P21,EBIRD,15,,,2,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS434026379,11/13/2018 14:28,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,2,,,,India,IN,Karnataka,IN-KA,Bangalore,IN-KA-BN,,,,,Eagle owl Place,L3971447,P,12.921167,77.527437,10/2/2016,18:30:00,obsr599170,S31886175,Stationary,P21,EBIRD,30,,,4,1,G1951535,1,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS464788928,11/13/2018 14:28,8367,species,Rock Eagle-Owl,Bubo bengalensis,,,1,,,,India,IN,Karnataka,IN-KA,Bangalore,IN-KA-BN,,,,,Eagle owl Place,L3971447,P,12.921167,77.527437,2/11/2017,17:30:00,obsr599170,S34290951,Stationary,P21,EBIRD,32,,,1,1,,0,1,0,,,
