eBird English Name,eBird Scientific Name,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Breeding Period,Ground Nester (Open),Ground Nester (Concealed),Canopy Nester,mid story/Shrub/thicket nester,Earthen Cavity nester,Tree Cavity Nester,Cliff Nester,Nest in urban structures,Nest in urban gardens,Area of distribution range (sq. km.),Remarks
Black-winged Kite,Elanus caeruleus,20,60,20,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Oriental Honey-buzzard,Pernis ptilorhynchus,30,20,40,10,0,0,0,0,0,0,VertFishScav,Ref_2,A,,,,,,,,,,,,,,,,,,,,,,,,
Jerdon's Baza,Aviceda jerdoni,70,0,30,0,0,0,0,0,0,0,Invertebrate,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Black Baza,Aviceda leuphotes,70,10,20,0,0,0,0,0,0,0,Invertebrate,Ref_2,A,Jennifer,0,0,33,33,33,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Bearded Vulture,Gypaetus barbatus,0,0,0,0,0,100,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Egyptian Vulture,Neophron percnopterus,10,20,0,10,0,60,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Crested Serpent-Eagle,Spilornis cheela,10,20,60,10,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,50,0,25,25,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Nicobar Serpent-Eagle,Spilornis klossi,10,20,60,10,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,50,0,25,25,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Andaman Serpent-Eagle,Spilornis elgini,0,50,50,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
Short-toed Snake-Eagle,Circaetus gallicus,0,10,90,0,0,0,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,60,0,20,0,20,0,Ref_2,1,Other,,,,,,,,,,,,
Red-headed Vulture,Sarcogyps calvus,0,0,0,0,0,100,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,,,,,,,,,,,,
