species,detprobB,occB,occB.ci,trivB,sampareaB,detprobM,occM,occM.ci,trivM,sampareaM,migstatus
Ruby-cheeked Sunbird,0.018,9.0099825,0.1034,3.7803,238.2723,NA,NA,NA,NA,NA,R
Purple-rumped Sunbird,0.212,120.3992323,0.07,87.6018,238.2723,NA,NA,NA,NA,NA,R
Purple Sunbird,0.183,200.3769134,0.0767,147.9031,238.2723,NA,NA,NA,NA,NA,R
Fire-tailed Sunbird,0.027,9.1414475,0.0686,4.7966,238.2723,NA,NA,NA,NA,NA,R
Black-throated Sunbird,0.026,11.5572002,0.0689,6.1169,238.2723,NA,NA,NA,NA,NA,R
Gould's Sunbird,0.02,10.200506,0.0749,5.3699,238.2723,NA,NA,NA,NA,NA,R
Green-tailed Sunbird,0.072,11.9004613,0.0577,7.0859,238.2723,NA,NA,NA,NA,NA,R
Vigors's Sunbird,0.061,6.7303524,0.0495,4.9259,238.2723,NA,NA,NA,NA,NA,R
Crimson Sunbird,0.059,26.275844,0.0739,15.6826,238.2723,NA,NA,NA,NA,NA,R
Little Spiderhunter,0.034,22.1702319,0.0545,14.3429,238.2723,NA,NA,NA,NA,NA,R
Streaked Spiderhunter,0.075,10.4299002,0.059,6.6274,238.2723,NA,NA,NA,NA,NA,R
Alpine Accentor,0.037,10.5492901,0.0755,5.1644,238.2723,NA,NA,NA,NA,NA,R
Robin Accentor,0.05,9.0342611,0.0961,4.9836,238.2723,NA,NA,NA,NA,NA,R
Rufous-breasted Accentor,0.031,14.4244188,0.068,8.0995,238.2723,NA,NA,NA,NA,NA,R
Forest Wagtail,NA,NA,NA,NA,NA,0.013,23.8132404,0.0607,13.511,229.4424,W/P
Gray Wagtail,0.038,17.1348799,0.0688,9.5637,149.858,0.074,115.2153571,0.0986,68.6307,196.9801,LM
Western Yellow Wagtail,NA,NA,NA,NA,NA,0.029,126.7591155,0.1037,71.3977,229.4424,W/P
Citrine Wagtail,0.119,8.7204259,0.0753,5.4277,149.858,0.032,73.9757566,0.0903,38.0194,196.9801,LM
White-browed Wagtail,0.068,162.0723614,0.0968,101.0505,238.2723,NA,NA,NA,NA,NA,R
White Wagtail,NA,NA,NA,NA,NA,0.044,161.7395218,0.0984,96.6207,238.2723,W/P
Richard's Pipit,NA,NA,NA,NA,NA,0.003,15.1985997,0.0969,6.4992,220.7693,W/P
Paddyfield Pipit,0.04,173.8789177,0.1149,102.7131,238.2723,NA,NA,NA,NA,NA,R
Blyth's Pipit,NA,NA,NA,NA,NA,0.001,16.2595055,0.1653,5.5066,220.7693,W/P
Tawny Pipit,NA,NA,NA,NA,NA,0.013,50.249065,0.0947,23.8014,224.4491,W/P
Rosy Pipit,0.026,9.0602184,0.1102,3.1243,149.858,0.01,14.1877409,0.1254,5.562,196.9801,LM
Tree Pipit,0.005,1.6015023,0.1769,0.25,149.858,0.019,56.7402774,0.1116,27.1393,196.9801,LM
Olive-backed Pipit,0.022,4.2873222,0.0807,2.0272,149.858,0.026,40.7407513,0.0895,19.7134,196.9801,LM
Collared Grosbeak,0.006,4.1252489,0.1011,1.9498,238.2723,NA,NA,NA,NA,NA,R
Common Rosefinch,0.084,14.4383833,0.0701,8.6178,149.858,0.026,40.8606015,0.0832,19.9342,196.9801,LM
Scarlet Finch,0.02,4.8745929,0.0732,2.6483,238.2723,NA,NA,NA,NA,NA,R
Pink-browed Rosefinch,0.054,10.9374918,0.0591,6.9587,238.2723,NA,NA,NA,NA,NA,R
Spot-winged Rosefinch,0.018,2.2761112,0.0817,1.157,238.2723,NA,NA,NA,NA,NA,R
Himalayan White-browed Rosefinch,0.013,6.0549841,0.104,2.4347,238.2723,NA,NA,NA,NA,NA,R
Red-headed Bullfinch,0.02,6.8921488,0.0767,3.7328,238.2723,NA,NA,NA,NA,NA,R
Gold-naped Finch,0.024,2.6601427,0.0893,1.3192,238.2723,NA,NA,NA,NA,NA,R
Spectacled Finch,0.006,6.5038354,0.1012,2.0625,238.2723,NA,NA,NA,NA,NA,R
Dark-breasted Rosefinch,0.031,8.1303333,0.0728,4.3168,238.2723,NA,NA,NA,NA,NA,R
Plain Mountain-Finch,0.052,15.54389,0.0688,9.0451,238.2723,NA,NA,NA,NA,NA,R
Yellow-breasted Greenfinch,0.056,17.4718095,0.0849,10.7759,238.2723,NA,NA,NA,NA,NA,R
