Rank,eBird Scientific Name 2019,Scientific Name
species,Centropus melanops,Centropus melanops
ssp,Centropus melanops melanops,
ssp,Centropus melanops banken,
species,Centropus steerii,Centropus steerii
species,Centropus rectunguis,Centropus rectunguis
species,Centropus celebensis,Centropus celebensis
ssp,Centropus celebensis celebensis,
ssp,Centropus celebensis rufescens,
species,Centropus anselli,Centropus anselli
species,Centropus leucogaster,Centropus leucogaster
ssp,Centropus leucogaster leucogaster,
ssp,Centropus leucogaster efulenensis,
species,,
ssp,Centropus leucogaster neumanni,
species,Centropus senegalensis,Centropus senegalensis
ssp,Centropus senegalensis aegyptius,
species,,
ssp,Centropus senegalensis senegalensis,
ssp,,
ssp,Centropus senegalensis flecki,
species,Centropus monachus,Centropus monachus
ssp,Centropus monachus occidentalis,
ssp,Centropus monachus fischeri,
ssp,,
ssp,Centropus monachus monachus,
species,Centropus cupreicaudus,Centropus cupreicaudus
ssp,,
ssp,,
species,Centropus superciliosus,Centropus superciliosus
ssp,Centropus superciliosus superciliosus,
ssp,,
ssp,Centropus superciliosus loandae,
species,,
ssp,Centropus superciliosus fasciipygialis,
ssp,Centropus superciliosus burchellii,
species,Centropus nigrorufus,Centropus nigrorufus
species,Centropus sinensis,Centropus sinensis
ssp,Centropus sinensis sinensis,
ssp,Centropus sinensis parroti,
ssp,Centropus sinensis intermedius,
ssp,Centropus sinensis bubutus,
ssp,,
ssp,Centropus sinensis anonymus,
ssp,Centropus sinensis kangeangensis,
species,Centropus toulou,Centropus toulou
ssp,Centropus toulou toulou,
ssp,Centropus toulou insularis,
ssp,Centropus toulou assumptionis,
species,Centropus goliath,Centropus goliath
species,Centropus grillii,Centropus grillii
ssp,,
ssp,,
ssp,,
species,Centropus viridis,Centropus viridis
ssp,Centropus viridis major,
ssp,Centropus viridis viridis,
ssp,Centropus viridis mindorensis,
ssp,Centropus viridis carpenteri,
species,Centropus bengalensis,Centropus bengalensis
ssp,Centropus bengalensis bengalensis,
ssp,Centropus bengalensis lignator,
ssp,Centropus bengalensis javanensis,
ssp,,
ssp,Centropus bengalensis sarasinorum,
ssp,Centropus bengalensis medius,
species,Centropus violaceus,Centropus violaceus
species,Centropus bernsteini,Centropus bernsteini
ssp,Centropus bernsteini bernsteini,
ssp,Centropus bernsteini manam,
species,Centropus phasianinus,Centropus phasianinus
species,,Centropus spilopterus
ssp,Centropus phasianinus spilopterus,
ssp,Centropus phasianinus mui,
ssp,Centropus phasianinus propinquus,
ssp,,
ssp,Centropus phasianinus nigricans,
ssp,Centropus phasianinus thierfelderi,
ssp,Centropus phasianinus melanurus,
ssp,Centropus phasianinus phasianinus,
species,Centropus andamanensis,Centropus andamanensis
ssp,,
species,Carpococcyx radiceus,Carpococcyx radiceus
ssp,,
species,Carpococcyx viridis,Carpococcyx viridis
ssp,,
species,Carpococcyx renauldi,Carpococcyx renauldi
species,Coua delalandei,Coua delalandei
species,Coua cristata,Coua cristata
ssp,Coua cristata cristata,
ssp,Coua cristata dumonti,
species,,Coua pyropyga
ssp,Coua cristata pyropyga,
ssp,Coua cristata maxima,
species,Coua verreauxi,Coua verreauxi
species,Coua caerulea,Coua caerulea
species,Coua ruficeps,Coua ruficeps
ssp,Coua ruficeps ruficeps,
species,,Coua olivaceiceps
ssp,Coua ruficeps olivaceiceps,
species,Coua reynaudii,Coua reynaudii
species,Coua coquereli,Coua coquereli
species,Coua cursor,Coua cursor
species,Coua gigas,Coua gigas
species,Coua serriana,Coua serriana
species,Rhinortha chlorophaea,Rhinortha chlorophaea
ssp,,
ssp,,
species,Ceuthmochares aereus,Ceuthmochares aereus
ssp,Ceuthmochares aereus flavirostris,
ssp,Ceuthmochares aereus aereus,
ssp,,
species,Ceuthmochares australis,Ceuthmochares australis
ssp,,
species,Taccocua leschenaultii,Taccocua leschenaultii
ssp,Taccocua leschenaultii sirkee,
ssp,Taccocua leschenaultii infuscata,
ssp,,
ssp,Taccocua leschenaultii leschenaultii,
species,Zanclostomus javanicus,Zanclostomus javanicus
ssp,,
ssp,,
ssp,,
species,Rhamphococcyx calyorhynchus,Rhamphococcyx calyorhynchus
ssp,Rhamphococcyx calyorhynchus calyorhynchus,
ssp,Rhamphococcyx calyorhynchus meridionalis,
ssp,,
ssp,Rhamphococcyx calyorhynchus rufiloris,
species,Phaenicophaeus curvirostris,Phaenicophaeus curvirostris
ssp,Phaenicophaeus curvirostris singularis,
species,,Phaenicophaeus oeneicaudus
ssp,Phaenicophaeus curvirostris oeneicaudus,
ssp,Phaenicophaeus curvirostris curvirostris,
ssp,Phaenicophaeus curvirostris deningeri,
ssp,Phaenicophaeus curvirostris microrhinus,
ssp,Phaenicophaeus curvirostris harringtoni,
species,Phaenicophaeus pyrrhocephalus,Phaenicophaeus pyrrhocephalus
species,Phaenicophaeus sumatranus,Phaenicophaeus sumatranus
ssp,,
ssp,,
species,Phaenicophaeus viridirostris,Phaenicophaeus viridirostris
species,Phaenicophaeus diardi,Phaenicophaeus diardi
ssp,Phaenicophaeus diardi diardi,
ssp,Phaenicophaeus diardi borneensis,
species,Phaenicophaeus tristis,Phaenicophaeus tristis
ssp,Phaenicophaeus tristis tristis,
ssp,Phaenicophaeus tristis kangeangensis,
ssp,Phaenicophaeus tristis saliens,
ssp,Phaenicophaeus tristis hainanus,
ssp,Phaenicophaeus tristis longicaudatus,
ssp,Phaenicophaeus tristis elongatus,
species,Dasylophus superciliosus,Dasylophus superciliosus
ssp,Dasylophus superciliosus cagayanensis,
ssp,Dasylophus superciliosus superciliosus,
species,Dasylophus cumingi,Lepidogrammus cumingi
species,Clamator coromandus,Clamator coromandus
species,Clamator glandarius,Clamator glandarius
species,Clamator levaillantii,Clamator levaillantii
species,Clamator jacobinus,Clamator jacobinus
species,,
ssp,Clamator jacobinus serratus,
ssp,Clamator jacobinus pica,
ssp,Clamator jacobinus jacobinus,
species,Coccycua minuta,Coccycua minuta
ssp,Coccycua minuta panamensis,
ssp,Coccycua minuta gracilis,
ssp,Coccycua minuta minuta,
ssp,Coccycua minuta barinensis,
ssp,Coccycua minuta chaparensis,
species,Coccycua pumila,Coccycua pumila
species,Coccycua cinerea,Coccycua cinerea
species,Piaya cayana,Piaya cayana
ssp,,
species,,Piaya mexicana
ssp,Piaya cayana mexicana,
ssp,Piaya cayana thermophila,
ssp,,
ssp,Piaya cayana nigricrissa,
ssp,Piaya cayana mehleri,
ssp,Piaya cayana mesura,
ssp,Piaya cayana circe,
ssp,Piaya cayana cayana,
ssp,Piaya cayana insulana,
ssp,Piaya cayana obscura,
ssp,,
ssp,Piaya cayana hellmayri,
ssp,Piaya cayana pallescens,
ssp,,
ssp,Piaya cayana cabanisi,
ssp,Piaya cayana macroura,
ssp,Piaya cayana mogenseni,
species,Piaya melanogaster,Piaya melanogaster
ssp,,
ssp,,
species,Coccyzus melacoryphus,Coccyzus melacoryphus
species,Coccyzus americanus,Coccyzus americanus
ssp,,
ssp,,
species,Coccyzus euleri,Coccyzus euleri
species,Coccyzus minor,Coccyzus minor
ssp,,
ssp,,
ssp,,
ssp,,
ssp,,
ssp,,
ssp,,
ssp,,
ssp,,
ssp,,
ssp,,
ssp,,
ssp,,
species,Coccyzus ferrugineus,Coccyzus ferrugineus
ssp,,
species,Coccyzus erythropthalmus,Coccyzus erythropthalmus
species,Coccyzus lansbergi,Coccyzus lansbergi
species,Coccyzus pluvialis,Coccyzus pluvialis
species,Coccyzus rufigularis,Coccyzus rufigularis
species,Coccyzus vetula,Coccyzus vetula
ssp,,
species,Coccyzus merlini,Coccyzus merlini
species,,Coccyzus bahamensis
ssp,Coccyzus merlini bahamensis,
ssp,,
ssp,Coccyzus merlini santamariae,
ssp,Coccyzus merlini merlini,
ssp,Coccyzus merlini decolor,
species,Coccyzus vieilloti,Coccyzus vieilloti
ssp,,
species,Coccyzus longirostris,Coccyzus longirostris
ssp,Coccyzus longirostris petersi,
ssp,Coccyzus longirostris longirostris,
ssp,,
species,Pachycoccyx audeberti,Pachycoccyx audeberti
ssp,Pachycoccyx audeberti brazzae,
ssp,Pachycoccyx audeberti validus,
ssp,,
ssp,Pachycoccyx audeberti audeberti,
species,Microdynamis parva,Microdynamis parva
ssp,Microdynamis parva grisescens,
ssp,Microdynamis parva parva,
species,Eudynamys scolopaceus,Eudynamys scolopaceus
ssp,Eudynamys scolopaceus scolopaceus,
ssp,Eudynamys scolopaceus chinensis,
ssp,Eudynamys scolopaceus harterti,
ssp,Eudynamys scolopaceus malayanus,
ssp,,
ssp,Eudynamys scolopaceus mindanensis,
ssp,,
ssp,,
ssp,,
species,Eudynamys melanorhynchus,
ssp,Eudynamys melanorhynchus melanorhynchus,
ssp,Eudynamys melanorhynchus facialis,
species,Eudynamys orientalis,Eudynamys orientalis
ssp,Eudynamys orientalis orientalis,
ssp,Eudynamys orientalis picatus,
ssp,Eudynamys orientalis rufiventer,
ssp,,
ssp,Eudynamys orientalis hybrida,
ssp,Eudynamys orientalis salvadorii,
ssp,Eudynamys orientalis alberti,
ssp,Eudynamys orientalis cyanocephalus,
ssp,Eudynamys orientalis subcyanocephalus,
species,Urodynamis taitensis,Urodynamis taitensis
species,Scythrops novaehollandiae,Scythrops novaehollandiae
ssp,Scythrops novaehollandiae fordi,
ssp,Scythrops novaehollandiae novaehollandiae,
ssp,Scythrops novaehollandiae schoddei,
species,Chrysococcyx maculatus,Chrysococcyx maculatus
species,Chrysococcyx xanthorhynchus,Chrysococcyx xanthorhynchus
ssp,Chrysococcyx xanthorhynchus xanthorhynchus,
ssp,,
ssp,Chrysococcyx xanthorhynchus amethystinus,
species,Chrysococcyx caprius,Chrysococcyx caprius
species,Chrysococcyx klaas,Chrysococcyx klaas
ssp,,
ssp,,
species,Chrysococcyx flavigularis,Chrysococcyx flavigularis
species,Chrysococcyx cupreus,Chrysococcyx cupreus
ssp,Chrysococcyx cupreus cupreus,
ssp,,
ssp,Chrysococcyx cupreus intermedius,
ssp,Chrysococcyx cupreus insularum,
species,Chrysococcyx megarhynchus,Chalcites megarhynchus
ssp,Chrysococcyx megarhynchus megarhynchus,
ssp,Chrysococcyx megarhynchus sanfordi,
species,Chrysococcyx basalis,Chalcites basalis
species,Chrysococcyx osculans,Chalcites osculans
species,Chrysococcyx ruficollis,Chalcites ruficollis
species,Chrysococcyx lucidus,Chalcites lucidus
ssp,Chrysococcyx lucidus harterti,
ssp,Chrysococcyx lucidus layardi,
ssp,Chrysococcyx lucidus plagosus,
ssp,Chrysococcyx lucidus lucidus,
species,Chrysococcyx meyerii,Chalcites meyerii
species,Chrysococcyx minutillus,Chalcites minutillus
ssp,Chrysococcyx minutillus peninsularis,
ssp,Chrysococcyx minutillus albifrons,
ssp,Chrysococcyx minutillus aheneus,
ssp,Chrysococcyx minutillus cleis,
ssp,Chrysococcyx minutillus jungei,
species,,
ssp,Chrysococcyx minutillus rufomerus,
species,,Chalcites crassirostris
ssp,Chrysococcyx minutillus crassirostris,
ssp,Chrysococcyx minutillus salvadorii,
ssp,Chrysococcyx minutillus misoriensis,
ssp,Chrysococcyx minutillus poecilurus,
ssp,Chrysococcyx minutillus minutillus,
species,,
ssp,Chrysococcyx minutillus russatus,
ssp,Chrysococcyx minutillus barnardi,
species,Cacomantis pallidus,Heteroscenes pallidus
ssp,,
ssp,,
species,Cacomantis leucolophus,Caliechthrus leucolophus
species,Cacomantis castaneiventris,Cacomantis castaneiventris
ssp,Cacomantis castaneiventris arfakianus,
ssp,Cacomantis castaneiventris weiskei,
ssp,Cacomantis castaneiventris castaneiventris,
species,Cacomantis flabelliformis,Cacomantis flabelliformis
ssp,Cacomantis flabelliformis excitus,
ssp,Cacomantis flabelliformis flabelliformis,
ssp,Cacomantis flabelliformis pyrrophanus,
ssp,,
ssp,Cacomantis flabelliformis schistaceigularis,
ssp,Cacomantis flabelliformis simus,
species,Cacomantis sonneratii,Cacomantis sonneratii
ssp,Cacomantis sonneratii sonneratii,
ssp,Cacomantis sonneratii malayanus,
ssp,Cacomantis sonneratii waiti,
ssp,Cacomantis sonneratii fasciolatus,
ssp,Cacomantis sonneratii musicus,
species,Cacomantis merulinus,Cacomantis merulinus
ssp,Cacomantis merulinus querulus,
ssp,Cacomantis merulinus threnodes,
ssp,,
ssp,Cacomantis merulinus lanceolatus,
ssp,Cacomantis merulinus merulinus,
ssp,,
species,Cacomantis passerinus,Cacomantis passerinus
ssp,,
species,Cacomantis variolosus,Cacomantis variolosus
ssp,Cacomantis variolosus tymbonomus,
ssp,Cacomantis variolosus infaustus,
ssp,,
ssp,,
ssp,Cacomantis variolosus oreophilus,
ssp,,
ssp,Cacomantis variolosus blandus,
ssp,Cacomantis variolosus macrocercus,
ssp,Cacomantis variolosus websteri,
ssp,Cacomantis variolosus addendus,
ssp,Cacomantis variolosus variolosus,
species,,
ssp,Cacomantis variolosus sepulcralis,
ssp,Cacomantis variolosus everetti,
ssp,Cacomantis variolosus virescens,
species,Cacomantis aeruginosus,Cacomantis aeruginosus
ssp,Cacomantis aeruginosus aeruginosus,
ssp,,
ssp,Cacomantis aeruginosus heinrichi,
species,Cercococcyx mechowi,Cercococcyx mechowi
species,Cercococcyx olivinus,Cercococcyx olivinus
species,Cercococcyx montanus,Cercococcyx montanus
ssp,Cercococcyx montanus montanus,
ssp,Cercococcyx montanus patulus,
species,Surniculus velutinus,Surniculus velutinus
ssp,,
ssp,Surniculus velutinus chalybaeus,
ssp,Surniculus velutinus velutinus,
ssp,Surniculus velutinus suluensis,
species,Surniculus lugubris,Surniculus lugubris
ssp,Surniculus lugubris barussarum,
ssp,Surniculus lugubris brachyurus,
ssp,Surniculus lugubris lugubris,
species,Surniculus dicruroides,Surniculus dicruroides
ssp,Surniculus dicruroides dicruroides,
ssp,Surniculus dicruroides stewarti,
species,Surniculus musschenbroeki,Surniculus musschenbroeki
ssp,,
species,Hierococcyx vagans,Hierococcyx vagans
species,Hierococcyx sparverioides,Hierococcyx sparverioides
ssp,,
species,Hierococcyx bocki,Hierococcyx bocki
ssp,,
species,Hierococcyx varius,Hierococcyx varius
ssp,Hierococcyx varius varius,
ssp,Hierococcyx varius ciceliae,
species,Hierococcyx hyperythrus,Hierococcyx hyperythrus
ssp,,
species,Hierococcyx pectoralis,Hierococcyx pectoralis
ssp,,
species,Hierococcyx fugax,Hierococcyx fugax
ssp,,
species,Hierococcyx nisicolor,Hierococcyx nisicolor
ssp,,
species,Cuculus clamosus,Cuculus clamosus
ssp,Cuculus clamosus gabonensis,
ssp,,
ssp,,
ssp,Cuculus clamosus clamosus,
species,Cuculus solitarius,Cuculus solitarius
species,Cuculus poliocephalus,Cuculus poliocephalus
ssp,,
species,Cuculus crassirostris,Cuculus crassirostris
species,Cuculus micropterus,Cuculus micropterus
ssp,Cuculus micropterus micropterus,
ssp,Cuculus micropterus concretus,
species,Cuculus rochii,Cuculus rochii
ssp,,
species,Cuculus gularis,Cuculus gularis
ssp,,
species,Cuculus saturatus,Cuculus saturatus
ssp,,
species,Cuculus optatus,
ssp,,
species,Cuculus lepidus,Cuculus lepidus
ssp,,
ssp,,
species,Cuculus canorus,Cuculus canorus
ssp,Cuculus canorus canorus,
ssp,,
ssp,,
ssp,,
ssp,Cuculus canorus bangsi,
ssp,Cuculus canorus subtelephonus,
ssp,Cuculus canorus bakeri,
ssp,,
species,Nannococcyx psix,Nannococcyx psix
species,Mesitornis variegatus,Mesitornis variegatus
species,Mesitornis unicolor,Mesitornis unicolor
species,Monias benschi,Monias benschi
species,Syrrhaptes tibetanus,Syrrhaptes tibetanus
species,Syrrhaptes paradoxus,Syrrhaptes paradoxus
species,Pterocles alchata,Pterocles alchata
ssp,Pterocles alchata alchata,
ssp,Pterocles alchata caudacutus,
species,Pterocles namaqua,Pterocles namaqua
ssp,,
ssp,,
species,Pterocles exustus,Pterocles exustus
ssp,Pterocles exustus floweri,
ssp,Pterocles exustus exustus,
ssp,Pterocles exustus ellioti,
ssp,,
ssp,Pterocles exustus olivascens,
ssp,,
ssp,Pterocles exustus erlangeri,
ssp,Pterocles exustus hindustan,
species,Pterocles senegallus,Pterocles senegallus
ssp,,
ssp,,
species,Pterocles orientalis,Pterocles orientalis
ssp,Pterocles orientalis orientalis,
ssp,Pterocles orientalis arenarius,
ssp,,
ssp,,
species,Pterocles gutturalis,Pterocles gutturalis
ssp,Pterocles gutturalis saturatior,
ssp,,
ssp,Pterocles gutturalis gutturalis,
species,Pterocles coronatus,Pterocles coronatus
ssp,Pterocles coronatus coronatus,
ssp,Pterocles coronatus vastitas,
ssp,Pterocles coronatus saturatus,
ssp,Pterocles coronatus atratus,
ssp,Pterocles coronatus ladas,
species,Pterocles decoratus,Pterocles decoratus
ssp,Pterocles decoratus ellenbecki,
ssp,Pterocles decoratus decoratus,
ssp,Pterocles decoratus loveridgei,
ssp,,
species,Pterocles personatus,Pterocles personatus
species,Pterocles lichtensteinii,Pterocles lichtensteinii
ssp,Pterocles lichtensteinii targius,
ssp,Pterocles lichtensteinii lichtensteinii,
ssp,,
ssp,,
ssp,,
ssp,Pterocles lichtensteinii sukensis,
ssp,Pterocles lichtensteinii arabicus,
ssp,Pterocles lichtensteinii ingramsi,
species,Pterocles indicus,Pterocles indicus
species,Pterocles quadricinctus,Pterocles quadricinctus
ssp,,
ssp,,
species,Pterocles bicinctus,Pterocles bicinctus
ssp,Pterocles bicinctus ansorgei,
ssp,,
ssp,Pterocles bicinctus bicinctus,
ssp,,
ssp,Pterocles bicinctus multicolor,
species,Pterocles burchelli,Pterocles burchelli
ssp,,
ssp,,
species,Columba livia,Columba livia
ssp,Columba livia livia,
ssp,Columba livia atlantis,
ssp,Columba livia canariensis,
ssp,Columba livia nigricans,
ssp,Columba livia gymnocycla,
ssp,,
ssp,Columba livia targia,
ssp,Columba livia dakhlae,
ssp,Columba livia schimperi,
ssp,Columba livia butleri,
ssp,Columba livia palaestinae,
ssp,Columba livia gaddi,
ssp,Columba livia neglecta,
ssp,Columba livia intermedia,
species,Columba rupestris,Columba rupestris
ssp,Columba rupestris turkestanica,
ssp,Columba rupestris rupestris,
species,Columba leuconota,Columba leuconota
ssp,Columba leuconota leuconota,
ssp,Columba leuconota gradaria,
species,Columba guinea,Columba guinea
ssp,Columba guinea guinea,
ssp,,
ssp,,
ssp,,
ssp,Columba guinea phaeonota,
species,Columba albitorques,Columba albitorques
species,Columba oenas,Columba oenas
ssp,Columba oenas oenas,
ssp,,
ssp,Columba oenas yarkandensis,
ssp,,
species,Columba eversmanni,Columba eversmanni
species,Columba oliviae,Columba oliviae
species,Columba palumbus,Columba palumbus
ssp,Columba palumbus palumbus,
ssp,Columba palumbus excelsa,
ssp,Columba palumbus maderensis,
ssp,Columba palumbus azorica,
ssp,Columba palumbus iranica,
ssp,Columba palumbus casiotis,
species,Columba trocaz,Columba trocaz
ssp,,
species,Columba bollii,Columba bollii
ssp,,
species,Columba junoniae,Columba junoniae
species,Columba unicincta,Columba unicincta
species,Columba arquatrix,Columba arquatrix
ssp,,
species,Columba sjostedti,Columba sjostedti
ssp,,
species,Columba thomensis,Columba thomensis
species,Columba pollenii,Columba pollenii
species,Columba hodgsonii,Columba hodgsonii
species,Columba albinucha,Columba albinucha
species,Columba pulchricollis,Columba pulchricollis
species,Columba elphinstonii,Columba elphinstonii
species,Columba torringtoniae,Columba torringtoniae
species,Columba punicea,Columba punicea
species,Columba argentina,Columba argentina
species,Columba palumboides,Columba palumboides
species,Columba janthina,Columba janthina
ssp,Columba janthina janthina,
ssp,Columba janthina nitens,
ssp,,
species,Columba versicolor,Columba versicolor
species,Columba jouyi,Columba jouyi
species,Columba vitiensis,Columba vitiensis
ssp,Columba vitiensis griseogularis,
ssp,Columba vitiensis anthracina,
ssp,Columba vitiensis metallica,
ssp,Columba vitiensis halmaheira,
ssp,Columba vitiensis leopoldi,
ssp,Columba vitiensis hypoenochroa,
ssp,,
ssp,Columba vitiensis vitiensis,
ssp,Columba vitiensis castaneiceps,
species,Columba leucomela,Columba leucomela
species,Columba pallidiceps,Columba pallidiceps
species,Columba delegorguei,Columba delegorguei
ssp,Columba delegorguei sharpei,
ssp,Columba delegorguei delegorguei,
species,Columba iriditorques,Columba iriditorques
ssp,,
ssp,,
species,Columba malherbii,Columba malherbii
species,Columba thiriouxi,Columba thiriouxi
species,Columba larvata,Aplopelia larvata
ssp,Columba larvata inornata,
ssp,,
ssp,,
ssp,,
ssp,Columba larvata principalis,
species,,
ssp,Columba larvata simplex,
ssp,Columba larvata bronzina,
ssp,Columba larvata larvata,
ssp,,
ssp,,
species,Patagioenas leucocephala,Patagioenas leucocephala
species,Patagioenas squamosa,Patagioenas squamosa
species,Patagioenas speciosa,Patagioenas speciosa
species,Patagioenas picazuro,Patagioenas picazuro
ssp,Patagioenas picazuro marginalis,
ssp,Patagioenas picazuro picazuro,
species,Patagioenas corensis,Patagioenas corensis
species,Patagioenas maculosa,Patagioenas maculosa
species,,Patagioenas albipennis
ssp,Patagioenas maculosa albipennis,
ssp,Patagioenas maculosa maculosa,
species,Patagioenas fasciata,Patagioenas fasciata
ssp,,
ssp,Patagioenas fasciata fasciata,
ssp,Patagioenas fasciata letonai,
ssp,Patagioenas fasciata parva,
ssp,Patagioenas fasciata vioscae,
ssp,Patagioenas fasciata crissalis,
species,,Patagioenas albilinea
ssp,Patagioenas fasciata albilinea,
ssp,,
ssp,Patagioenas fasciata roraimae,
species,Patagioenas araucana,Patagioenas araucana
species,Patagioenas caribaea,Patagioenas caribaea
species,Patagioenas cayennensis,Patagioenas cayennensis
ssp,Patagioenas cayennensis pallidicrissa,
ssp,,
ssp,,
ssp,Patagioenas cayennensis andersoni,
ssp,Patagioenas cayennensis tobagensis,
ssp,Patagioenas cayennensis cayennensis,
ssp,,
ssp,Patagioenas cayennensis sylvestris,
species,Patagioenas flavirostris,Patagioenas flavirostris
ssp,Patagioenas flavirostris flavirostris,
ssp,Patagioenas flavirostris madrensis,
ssp,Patagioenas flavirostris restricta,
ssp,Patagioenas flavirostris minima,
species,Patagioenas oenops,Patagioenas oenops
species,Patagioenas inornata,Patagioenas inornata
ssp,Patagioenas inornata inornata,
ssp,Patagioenas inornata exigua,
ssp,Patagioenas inornata wetmorei,
species,Patagioenas plumbea,Patagioenas plumbea
ssp,Patagioenas plumbea bogotensis,
ssp,,
ssp,Patagioenas plumbea chapmani,
ssp,Patagioenas plumbea pallescens,
ssp,Patagioenas plumbea wallacei,
ssp,Patagioenas plumbea baeri,
ssp,Patagioenas plumbea plumbea,
ssp,,
species,Patagioenas subvinacea,Patagioenas subvinacea
ssp,Patagioenas subvinacea subvinacea,
ssp,Patagioenas subvinacea berlepschi,
ssp,Patagioenas subvinacea ruberrima,
ssp,Patagioenas subvinacea peninsularis,
ssp,Patagioenas subvinacea zuliae,
ssp,,
species,,
ssp,Patagioenas subvinacea purpureotincta,
ssp,Patagioenas subvinacea ogilviegranti,
ssp,Patagioenas subvinacea recondita,
species,Patagioenas nigrirostris,Patagioenas nigrirostris
species,,
species,Patagioenas goodsoni,Patagioenas goodsoni
species,Streptopelia picturata,Nesoenas picturatus
ssp,Streptopelia picturata rostrata,
ssp,Streptopelia picturata aldabrana,
ssp,,
ssp,Streptopelia picturata coppingeri,
ssp,,
ssp,Streptopelia picturata comorensis,
ssp,Streptopelia picturata picturata,
ssp,,
species,Nesoenas cicur,Nesoenas cicur
species,Nesoenas rodericanus,Nesoenas rodericanus
species,Nesoenas mayeri,Nesoenas mayeri
ssp,,
species,Nesoenas duboisi,Nesoenas duboisi
ssp,,
species,Streptopelia turtur,Streptopelia turtur
ssp,Streptopelia turtur turtur,
ssp,Streptopelia turtur arenicola,
ssp,,
ssp,Streptopelia turtur hoggara,
ssp,Streptopelia turtur rufescens,
species,Streptopelia lugens,Streptopelia lugens
ssp,,
ssp,,
species,Streptopelia hypopyrrha,Streptopelia hypopyrrha
ssp,,
species,Streptopelia orientalis,Streptopelia orientalis
ssp,Streptopelia orientalis meena,
ssp,Streptopelia orientalis orientalis,
ssp,Streptopelia orientalis orii,
ssp,Streptopelia orientalis stimpsoni,
ssp,Streptopelia orientalis erythrocephala,
ssp,Streptopelia orientalis agricola,
species,Streptopelia bitorquata,Streptopelia bitorquata
species,Streptopelia dusumieri,Streptopelia dusumieri
ssp,,
ssp,,
species,Streptopelia decaocto,Streptopelia decaocto
ssp,Streptopelia decaocto decaocto,
ssp,,
species,,Streptopelia xanthocycla
ssp,Streptopelia decaocto xanthocycla,
species,Streptopelia roseogrisea,Streptopelia roseogrisea
ssp,Streptopelia roseogrisea roseogrisea,
ssp,,
ssp,Streptopelia roseogrisea arabica,
species,Streptopelia reichenowi,Streptopelia reichenowi
species,Streptopelia decipiens,Streptopelia decipiens
species,,
ssp,Streptopelia decipiens shelleyi,
ssp,Streptopelia decipiens logonensis,
ssp,Streptopelia decipiens decipiens,
ssp,,
ssp,Streptopelia decipiens elegans,
ssp,Streptopelia decipiens perspicillata,
ssp,,
ssp,Streptopelia decipiens ambigua,
species,Streptopelia semitorquata,Streptopelia semitorquata
ssp,,
ssp,,
ssp,,
ssp,,
species,Streptopelia capicola,Streptopelia capicola
ssp,Streptopelia capicola electa,
ssp,Streptopelia capicola somalica,
ssp,,
ssp,Streptopelia capicola tropica,
ssp,,
ssp,,
ssp,,
ssp,Streptopelia capicola onguati,
ssp,Streptopelia capicola damarensis,
ssp,Streptopelia capicola capicola,
species,Streptopelia vinacea,Streptopelia vinacea
ssp,,
ssp,,
ssp,,
ssp,,
ssp,,
ssp,,
species,Streptopelia tranquebarica,Streptopelia tranquebarica
ssp,Streptopelia tranquebarica humilis,
ssp,,
ssp,Streptopelia tranquebarica tranquebarica,
species,Streptopelia chinensis,Spilopelia chinensis
species,,Spilopelia suratensis
ssp,Streptopelia chinensis suratensis,
ssp,,
ssp,Streptopelia chinensis tigrina,
ssp,,
ssp,,
ssp,Streptopelia chinensis chinensis,
ssp,,
ssp,,
species,Streptopelia senegalensis,Spilopelia senegalensis
ssp,Streptopelia senegalensis phoenicophila,
ssp,Streptopelia senegalensis aegyptiaca,
ssp,,
ssp,Streptopelia senegalensis senegalensis,
ssp,,
ssp,,
ssp,Streptopelia senegalensis sokotrae,
ssp,Streptopelia senegalensis cambayensis,
ssp,,
species,Macropygia unchall,Macropygia unchall
ssp,Macropygia unchall tusalia,
ssp,Macropygia unchall minor,
ssp,Macropygia unchall unchall,
species,Macropygia amboinensis,Macropygia amboinensis
ssp,Macropygia amboinensis amboinensis,
ssp,Macropygia amboinensis admiralitatis,
ssp,Macropygia amboinensis carteretia,
ssp,Macropygia amboinensis hueskeri,
ssp,Macropygia amboinensis keyensis,
ssp,Macropygia amboinensis maforensis,
ssp,Macropygia amboinensis griseinucha,
ssp,Macropygia amboinensis meeki,
ssp,Macropygia amboinensis cinereiceps,
ssp,,
ssp,,
ssp,Macropygia amboinensis cunctata,
species,Macropygia doreya,
ssp,Macropygia doreya doreya,
ssp,Macropygia doreya balim,
ssp,Macropygia doreya albiceps,
ssp,Macropygia doreya atrata,
ssp,Macropygia doreya sanghirensis,
ssp,Macropygia doreya albicapilla,
ssp,Macropygia doreya sedecima,
species,Macropygia emiliana,Macropygia emiliana
ssp,Macropygia emiliana emiliana,
ssp,Macropygia emiliana megala,
species,Macropygia cinnamomea,
ssp,,
species,Macropygia modiglianii,
ssp,Macropygia modiglianii modiglianii,
ssp,Macropygia modiglianii elassa,
ssp,Macropygia modiglianii hypopercna,
species,Macropygia magna,Macropygia magna
ssp,,
species,Macropygia timorlaoensis,Macropygia timorlaoensis
ssp,,
species,Macropygia macassariensis,Macropygia macassariensis
ssp,Macropygia macassariensis macassariensis,
ssp,Macropygia macassariensis longa,
species,Macropygia tenuirostris,Macropygia tenuirostris
ssp,Macropygia tenuirostris phaea,
ssp,Macropygia tenuirostris tenuirostris,
