Rank,eBird Scientific Name 2019,Scientific Name
ssp,Nothoprocta ornata branickii,
ssp,Nothoprocta ornata ornata,
ssp,,
ssp,,
ssp,Nothoprocta ornata rostrata,
species,Nothoprocta perdicaria,Nothoprocta perdicaria
ssp,Nothoprocta perdicaria perdicaria,
ssp,Nothoprocta perdicaria sanborni,
species,Nothoprocta cinerascens,Nothoprocta cinerascens
ssp,Nothoprocta cinerascens cinerascens,
ssp,Nothoprocta cinerascens parvimaculata,
species,Nothoprocta pentlandii,Nothoprocta pentlandii
ssp,Nothoprocta pentlandii ambigua,
ssp,Nothoprocta pentlandii niethammeri,
ssp,Nothoprocta pentlandii oustaleti,
ssp,Nothoprocta pentlandii fulvescens,
ssp,Nothoprocta pentlandii pentlandii,
ssp,,
ssp,Nothoprocta pentlandii mendozae,
ssp,Nothoprocta pentlandii doeringi,
species,Nothoprocta curvirostris,Nothoprocta curvirostris
ssp,Nothoprocta curvirostris curvirostris,
ssp,Nothoprocta curvirostris peruviana,
species,Nothura boraquira,Nothura boraquira
species,Nothura minor,Nothura minor
species,Nothura darwinii,Nothura darwinii
ssp,Nothura darwinii peruviana,
ssp,Nothura darwinii agassizii,
ssp,Nothura darwinii boliviana,
ssp,Nothura darwinii salvadorii,
ssp,Nothura darwinii darwinii,
species,Nothura maculosa,Nothura maculosa
ssp,Nothura maculosa cearensis,
ssp,Nothura maculosa major,
ssp,Nothura maculosa paludivaga,
ssp,Nothura maculosa maculosa,
ssp,Nothura maculosa pallida,
ssp,Nothura maculosa annectens,
ssp,Nothura maculosa submontana,
ssp,Nothura maculosa nigroguttata,
species,,
ssp,Nothura maculosa chacoensis,
species,Taoniscus nanus,Taoniscus nanus
species,Eudromia elegans,Eudromia elegans
ssp,Eudromia elegans intermedia,
ssp,Eudromia elegans magnistriata,
ssp,Eudromia elegans riojana,
ssp,Eudromia elegans albida,
ssp,Eudromia elegans wetmorei,
ssp,Eudromia elegans numida,
ssp,Eudromia elegans elegans,
ssp,Eudromia elegans multiguttata,
ssp,Eudromia elegans devia,
ssp,Eudromia elegans patagonica,
species,Eudromia formosa,Eudromia formosa
ssp,Eudromia formosa formosa,
ssp,Eudromia formosa mira,
species,Tinamotis pentlandii,Tinamotis pentlandii
species,Tinamotis ingoufi,Tinamotis ingoufi
species,Alectura lathami,Alectura lathami
ssp,Alectura lathami purpureicollis,
ssp,Alectura lathami lathami,
species,Aepypodius arfakianus,Aepypodius arfakianus
ssp,Aepypodius arfakianus arfakianus,
ssp,Aepypodius arfakianus misoliensis,
species,Aepypodius bruijnii,Aepypodius bruijnii
species,Talegalla cuvieri,Talegalla cuvieri
ssp,Talegalla cuvieri cuvieri,
ssp,Talegalla cuvieri granti,
species,Talegalla fuscirostris,Talegalla fuscirostris
ssp,Talegalla fuscirostris fuscirostris,
ssp,Talegalla fuscirostris occidentis,
ssp,Talegalla fuscirostris aruensis,
ssp,Talegalla fuscirostris meyeri,
species,Talegalla jobiensis,Talegalla jobiensis
ssp,Talegalla jobiensis jobiensis,
ssp,Talegalla jobiensis longicaudus,
species,Leipoa ocellata,Leipoa ocellata
ssp,,
ssp,,
species,Macrocephalon maleo,Macrocephalon maleo
species,Eulipoa wallacei,Eulipoa wallacei
species,Megapodius pritchardii,Megapodius pritchardii
species,Megapodius laperouse,Megapodius laperouse
ssp,Megapodius laperouse senex,
ssp,Megapodius laperouse laperouse,
species,Megapodius nicobariensis,Megapodius nicobariensis
ssp,Megapodius nicobariensis nicobariensis,
ssp,Megapodius nicobariensis abbotti,
species,Megapodius cumingii,Megapodius cumingii
ssp,Megapodius cumingii cumingii,
ssp,Megapodius cumingii dillwyni,
ssp,Megapodius cumingii pusillus,
ssp,,
ssp,Megapodius cumingii tabon,
ssp,Megapodius cumingii gilbertii,
ssp,Megapodius cumingii sanghirensis,
ssp,Megapodius cumingii talautensis,
species,Megapodius bernsteinii,Megapodius bernsteinii
ssp,,
species,Megapodius tenimberensis,Megapodius tenimberensis
ssp,,
species,Megapodius freycinet,Megapodius freycinet
ssp,Megapodius freycinet quoyii,
ssp,Megapodius freycinet freycinet,
ssp,Megapodius freycinet oustaleti,
species,Megapodius forsteni,
ssp,Megapodius forsteni forsteni,
ssp,Megapodius forsteni buruensis,
species,Megapodius geelvinkianus,Megapodius geelvinkianus
ssp,,
species,Megapodius eremita,Megapodius eremita
ssp,,
ssp,,
species,Megapodius layardi,Megapodius layardi
species,Megapodius decollatus,Megapodius decollatus
ssp,,
ssp,,
ssp,,
ssp,,
species,Megapodius reinwardt,Megapodius reinwardt
ssp,Megapodius reinwardt reinwardt,
ssp,Megapodius reinwardt macgillivrayi,
ssp,Megapodius reinwardt tumulus,
ssp,Megapodius reinwardt yorki,
ssp,Megapodius reinwardt castanonotus,
species,Ortalis vetula,Ortalis vetula
ssp,Ortalis vetula mccalli,
ssp,Ortalis vetula vetula,
ssp,,
ssp,,
ssp,,
ssp,Ortalis vetula pallidiventris,
ssp,Ortalis vetula deschauenseei,
species,Ortalis cinereiceps,Ortalis cinereiceps
ssp,,
ssp,,
ssp,,
species,Ortalis garrula,Ortalis garrula
ssp,,
species,Ortalis ruficauda,Ortalis ruficauda
species,,
ssp,Ortalis ruficauda ruficrissa,
ssp,,
ssp,Ortalis ruficauda ruficauda,
species,Ortalis erythroptera,Ortalis erythroptera
species,Ortalis wagleri,Ortalis wagleri
species,Ortalis poliocephala,Ortalis poliocephala
ssp,,
species,Ortalis canicollis,Ortalis canicollis
ssp,Ortalis canicollis canicollis,
ssp,Ortalis canicollis pantanalensis,
species,Ortalis leucogastra,Ortalis leucogastra
ssp,,
species,Ortalis guttata,Ortalis guttata
ssp,Ortalis guttata guttata,
ssp,,
ssp,,
ssp,Ortalis guttata subaffinis,
ssp,Ortalis guttata remota,
species,Ortalis araucuan,Ortalis araucuan
ssp,,
species,Ortalis squamata,Ortalis squamata
ssp,,
species,Ortalis columbiana,Ortalis columbiana
ssp,,
ssp,,
species,Ortalis motmot,Ortalis motmot
ssp,Ortalis motmot motmot,
species,,
ssp,Ortalis motmot ruficeps,
species,Ortalis superciliaris,Ortalis superciliaris
species,,
species,Penelope argyrotis,Penelope argyrotis
ssp,Penelope argyrotis colombiana,
ssp,Penelope argyrotis albicauda,
ssp,Penelope argyrotis argyrotis,
ssp,,
species,Penelope barbata,Penelope barbata
ssp,,
species,Penelope ortoni,Penelope ortoni
species,Penelope montagnii,Penelope montagnii
ssp,Penelope montagnii montagnii,
ssp,Penelope montagnii atrogularis,
ssp,Penelope montagnii brooki,
ssp,Penelope montagnii plumosa,
ssp,Penelope montagnii sclateri,
species,Penelope marail,Penelope marail
ssp,Penelope marail jacupeba,
ssp,Penelope marail marail,
