CATEGORY,COMMON.NAME,SCIENTIFIC.NAME,SUBSPECIES.COMMON.NAME,SUBSPECIES.SCIENTIFIC.NAME
issf,Peregrine Falcon,Falco peregrinus,Peregrine Falcon (Tundra),Falco peregrinus calidus/tundrius
issf,Peregrine Falcon,Falco peregrinus,Peregrine Falcon (Shaheen),Falco peregrinus peregrinator
issf,Peregrine Falcon,Falco peregrinus,Peregrine Falcon (Red-capped),Falco peregrinus babylonicus
spuh,pheasant sp.,Phasianinae sp.,NA,NA
spuh,Phylloscopus sp.,Phylloscopus sp.,NA,NA
spuh,Phylloscopus sp. (Golden-spectacled Warbler complex),Phylloscopus sp. (burkii complex),NA,NA
spuh,Picus sp.,Picus sp.,NA,NA
spuh,pigeon/dove sp.,Columbidae sp.,NA,NA
issf,Pin-striped Tit-Babbler,Mixornis gularis,Pin-striped Tit-Babbler (Pin-striped),Mixornis gularis [gularis Group]
slash,Pin-tailed/Swinhoe's Snipe,Gallinago stenura/megala,NA,NA
slash,Pink-browed/Himalayan White-browed Rosefinch,Carpodacus rodochroa/thura,NA,NA
spuh,pipit sp.,Anthus sp.,NA,NA
spuh,pitta sp. (genus Erythropitta/Hydrornis/Pitta),Pittidae sp.,NA,NA
spuh,Pitta sp. (genus Pitta),Pitta sp.,NA,NA
slash,Plaintive/Gray-bellied Cuckoo,Cacomantis merulinus/passerinus,NA,NA
spuh,Ploceus sp.,Ploceus sp.,NA,NA
spuh,plover sp.,Charadriidae sp.,NA,NA
slash,Pomarine/Parasitic Jaeger,Stercorarius pomarinus/parasiticus,NA,NA
spuh,Pomatorhinus sp.,Pomatorhinus sp.,NA,NA
spuh,pond-heron sp.,Ardeola sp.,NA,NA
spuh,pratincole sp.,Glareola sp.,NA,NA
spuh,prinia sp.,Prinia sp.,NA,NA
spuh,Psilopogon sp.,Psilopogon sp.,NA,NA
spuh,Psittacula sp.,Psittacula sp.,NA,NA
issf,Purple Heron,Ardea purpurea,Purple Heron (Purple),Ardea purpurea [purpurea Group]
spuh,Pycnonotidae sp.,Pycnonotidae sp.,NA,NA
spuh,Pycnonotus sp.,Pycnonotus sp.,NA,NA
spuh,rail/crake sp.,Rallidae sp. (rail/crake sp.),NA,NA
issf,Red-billed Chough,Pyrrhocorax pyrrhocorax,Red-billed Chough (Red-billed),Pyrrhocorax pyrrhocorax [pyrrhocorax Group]
slash,Red-billed/Yellow-billed Chough,Pyrrhocorax pyrrhocorax/graculus,NA,NA
issf,Red-necked Falcon,Falco chicquera,Red-necked Falcon (Asian),Falco chicquera chicquera
slash,Red-necked/Little Stint,Calidris ruficollis/minuta,NA,NA
slash,Red-necked/Red Phalarope,Phalaropus lobatus/fulicarius,NA,NA
issf,Red-rumped Swallow,Cecropis daurica,Red-rumped Swallow (Red-rumped),Cecropis daurica [daurica Group]
slash,Red-rumped/Striated Swallow,Cecropis daurica/striolata,NA,NA
slash,Red-tailed/Isabelline Shrike,Lanius phoenicuroides/isabellinus,NA,NA
slash,Red-vented/Red-whiskered Bulbul,Pycnonotus cafer/jocosus,NA,NA
issf,Red Crossbill,Loxia curvirostra,Red Crossbill (Himalayan),Loxia curvirostra himalayensis
domestic,Red Junglefowl (Domestic type),Gallus gallus (Domestic type),NA,NA
spuh,redstart sp.,Phoenicurus sp.,NA,NA
slash,Richard's/Blyth's Pipit,Anthus richardi/godlewskii,NA,NA
slash,Richard's/Paddyfield Pipit,Anthus richardi/rufulus,NA,NA
spuh,Riparia sp.,Riparia sp.,NA,NA
spuh,rock-thrush sp.,Monticola sp.,NA,NA
domestic,Rock Pigeon,Columba livia,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon)
form,Rock Pigeon,Columba livia,Rock Pigeon (Wild type),Columba livia (Wild type)
spuh,roller sp.,Coracias sp.,NA,NA
spuh,rosefinch sp.,Carpodacus sp.,NA,NA
spuh,sandgrouse sp.,Pterocles sp.,NA,NA
issf,Sandwich Tern,Thalasseus sandvicensis,Sandwich Tern (Eurasian),Thalasseus sandvicensis sandvicensis
spuh,Saxicola sp.,Saxicola sp.,NA,NA
issf,Scaly-breasted Munia,Lonchura punctulata,Scaly-breasted Munia (Checkered),Lonchura punctulata punctulata
issf,Scaly Thrush,Zoothera dauma,Scaly Thrush (Scaly),Zoothera dauma dauma
issf,Scarlet Minivet,Pericrocotus speciosus,Scarlet Minivet (Scarlet),Pericrocotus speciosus [speciosus Group]
spuh,Schoeniparus sp.,Schoeniparus sp.,NA,NA
spuh,Scolopacidae sp.,Scolopacidae sp.,NA,NA
spuh,scops-owl sp.,Otus sp.,NA,NA
spuh,shearwater sp.,Procellariidae sp. (shearwater sp.),NA,NA
issf,Shikra,Accipiter badius,Shikra (Asian),Accipiter badius [badius Group]
spuh,shorebird sp.,Charadriiformes sp.,NA,NA
issf,Short-eared Owl,Asio flammeus,Short-eared Owl (Northern),Asio flammeus flammeus
spuh,shrike-babbler sp.,Pteruthius sp.,NA,NA
spuh,shrike sp.,Lanius sp.,NA,NA
issf,Siberian Stonechat,Saxicola maurus,Siberian Stonechat (Siberian),Saxicola maurus [maurus Group]
slash,Siberian/White-tailed Stonechat,Saxicola maurus/leucurus,NA,NA
issf,Silver-eared Mesia,Leiothrix argentauris,Silver-eared Mesia (Silver-eared),Leiothrix argentauris [argentauris Group]
slash,Singing/Indian Bushlark,Mirafra cantillans/erythroptera,NA,NA
spuh,skua sp.,Stercorarius sp. (skua sp.),NA,NA
spuh,small bittern sp.,Ixobrychus sp.,NA,NA
spuh,small falcon sp.,Falco sp. (small falcon sp.),NA,NA
spuh,small plover sp.,Charadrius sp.,NA,NA
spuh,small swift sp.,Apodidae sp. (small swift sp.),NA,NA
spuh,snipe sp.,Gallinago sp.,NA,NA
spuh,sparrow sp.,Passerellidae sp. (sparrow sp.),NA,NA
spuh,spiderhunter sp.,Arachnothera sp.,NA,NA
issf,Spotted Dove,Streptopelia chinensis,Spotted Dove (Western),Streptopelia chinensis suratensis
issf,Spotted Dove,Streptopelia chinensis,Spotted Dove (Eastern),Streptopelia chinensis chinensis/tigrina
spuh,Stachyris sp.,Stachyris sp.,NA,NA
spuh,Sterna sp.,Sterna sp.,NA,NA
spuh,stork sp.,Ciconiidae sp.,NA,NA
spuh,storm-petrel sp.,Oceanitidae/Hydrobatidae sp.,NA,NA
slash,Streaked/Bengal Weaver,Ploceus manyar/benghalensis,NA,NA
spuh,Streptopelia sp.,Streptopelia sp.,NA,NA
issf,Striated Heron,Butorides striata,Striated Heron (Old World),Butorides striata [atricapilla Group]
issf,Sultan Tit,Melanochlora sultanea,Sultan Tit (Yellow-crested),Melanochlora sultanea [sultanea Group]
spuh,sunbird sp.,Nectariniidae sp. (sunbird sp.),NA,NA
spuh,swallow sp.,Hirundinidae sp.,NA,NA
domestic,Swan Goose (Domestic type),Anser cygnoides (Domestic type),NA,NA
spuh,swift sp.,Apodidae sp.,NA,NA
spuh,swiftlet sp.,Collocalia/Aerodramus sp.,NA,NA
spuh,Sylvia sp.,Sylvia sp.,NA,NA
slash,Taiga/Red-breasted Flycatcher,Ficedula albicilla/parva,NA,NA
slash,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris,NA,NA
spuh,tailorbird sp.,Orthotomus sp.,NA,NA
slash,Tawny/Steppe Eagle,Aquila rapax/nipalensis,NA,NA
spuh,teal sp.,Anatidae sp. (teal sp.),NA,NA
spuh,tern sp.,Sterninae sp.,NA,NA
spuh,Tesia sp. (genus Tesia),Tesia sp.,NA,NA
issf,Thick-billed Flowerpecker,Dicaeum agile,Thick-billed Flowerpecker (Indian),Dicaeum agile agile/zeylonicum
slash,Thick-billed/Pale-billed Flowerpecker,Dicaeum agile/erythrorhynchos,NA,NA
spuh,thrush sp.,Turdidae sp.,NA,NA
issf,Tickell's Blue Flycatcher,Cyornis tickelliae,Tickell's Blue Flycatcher (Tickell's),Cyornis tickelliae tickelliae/jerdoni
slash,Tickell's/Alpine Leaf Warbler,Phylloscopus affinis/occisinensis,NA,NA
spuh,Timaliidae sp.,Timaliidae sp.,NA,NA
spuh,Tockus sp.,Tockus sp.,NA,NA
slash,Tree/Olive-backed Pipit,Anthus trivialis/hodgsoni,NA,NA
spuh,treecreeper sp.,Certhia sp.,NA,NA
spuh,treepie sp.,Dendrocitta/Crypsirina/Temnurus sp.,NA,NA
spuh,Treron sp.,Treron sp.,NA,NA
hybrid,Tricolored x Chestnut Munia (hybrid),Lonchura malacca x atricapilla,NA,NA
spuh,Tringa sp.,Tringa sp.,NA,NA
spuh,tropicbird sp.,Phaethon sp.,NA,NA
hybrid,Tufted Duck x Greater Scaup (hybrid),Aythya fuligula x marila,NA,NA
spuh,Turdoides sp.,Turdoides sp.,NA,NA
spuh,Turdus sp.,Turdus sp.,NA,NA
spuh,wagtail sp.,Motacilla sp.,NA,NA
spuh,waterfowl sp.,Anatidae sp.,NA,NA
issf,Western Reef-Heron,Egretta gularis,Western Reef-Heron (Eastern),Egretta gularis schistacea
issf,Western Yellow Wagtail,Motacilla flava,Western Yellow Wagtail (thunbergi),Motacilla flava thunbergi
form,Western Yellow Wagtail,Motacilla flava,Western Yellow Wagtail (flava/beema),Motacilla flava flava/beema
issf,Western Yellow Wagtail,Motacilla flava,Western Yellow Wagtail (feldegg),Motacilla flava feldegg
issf,Western Yellow Wagtail,Motacilla flava,Western Yellow Wagtail (leucocephala),Motacilla flava leucocephala
issf,Western Yellow Wagtail,Motacilla flava,Western Yellow Wagtail (beema),Motacilla flava beema
form,Western Yellow Wagtail,Motacilla flava,Western Yellow Wagtail (lutea/flavissima),Motacilla flava lutea/flavissima
issf,Western Yellow Wagtail,Motacilla flava,Western Yellow Wagtail (lutea),Motacilla flava lutea
intergrade,Western Yellow Wagtail,Motacilla flava,Western Yellow Wagtail (superciliaris-type intergrade),Motacilla flava (superciliaris intergrade)
intergrade,Western Yellow Wagtail,Motacilla flava,Western Yellow Wagtail (xanthophrys-type intergrade),Motacilla flava (xanthophrys intergrade)
form,Western Yellow Wagtail,Motacilla flava,Western Yellow Wagtail (iberiae/cinereocapilla/pygmaea),Motacilla flava [cinereocapilla Group]
slash,Western/Eastern Yellow Wagtail,Motacilla flava/tschutschensis,NA,NA
spuh,wheatear sp.,Oenanthe sp.,NA,NA
issf,Whimbrel,Numenius phaeopus,Whimbrel (European),Numenius phaeopus phaeopus
slash,Whimbrel/Eurasian Curlew,Numenius phaeopus/arquata,NA,NA
spuh,whistling-duck sp.,Dendrocygna sp.,NA,NA
issf,White-bellied Drongo,Dicrurus caerulescens,White-bellied Drongo (White-bellied),Dicrurus caerulescens caerulescens
slash,White-browed/White Wagtail,Motacilla maderaspatensis/alba,NA,NA
issf,White-rumped Shama,Copsychus malabaricus,White-rumped Shama (White-crowned),Copsychus malabaricus stricklandii/barbouri
issf,White-tailed Robin,Myiomela leucura,White-tailed Robin (White-tailed),Myiomela leucura leucura/montium
slash,White-throated/White-browed Fantail,Rhipidura albicollis/aureola,NA,NA
spuh,white egret sp.,Ardea/Egretta/Bubulcus sp.,NA,NA
issf,White Wagtail,Motacilla alba,White Wagtail (Hodgson's),Motacilla alba alboides
issf,White Wagtail,Motacilla alba,White Wagtail (ocularis),Motacilla alba ocularis
issf,White Wagtail,Motacilla alba,White Wagtail (Chinese),Motacilla alba leucopsis
issf,White Wagtail,Motacilla alba,White Wagtail (White-faced),Motacilla alba alba/dukhunensis
issf,White Wagtail,Motacilla alba,White Wagtail (Masked),Motacilla alba personata
issf,White Wagtail,Motacilla alba,White Wagtail (Transbaikalian),Motacilla alba baicalensis
issf,White Wagtail,Motacilla alba,White Wagtail (Black-backed),Motacilla alba lugens
domestic,Wild Turkey (Domestic type),Meleagris gallopavo (Domestic type),NA,NA
spuh,woodpecker sp.,Picidae sp.,NA,NA
issf,Woolly-necked Stork,Ciconia episcopus,Woolly-necked Stork (Asian),Ciconia episcopus episcopus/neglecta
slash,Yellow-bellied/Ashy Prinia,Prinia flaviventris/socialis,NA,NA
slash,Yellow-billed/Red-billed Blue-Magpie,Urocissa flavirostris/erythroryncha,NA,NA
slash,Yellow-browed/Hume's Warbler,Phylloscopus inornatus/humei,NA,NA
slash,Yellow-legged/Caspian Gull,Larus michahellis/cachinnans,NA,NA
hybrid,Yellowhammer x Pine Bunting (hybrid),Emberiza citrinella x leucocephalos,NA,NA
spuh,yuhina sp.,Yuhina sp.,NA,NA
spuh,Zapornia sp.,Zapornia sp.,NA,NA
issf,Zitting Cisticola,Cisticola juncidis,Zitting Cisticola (Zitting),Cisticola juncidis [juncidis Group]
slash,Zitting/Golden-headed Cisticola,Cisticola juncidis/exilis,NA,NA
spuh,Zoothera sp.,Zoothera sp.,NA,NA
