Common.Name,Scientific.Name,Migratory.Status,IUCN,WLPA.Schedule,Long.Term.Trend,Current.Annual.Change,Range.Size,Long.Term.Status,Current.Status,Range.Status,Concern.Status
Streak-throated Woodpecker,Picus xanthopygaeus,R,Least Concern,Schedule-IV,29.08±56.47,-6.17±5.81,28.79±0.07,Uncertain,Uncertain,Large,Low
Scaly-bellied Woodpecker,Picus squamatus,R,Least Concern,Schedule-IV,,-5.81±10.38,12.58±0.06,Data Deficient,Uncertain,Moderate,Low
Grey-headed Woodpecker,Picus canus,R,Least Concern,Schedule-IV,15.96±52.26,6.74±9.27,20.28±0.06,Uncertain,Uncertain,Moderate,Low
Greater Yellow-naped Woodpecker,Chrysophlegma flavinucha,R,Least Concern,Schedule-IV,30.94±73.93,5.36±11.47,14.79±0.09,Uncertain,Uncertain,Moderate,Low
Great Slaty Woodpecker,Mulleripicus pulverulentus,R,Vulnerable,Schedule-IV,,,3.27±0.07,Data Deficient,Data Deficient,Restricted,High
White-bellied Woodpecker,Dryocopus javensis,R,Least Concern,Schedule-IV,-55.58±26.62,-2.23±9.65,8.6±0.04,Moderate Decline,Uncertain,Moderate,Moderate
Andaman Woodpecker,Dryocopus hodgei,R,Vulnerable,Schedule-IV,,,0.5±0.01,Data Deficient,Data Deficient,Restricted,High
Collared Falconet,Microhierax caerulescens,R,Least Concern,Schedule-IV,,,3.46±0.05,Data Deficient,Data Deficient,Restricted,Moderate
Common Kestrel,Falco tinnunculus,LM,Least Concern,Schedule-IV,-56.7±9.24,-12.9±2.28,19.26±0.08,Moderate Decline,Strong Decline,Moderate,Moderate
Red-necked Falcon,Falco chicquera,R,Near Threatened,Schedule-I,-64.59±12.98,-8.13±4.83,56.32±0.14,Strong Decline,Strong Decline,Large,High
Amur Falcon,Falco amurensis,W/P,Least Concern,Schedule-IV,,-7.73±20.88,8.44±0.06,Data Deficient,Uncertain,Moderate,Low
Eurasian Hobby,Falco subbuteo,LM,Least Concern,Schedule-IV,,-1.83±54.62,4.75±0.27,Data Deficient,Uncertain,Moderate,Low
Laggar Falcon,Falco jugger,R,Near Threatened,Schedule-I,,7.32±37.69,15.43±0.07,Data Deficient,Uncertain,Moderate,Moderate
Peregrine Falcon,Falco peregrinus,LM,Least Concern,Schedule-I,-34.97±20.51,-3.6±4.76,17.67±0.15,Stable,Uncertain,Moderate,Low
Alexandrine Parakeet,Psittacula eupatria,R,Near Threatened,Schedule-IV,56.16±37.65,5.96±4.65,101.5±0.08,Uncertain,Moderate Increase,Very Large,Low
Rose-ringed Parakeet,Psittacula krameri,R,Least Concern,Schedule-IV,18.94±13.28,1.24±1.89,207.71±0.07,Stable,Stable,Very Large,Low
Slaty-headed Parakeet,Psittacula himalayana,R,Least Concern,Schedule-IV,10.38±77.78,8.02±15.46,11.29±0.06,Uncertain,Uncertain,Moderate,Low
Plum-headed Parakeet,Psittacula cyanocephala,R,Least Concern,Schedule-IV,-30.53±14.32,-0.42±3.76,129.6±0.08,Stable,Uncertain,Very Large,Low
Malabar Parakeet,Psittacula columboides,R,Least Concern,Schedule-IV,-57.99±27.37,-5.42±9.61,13.14±0.03,Moderate Decline,Uncertain,Moderate,Moderate
Red-breasted Parakeet,Psittacula alexandri,R,Near Threatened,Schedule-IV,18.42±84.43,-5.08±10.5,12.13±0.05,Uncertain,Uncertain,Moderate,Moderate
Nicobar Parakeet,Psittacula caniceps,R,Near Threatened,Schedule-IV,,,0.1,Data Deficient,Data Deficient,Restricted,Moderate
Long-tailed Parakeet,Psittacula longicauda,R,Vulnerable,Schedule-IV,,14.59±13.44,0.6±0.01,Data Deficient,Moderate Increase,Restricted,Low
Vernal Hanging Parrot,Loriculus vernalis,R,Least Concern,Schedule-IV,-40.03±31.75,3.99±10.96,22.2±0.04,Uncertain,Uncertain,Moderate,Low
Long-tailed Broadbill,Psarisomus dalhousiae,R,Least Concern,Schedule-IV,,7.4±22.2,9.18±0.05,Data Deficient,Uncertain,Moderate,Low
Blue-naped Pitta,Hydrornis nipalensis,R,Least Concern,Schedule-IV,,,4.79±0.08,Data Deficient,Data Deficient,Moderate,Moderate
Indian Pitta,Pitta brachyura,LM,Least Concern,Schedule-IV,-33.14±30.09,3.19±8.65,29.75±0.07,Uncertain,Uncertain,Large,Low
Malabar Woodshrike,Tephrodornis sylvicola,R,Least Concern,Schedule-IV,-68.91±14.71,-3.96±7.3,9.07±0.04,Strong Decline,Uncertain,Moderate,Moderate
Large Woodshrike,Tephrodornis virgatus,R,Least Concern,Schedule-IV,-7.68±79.32,2.69±17.35,14.59±0.09,Uncertain,Uncertain,Moderate,Low
Common Woodshrike,Tephrodornis pondicerianus,R,Least Concern,Schedule-IV,-62.1±6.99,-5.85±2.67,135.05±0.12,Strong Decline,Strong Decline,Very Large,High
Bar-winged Flycatcher-shrike,Hemipus picatus,R,Least Concern,Schedule-IV,-51.29±16.69,-1.32±5.66,31.14±0.06,Moderate Decline,Uncertain,Large,Moderate
Ashy Woodswallow,Artamus fuscus,R,Least Concern,Schedule-IV,-38.52±17.07,-7.22±3.59,65.91±0.07,Stable,Strong Decline,Large,Moderate
Common Iora,Aegithina tiphia,R,Least Concern,Schedule-IV,-39.49±9.31,-3.8±2.4,149.68±0.08,Moderate Decline,Moderate Decline,Very Large,Moderate
Marshall's Iora,Aegithina nigrolutea,R,Least Concern,Schedule-IV,,-2.87±15.16,8.41±0.05,Data Deficient,Uncertain,Moderate,Low
White-bellied Minivet,Pericrocotus erythropygius,R,Least Concern,Schedule-IV,,-8.36±9.55,13.58±0.08,Data Deficient,Uncertain,Moderate,Low
Small Minivet,Pericrocotus cinnamomeus,R,Least Concern,Schedule-IV,-58.47±8.01,-6.37±2.75,137.25±0.1,Strong Decline,Strong Decline,Very Large,High
Short-billed Minivet,Pericrocotus brevirostris,R,Least Concern,Schedule-IV,-56.82±73.53,0.42±31.21,9.65±0.08,Uncertain,Uncertain,Moderate,Low
Long-tailed Minivet,Pericrocotus ethologus,R,Least Concern,Schedule-IV,-29.06±29.83,-7.21±5.78,29.35±0.07,Uncertain,Moderate Decline,Large,Moderate
Orange Minivet,Pericrocotus flammeus,R,Least Concern,Schedule-IV,-49.88±25.1,-7.23±6.66,19.68±0.04,Uncertain,Uncertain,Moderate,Low
Scarlet Minivet,Pericrocotus speciosus,R,Least Concern,Schedule-IV,-10.01±33.01,-3.41±5.5,37.61±0.08,Uncertain,Uncertain,Large,Low
Large Cuckooshrike,Coracina javensis,R,Least Concern,Schedule-IV,-64.73±8.48,-4.79±3.66,93.32±0.1,Strong Decline,Moderate Decline,Large,High
Andaman Cuckooshrike,Coracina dobsoni,R,Near Threatened,Schedule-IV,,,0.32±0.06,Data Deficient,Data Deficient,Restricted,Moderate
Black-winged Cuckooshrike,Lalage melaschistos,LM,Least Concern,Schedule-IV,-31.48±73.13,10.66±25.92,6.82±0.44,Uncertain,Uncertain,Moderate,Low
Black-headed Cuckooshrike,Lalage melanoptera,LM,Least Concern,Schedule-IV,-49.66±14.24,2.46±5.15,24.18±0.12,Moderate Decline,Uncertain,Moderate,Moderate
Isabelline Shrike,Lanius isabellinus,W/P,Least Concern,Schedule-IV,-38.23±65.16,0.85±18.93,26.59±0.09,Uncertain,Uncertain,Large,Low
Brown Shrike,Lanius cristatus,W/P,Least Concern,Schedule-IV,-31.66±21.41,-6.41±4.62,85.83±0.08,Stable,Moderate Decline,Large,Low
Bay-backed Shrike,Lanius vittatus,R,Least Concern,Schedule-IV,-57.92±9.53,-4.46±3.37,129.4±0.09,Moderate Decline,Uncertain,Very Large,Moderate
Long-tailed Shrike,Lanius schach,LM,Least Concern,Schedule-IV,-18.26±14.37,-6.01±2.47,55.96±0.09,Stable,Strong Decline,Large,Moderate
Grey-backed Shrike,Lanius tephronotus,LM,Least Concern,Schedule-IV,-51.33±39.92,3.92±16.53,14.41±0.08,Uncertain,Uncertain,Moderate,Low
Great Grey Shrike,Lanius excubitor,LM,Least Concern,Schedule-IV,-84.46±6.47,-7.9±5.88,4.26±0.07,Strong Decline,Moderate Decline,Moderate,High
Black-headed Shrike-babbler,Pteruthius rufiventer,R,Least Concern,Schedule-IV,,,4.44±0.11,Data Deficient,Data Deficient,Moderate,Moderate
Himalayan Shrike-babbler,Pteruthius ripleyi,R,Least Concern,Schedule-IV,,,6.07±0.06,Data Deficient,Data Deficient,Moderate,Moderate
Green Shrike-babbler,Pteruthius xanthochlorus,R,Least Concern,Schedule-IV,,1.19±32.89,9.83±0.11,Data Deficient,Uncertain,Moderate,Low
White-bellied Erpornis,Erpornis zantholeuca,R,Least Concern,Schedule-IV,,5.36±27.79,9.96±0.09,Data Deficient,Uncertain,Moderate,Low
Indian Golden Oriole,Oriolus kundoo,LM,Least Concern,Schedule-IV,-9.53±15.1,-3.58±2.57,65.24±0.1,Stable,Uncertain,Large,Low
Black-naped Oriole,Oriolus chinensis,W/P,Least Concern,Schedule-IV,-11.44±75.74,-2.35±14,24.23±0.06,Uncertain,Uncertain,Moderate,Low
Black-hooded Oriole,Oriolus xanthornus,R,Least Concern,Schedule-IV,-18.11±20.91,0.51±4.47,97.06±0.06,Stable,Uncertain,Large,Low
Maroon Oriole,Oriolus traillii,R,Least Concern,Schedule-IV,20.53±55.28,-1.01±7.38,16.36±0.08,Uncertain,Uncertain,Moderate,Low
Black Drongo,Dicrurus macrocercus,R,Least Concern,Schedule-IV,32.16±13.5,-3.43±1.39,224.35±0.07,Stable,Moderate Decline,Very Large,Low
Ashy Drongo,Dicrurus leucophaeus,LM,Least Concern,Schedule-IV,1.32±23.36,-0.49±3.89,23.28±0.06,Stable,Uncertain,Moderate,Low
White-bellied Drongo,Dicrurus caerulescens,R,Least Concern,Schedule-IV,-30.75±18.44,-7.78±3.47,92.52±0.09,Stable,Strong Decline,Large,Moderate
Bronzed Drongo,Dicrurus aeneus,R,Least Concern,Schedule-IV,-34.77±20.45,-0.87±5.7,45.53±0.06,Stable,Uncertain,Large,Low
Lesser Racket-tailed Drongo,Dicrurus remifer,R,Least Concern,Schedule-IV,-23.26±53.91,-8.69±9.07,14.43±0.07,Uncertain,Uncertain,Moderate,Low
Hair-crested Drongo,Dicrurus hottentottus,LM,Least Concern,Schedule-IV,-30.7±32.81,0.6±8.68,9.18±0.08,Uncertain,Uncertain,Moderate,Low
Andaman Drongo,Dicrurus andamanensis,R,Least Concern,Schedule-IV,,-6.71±6.81,0.58±0,Data Deficient,Uncertain,Restricted,Moderate
Greater Racket-tailed Drongo,Dicrurus paradiseus,R,Least Concern,Schedule-IV,-47.26±16.97,-2.73±5.3,51.89±0.05,Moderate Decline,Uncertain,Large,Moderate
White-throated Fantail,Rhipidura albicollis,R,Least Concern,Schedule-IV,52.22±56.83,1.69±6.49,36.82±0.07,Uncertain,Uncertain,Large,Low
White-spotted Fantail,Rhipidura albogularis,R,Least Concern,Schedule-IV,44.66±51.52,15.78±8.39,47.14±0.07,Uncertain,Strong Increase,Large,Low
White-browed Fantail,Rhipidura aureola,R,Least Concern,Schedule-IV,-33±18.51,-3.76±4.25,85.54±0.09,Stable,Uncertain,Large,Low
Black-naped Monarch,Hypothymis azurea,R,Least Concern,Schedule-IV,-46.84±13.57,-0.02±4.33,79.08±0.08,Moderate Decline,Uncertain,Large,Moderate
Indian Paradise-flycatcher,Terpsiphone paradisi,LM,Least Concern,Schedule-IV,-20.21±16.66,-1.93±3.38,54.31±0.09,Stable,Uncertain,Large,Low
Eurasian Jay,Garrulus glandarius,R,Least Concern,Schedule-IV,,-2.85±12.82,8.18±0.06,Data Deficient,Uncertain,Moderate,Low
Black-headed Jay,Garrulus lanceolatus,R,Least Concern,Schedule-IV,-19.94±59.34,0.83±13.06,9.07±0.05,Uncertain,Uncertain,Moderate,Low
Yellow-billed Blue Magpie,Urocissa flavirostris,R,Least Concern,Schedule-IV,21.93±87.28,-1.38±12.14,14.47±0.05,Uncertain,Uncertain,Moderate,Low
Red-billed Blue Magpie,Urocissa erythroryncha,R,Least Concern,Schedule-IV,-18.19±52.69,-0.29±10.82,12.18±0.05,Uncertain,Uncertain,Moderate,Low
Common Green Magpie,Cissa chinensis,R,Least Concern,Schedule-IV,-8.77±61.71,2.72±12.81,9.07±0.06,Uncertain,Uncertain,Moderate,Low
Rufous Treepie,Dendrocitta vagabunda,R,Least Concern,Schedule-IV,18.35±15.76,-2.47±2.14,173.7±0.07,Stable,Uncertain,Very Large,Low
Grey Treepie,Dendrocitta formosae,R,Least Concern,Schedule-IV,72.73±73.4,15.63±10.96,23.54±0.07,Uncertain,Strong Increase,Moderate,Low
White-bellied Treepie,Dendrocitta leucogastra,R,Least Concern,Schedule-IV,-70.09±22.07,-6.66±10.56,7.4±0.03,Moderate Decline,Uncertain,Moderate,Moderate
Collared Treepie,Dendrocitta frontalis,R,Least Concern,Schedule-IV,,0.99±22.09,2.79±0.07,Data Deficient,Uncertain,Restricted,Moderate
Andaman Treepie,Dendrocitta bayleii,R,Vulnerable,Schedule-IV,,,0.5±0.02,Data Deficient,Data Deficient,Restricted,High
Large-spotted Nutcracker,Nucifraga multipunctata,R,Least Concern,Schedule-IV,,,2.4±0.08,Data Deficient,Data Deficient,Restricted,Moderate
Red-billed Chough,Pyrrhocorax pyrrhocorax,R,Least Concern,Schedule-IV,-47.7±42.3,6.37±18.5,12.68±0.05,Uncertain,Uncertain,Moderate,Low
Yellow-billed Chough,Pyrrhocorax graculus,R,Least Concern,Schedule-IV,,1.85±16.8,12.69±0.06,Data Deficient,Uncertain,Moderate,Low
House Crow,Corvus splendens,R,Least Concern,Schedule-V,47.1±16.03,1.4±1.85,217.98±0.06,Moderate Increase,Stable,Very Large,Low
Large-billed Crow,Corvus macrorhynchos,R,Least Concern,Schedule-IV,4.78±12.05,2.37±2.18,203.01±0.07,Stable,Uncertain,Very Large,Low
Common Raven,Corvus corax,R,Least Concern,Schedule-IV,,-9.14±8.53,19.34±0.08,Data Deficient,Uncertain,Moderate,Low
Rufous-tailed Lark,Ammomanes phoenicura,R,Least Concern,Schedule-IV,-67.58±8.82,-3.05±4.24,91.12±0.08,Strong Decline,Uncertain,Large,Moderate
Ashy-crowned Sparrow Lark,Eremopterix griseus,R,Least Concern,Schedule-IV,-51.19±10.36,-3.52±3.48,135.96±0.08,Moderate Decline,Uncertain,Very Large,Moderate
Singing Bushlark,Mirafra cantillans,R,Least Concern,Schedule-IV,,-24.03±3.75,16.23±0.1,Data Deficient,Strong Decline,Moderate,Moderate
Bengal Bushlark,Mirafra assamica,R,Least Concern,Schedule-IV,,-6.33±7.57,24.92±0.08,Data Deficient,Uncertain,Moderate,Low
Jerdon's Bushlark,Mirafra affinis,R,Least Concern,Schedule-IV,-13.33±37.24,-1.05±7.31,36.04±0.05,Uncertain,Uncertain,Large,Low
Indian Bushlark,Mirafra erythroptera,R,Least Concern,Schedule-IV,-33.86±17.88,-3.42±4.21,90.2±0.1,Stable,Uncertain,Large,Low
Greater Short-toed Lark,Calandrella brachydactyla,W/P,Least Concern,Schedule-IV,-41.48±173.21,191.16±400.8,24.89±0.06,Uncertain,Uncertain,Moderate,Low
Sykes's Short-toed Lark,Calandrella dukhunensis,W/P,Least Concern,Schedule-IV,,,,,,,
Sand Lark,Alaudala raytal,R,Least Concern,Schedule-IV,-53.58±26.16,6.22±11.97,21.71±0.08,Moderate Decline,Uncertain,Moderate,Moderate
Oriental Skylark,Alauda gulgula,R,Least Concern,Schedule-IV,-61.11±9.84,0.33±4.56,90.18±0.12,Strong Decline,Uncertain,Large,Moderate
Crested Lark,Galerida cristata,R,Least Concern,Schedule-IV,-61.47±12.95,-1.63±5.72,41.13±0.08,Moderate Decline,Uncertain,Large,Moderate
Malabar Lark,Galerida malabarica,R,Least Concern,Schedule-IV,-59.8±26.15,-10.02±8.21,15.86±0.05,Moderate Decline,Moderate Decline,Moderate,Moderate
Sykes's Lark,Galerida deva,R,Least Concern,Schedule-IV,,-5.18±6.82,31.87±0.09,Data Deficient,Uncertain,Large,Low
Grey-throated Martin,Riparia chinensis,R,Least Concern,Schedule-IV,-36.59±22.76,3±6.99,57.56±0.09,Stable,Uncertain,Large,Low
Eurasian Crag Martin,Ptyonoprogne rupestris,LM,Least Concern,Schedule-IV,-77.49±22.62,-3.4±16.34,4.89±0.07,Strong Decline,Uncertain,Moderate,Moderate
Dusky Crag Martin,Ptyonoprogne concolor,R,Least Concern,Schedule-IV,-24.62±17.42,8.15±5.33,104.72±0.08,Stable,Strong Increase,Very Large,Low
Barn Swallow,Hirundo rustica,LM,Least Concern,Schedule-IV,-16.3±12.14,-0.41±2.27,140.63±0.09,Stable,Uncertain,Very Large,Low
Wire-tailed Swallow,Hirundo smithii,R,Least Concern,Schedule-IV,-5.91±20.4,-0.12±3.69,151.11±0.09,Stable,Uncertain,Very Large,Low
Hill Swallow,Hirundo domicola,R,Least Concern,Schedule-IV,,-2.42±11.03,3.68±0.04,Data Deficient,Uncertain,Restricted,Moderate
Red-rumped Swallow,Cecropis daurica,R,Least Concern,Schedule-IV,-35.77±10.92,1.08±2.99,132.64±0.09,Stable,Uncertain,Very Large,Low
Streak-throated Swallow,Petrochelidon fluvicola,R,Least Concern,Schedule-IV,-22.59±20.32,7.16±5.33,111.17±0.13,Stable,Strong Increase,Very Large,Low
Nepal House Martin,Delichon nipalense,LM,Least Concern,Schedule-IV,,-9.04±23.99,2.79±0.08,Data Deficient,Uncertain,Restricted,Moderate
Yellow-bellied Fairy-fantail,Chelidorhynx hypoxanthus,R,Least Concern,Schedule-IV,-40.26±33.37,-2.54±9.61,19.21±0.09,Uncertain,Uncertain,Moderate,Low
Grey-headed Canary-flycatcher,Culicicapa ceylonensis,LM,Least Concern,Schedule-IV,-47.13±16.32,-7.09±4.58,13.13±0.05,Moderate Decline,Moderate Decline,Moderate,Moderate
Fire-capped Tit,Cephalopyrus flammiceps,R,Least Concern,Schedule-IV,,,4.02±0.09,Data Deficient,Data Deficient,Restricted,Moderate
Yellow-browed Tit,Sylviparus modestus,R,Least Concern,Schedule-IV,-63.52±35.24,-0.49±16.38,7.54±0.06,Moderate Decline,Uncertain,Moderate,Moderate
Sultan Tit,Melanochlora sultanea,R,Least Concern,Schedule-IV,,2.17±55.78,6.57±0.05,Data Deficient,Uncertain,Moderate,Low
Coal Tit,Periparus ater,R,Least Concern,Schedule-IV,-35.2±51.78,-3.31±13.41,12.75±0.05,Uncertain,Uncertain,Moderate,Low
Rufous-naped Tit,Periparus rufonuchalis,R,Least Concern,Schedule-IV,,-7.37±12.48,9.75±0.09,Data Deficient,Uncertain,Moderate,Low
Rufous-vented Tit,Periparus rubidiventris,R,Least Concern,Schedule-IV,,-3.17±24.21,6.11±0.06,Data Deficient,Uncertain,Moderate,Low
Grey-crested Tit,Lophophanes dichrous,R,Least Concern,Schedule-IV,,3.82±25.75,6.16±0.06,Data Deficient,Uncertain,Moderate,Low
Green-backed Tit,Parus monticolus,R,Least Concern,Schedule-IV,-28.65±38.67,-3.71±8.37,18.75±0.05,Uncertain,Uncertain,Moderate,Low
Cinereous Tit,Parus cinereus,R,Least Concern,Schedule-IV,-13.09±20.07,1.71±4.13,121.3±0.08,Stable,Uncertain,Very Large,Low
White-naped Tit,Machlolophus nuchalis,R,Vulnerable,Schedule-IV,,,3.97±0.1,Data Deficient,Data Deficient,Restricted,High
Himalayan Black-lored Tit,Machlolophus xanthogenys,R,Least Concern,Schedule-IV,4.8±81.61,-8.32±9.7,8.83±0.05,Uncertain,Uncertain,Moderate,Low
Indian Yellow Tit,Machlolophus aplonotus,R,Least Concern,Schedule-IV,-42.89±20.05,-5.35±4.84,41.87±0.07,Stable,Uncertain,Large,Low
Yellow-cheeked Tit,Machlolophus spilonotus,R,Least Concern,Schedule-IV,,-2.68±24.88,4.77±0.07,Data Deficient,Uncertain,Moderate,Low
Black-throated Tit,Aegithalos concinnus,R,Least Concern,Schedule-IV,-23.46±40.14,-5.99±7.11,15.81±0.05,Uncertain,Uncertain,Moderate,Low
White-throated Tit,Aegithalos niveogularis,R,Least Concern,Schedule-IV,,,6.59±0.14,Data Deficient,Data Deficient,Moderate,Moderate
Black-browed Tit,Aegithalos iouschistos,R,Least Concern,Schedule-IV,,,2.63±0.09,Data Deficient,Data Deficient,Restricted,Moderate
Indian Nuthatch,Sitta castanea,R,Least Concern,Schedule-IV,-74.25±13.09,-8.32±6.58,24.92±0.09,Strong Decline,Moderate Decline,Moderate,High
Chestnut-bellied Nuthatch,Sitta cinnamoventris,R,Least Concern,Schedule-IV,3.09±47.9,1.06±8.19,18.31±0.07,Uncertain,Uncertain,Moderate,Low
Kashmir Nuthatch,Sitta cashmirensis,R,Least Concern,Schedule-IV,,,1.68±0.09,Data Deficient,Data Deficient,Restricted,Moderate
White-tailed Nuthatch,Sitta himalayensis,R,Least Concern,Schedule-IV,-53.23±30.48,-2.7±10.12,9.99±0.05,Uncertain,Uncertain,Moderate,Low
White-cheeked Nuthatch,Sitta leucopsis,R,Least Concern,Schedule-IV,,,6.97±0.12,Data Deficient,Data Deficient,Moderate,Moderate
Velvet-fronted Nuthatch,Sitta frontalis,R,Least Concern,Schedule-IV,-62.04±12.72,-5.54±4.75,31.33±0.06,Moderate Decline,Uncertain,Large,Moderate
Beautiful Nuthatch,Sitta formosa,R,Vulnerable,Schedule-IV,,,1.97±0.08,Data Deficient,Data Deficient,Restricted,High
Wallcreeper,Tichodroma muraria,W/P,Least Concern,Schedule-IV,-23.04±343.98,-2.97±78.57,15.07±0.13,Uncertain,Uncertain,Moderate,Low
Hodgson's Treecreeper,Certhia hodgsoni,R,Least Concern,Schedule-IV,,,11.31±0.11,Data Deficient,Data Deficient,Moderate,Moderate
Bar-tailed Treecreeper,Certhia himalayana,R,Least Concern,Schedule-IV,-7.33±61.92,-8.53±8.84,13.42±0.05,Uncertain,Uncertain,Moderate,Low
Rusty-flanked Treecreeper,Certhia nipalensis,R,Least Concern,Schedule-IV,,,4.49±0.08,Data Deficient,Data Deficient,Moderate,Moderate
Sikkim Treecreeper,Certhia discolor,R,Least Concern,Schedule-IV,,-2.36±15.29,2.18±0.05,Data Deficient,Uncertain,Restricted,Moderate
Indian Spotted Creeper,Salpornis spilonota,R,Least Concern,Schedule-IV,,,3.61±0.1,Data Deficient,Data Deficient,Restricted,Moderate
Eurasian Wren,Troglodytes troglodytes,R,Least Concern,Schedule-IV,,-9.79±14.26,13.24±0.06,Data Deficient,Uncertain,Moderate,Low
Brown Dipper,Cinclus pallasii,R,Least Concern,Schedule-IV,-42.15±32.69,2.43±10.87,18.99±0.06,Uncertain,Uncertain,Moderate,Low
Grey-headed Bulbul,Brachypodius priocephalus,R,Near Threatened,Schedule-IV,,-3.63±10.38,9.94±0.04,Data Deficient,Uncertain,Moderate,Moderate
Andaman Bulbul,Brachypodius fuscoflavescens,R,Least Concern,Schedule-IV,,2.02±10.33,0.51±0,Data Deficient,Uncertain,Restricted,Moderate
Black-crested Bulbul,Pycnonotus flaviventris,R,Least Concern,Schedule-IV,7.61±50.87,5.38±9.82,23.03±0.07,Uncertain,Uncertain,Moderate,Low
Flame-throated Bulbul,Pycnonotus gularis,R,Least Concern,Schedule-IV,-68.56±21.31,-4.73±9.92,9.61±0.03,Moderate Decline,Uncertain,Moderate,Moderate
Striated Bulbul,Pycnonotus striatus,R,Least Concern,Schedule-IV,,-4.87±25.34,6.49±0.07,Data Deficient,Uncertain,Moderate,Low
Red-vented Bulbul,Pycnonotus cafer,R,Least Concern,Schedule-IV,13.69±8.77,-0.39±1.19,221.73±0.07,Stable,Stable,Very Large,Low
Red-whiskered Bulbul,Pycnonotus jocosus,R,Least Concern,Schedule-IV,24.92±27.23,-0.06±3.59,113.5±0.06,Uncertain,Uncertain,Very Large,Low
White-eared Bulbul,Pycnonotus leucotis,R,Least Concern,Schedule-IV,-10.11±38.49,-1.63±7.66,34.5±0.07,Uncertain,Uncertain,Large,Low
Himalayan Bulbul,Pycnonotus leucogenis,R,Least Concern,Schedule-IV,90.16±103.3,2.92±10.4,17.22±0.04,Uncertain,Uncertain,Moderate,Low
Yellow-throated Bulbul,Pycnonotus xantholaemus,R,Vulnerable,Schedule-IV,,-11.21±9.75,9.37±0.06,Data Deficient,Moderate Decline,Moderate,Moderate
White-browed Bulbul,Pycnonotus luteolus,R,Least Concern,Schedule-IV,-10.6±26.47,-0.35±5.16,65.01±0.06,Uncertain,Uncertain,Large,Low
White-throated Bulbul,Alophoixus flaveolus,R,Least Concern,Schedule-IV,-24.75±210.99,10.11±70.23,10.22±0.05,Uncertain,Uncertain,Moderate,Low
Indian Olive Bulbul,Iole cacharensis,R,Least Concern,Schedule-IV,,,0.24,Data Deficient,Data Deficient,Very Restricted,High
Yellow-browed Bulbul,Acritillas indica,R,Least Concern,Schedule-IV,-77.79±14.55,-5.76±9.92,15.14±0.03,Strong Decline,Uncertain,Moderate,Moderate
Black Bulbul,Hypsipetes leucocephalus,R,Least Concern,Schedule-IV,36.03±56.64,3.97±7.9,25.19±0.06,Uncertain,Uncertain,Large,Low
Square-tailed Bulbul,Hypsipetes ganeesa,R,Least Concern,Schedule-IV,-73.73±13.09,-6.03±7.23,10.84±0.04,Strong Decline,Uncertain,Moderate,Moderate
Nicobar Bulbul,Ixos nicobariensis,R,Near Threatened,Schedule-IV,,,0.03,Data Deficient,Data Deficient,Restricted,Moderate
Ashy Bulbul,Hemixos flavala,R,Least Concern,Schedule-IV,-11.19±57.95,-3.04±10.09,14.48±0.08,Uncertain,Uncertain,Moderate,Low
Mountain Bulbul,Ixos mcclellandii,R,Least Concern,Schedule-IV,,1.8±19.18,10.17±0.06,Data Deficient,Uncertain,Moderate,Low
Scaly-breasted Wren Babbler,Pnoepyga albiventer,R,Least Concern,Schedule-IV,,-4.29±120.6,10.22±0.07,Data Deficient,Uncertain,Moderate,Low
Nepal Wren Babbler,Pnoepyga immaculata,R,Least Concern,Schedule-IV,,,3.24±0.16,Data Deficient,Data Deficient,Restricted,Moderate
Pygmy Wren Babbler,Pnoepyga pusilla,R,Least Concern,Schedule-IV,,6.11±32.45,8.74±0.08,Data Deficient,Uncertain,Moderate,Low
Pale-footed Bush Warbler,Hemitesia pallidipes,R,Least Concern,Schedule-IV,,,1.58±0.11,Data Deficient,Data Deficient,Restricted,Moderate
Grey-bellied Tesia,Tesia cyaniventer,R,Least Concern,Schedule-IV,,-10.35±26.75,9.03±0.08,Data Deficient,Uncertain,Moderate,Low
Slaty-bellied Tesia,Tesia olivea,R,Least Concern,Schedule-IV,,-6.28±17.54,4.72±0.09,Data Deficient,Uncertain,Moderate,Low
Grey-sided Bush Warbler,Cettia brunnifrons,R,Least Concern,Schedule-IV,,-11.9±22.35,9.4±0.07,Data Deficient,Uncertain,Moderate,Low
Chestnut-headed Tesia,Cettia castaneocoronata,R,Least Concern,Schedule-IV,-31.57±67.2,-9.02±12.21,11.11±0.07,Uncertain,Uncertain,Moderate,Low
Yellow-bellied Warbler,Abroscopus superciliaris,R,Least Concern,Schedule-IV,,5.27±37.77,6.46±0.08,Data Deficient,Uncertain,Moderate,Low
Black-faced Warbler,Abroscopus schisticeps,R,Least Concern,Schedule-IV,,3.81±16.38,7.01±0.07,Data Deficient,Uncertain,Moderate,Low
Mountain Tailorbird,Phyllergates cucullatus,R,Least Concern,Schedule-IV,,0.49±51.33,8.89±0.11,Data Deficient,Uncertain,Moderate,Low
Broad-billed Warbler,Tickellia hodgsoni,R,Least Concern,Schedule-IV,,2.61±24.79,3.23±0.11,Data Deficient,Uncertain,Restricted,Moderate
Brownish-flanked Bush Warbler,Horornis fortipes,R,Least Concern,Schedule-IV,-27.73±56.25,-0.54±13.93,14.52±0.08,Uncertain,Uncertain,Moderate,Low
