Common.Name,Scientific.Name,Migratory.Status,IUCN,WLPA.Schedule,Long.Term.Trend,Current.Annual.Change,Range.Size,Long.Term.Status,Current.Status,Range.Status,Concern.Status
Indian Black Ibis,Pseudibis papillosa,R,Least Concern,Schedule-IV,100.53±46.61,-2.44±3.42,136.12±0.08,Strong Increase,Uncertain,Very Large,Low
Eurasian Spoonbill,Platalea leucorodia,LM,Least Concern,Schedule-I,-14.88±26.8,-4.07±4.9,23.74±0.08,Uncertain,Uncertain,Moderate,Low
Osprey,Pandion haliaetus,W/P,Least Concern,Schedule-I,-48.44±25.94,-4.8±7.72,58.48±0.09,Uncertain,Uncertain,Large,Low
Black-winged Kite,Elanus caeruleus,R,Least Concern,Schedule-I,-34.65±10.14,-5.67±2.33,197.28±0.11,Stable,Strong Decline,Very Large,Low
Bearded Vulture,Gypaetus barbatus,R,Near Threatened,Schedule-I,-60.92±27.78,-10.4±8.72,15.53±0.06,Moderate Decline,Moderate Decline,Moderate,Moderate
Egyptian Vulture,Neophron percnopterus,R,Endangered,Schedule-IV,-59.48±13.98,-8.85±4.66,62.4±0.07,Moderate Decline,Strong Decline,Large,High
Oriental Honey Buzzard,Pernis ptilorhynchus,R,Least Concern,Schedule-I,-2.18±16.58,-5.2±2.29,163.28±0.14,Stable,Strong Decline,Very Large,Low
Jerdon's Baza,Aviceda jerdoni,R,Least Concern,Schedule-I,,,11.62±0.13,Data Deficient,Data Deficient,Moderate,Moderate
Black Baza,Aviceda leuphotes,LM,Least Concern,Schedule-I,,-3.38±41.85,0.93±0.09,Data Deficient,Uncertain,Restricted,Moderate
Red-headed Vulture,Sarcogyps calvus,R,Critically Endangered,Schedule-IV,-81.11±9.63,-17.77±4.22,17.71±0.07,Strong Decline,Strong Decline,Moderate,High
Cinereous Vulture,Aegypius monachus,W/P,Near Threatened,Schedule-IV,,-12.42±10.97,6±0.09,Data Deficient,Moderate Decline,Moderate,Moderate
White-rumped Vulture,Gyps bengalensis,R,Critically Endangered,Schedule-I,-97.04±0.91,-17.69±3.04,24.39±0.08,Strong Decline,Strong Decline,Moderate,High
Indian Vulture,Gyps indicus,R,Critically Endangered,Schedule-I,-90.09±4.26,-10.35±5.66,24.49±0.07,Strong Decline,Strong Decline,Moderate,High
Slender-billed Vulture,Gyps tenuirostris,R,Critically Endangered,Schedule-I,,,3.85±0.07,Data Deficient,Data Deficient,Restricted,High
Himalayan Vulture,Gyps himalayensis,LM,Near Threatened,Schedule-IV,-33.94±39.94,-4.24±9.12,12.24±0.07,Uncertain,Uncertain,Moderate,Moderate
Griffon Vulture,Gyps fulvus,W/P,Least Concern,Schedule-IV,-76.46±20.59,-10.55±10.44,15.98±0.1,Strong Decline,Uncertain,Moderate,Moderate
Nicobar Serpent Eagle,Spilornis klossi,R,Near Threatened,Schedule-I,,,0.1,Data Deficient,Data Deficient,Restricted,Moderate
Crested Serpent Eagle,Spilornis cheela,R,Least Concern,Schedule-I,-21.22±16.33,-6.36±2.88,111.66±0.09,Stable,Strong Decline,Very Large,Low
Andaman Serpent Eagle,Spilornis elgini,R,Vulnerable,Schedule-I,,-4.68±9.93,0.48±0.02,Data Deficient,Uncertain,Restricted,High
Short-toed Snake Eagle,Circaetus gallicus,R,Least Concern,Schedule-I,-62.4±8.62,-8.9±2.94,110.43±0.12,Strong Decline,Strong Decline,Very Large,High
Changeable Hawk Eagle,Nisaetus cirrhatus,R,Least Concern,Schedule-I,-37.68±16.63,-5.71±3.84,55.33±0.08,Stable,Moderate Decline,Large,Low
Mountain Hawk-Eagle,Nisaetus nipalensis,R,Least Concern,Schedule-I,-26.97±45.92,-5.45±8.71,13.74±0.08,Uncertain,Uncertain,Moderate,Low
Legge's Hawk-Eagle,Nisaetus kelaarti,R,Least Concern,Schedule-I,,,7.03±0.07,Data Deficient,Data Deficient,Moderate,Moderate
Rufous-bellied Eagle,Lophotriorchis kienerii,R,Near Threatened,Schedule-I,-38.42±32.88,-9.13±6.08,20.2±0.08,Uncertain,Strong Decline,Moderate,Moderate
Black Eagle,Ictinaetus malaiensis,R,Least Concern,Schedule-I,-34.77±18.42,-5.39±3.87,53.26±0.08,Stable,Moderate Decline,Large,Low
Indian Spotted Eagle,Clanga hastata,R,Vulnerable,Schedule-I,12.9±41.42,-5.34±4.79,62.67±0.12,Uncertain,Uncertain,Large,Moderate
Greater Spotted Eagle,Clanga clanga,W/P,Vulnerable,Schedule-I,33.32±72.53,-4.15±7.5,36.77±0.08,Uncertain,Uncertain,Large,Moderate
Booted Eagle,Hieraaetus pennatus,W/P,Least Concern,Schedule-I,9.1±67.96,-4.98±9.27,73.82±0.12,Uncertain,Uncertain,Large,Low
Tawny Eagle,Aquila rapax,R,Vulnerable,Schedule-I,-75.24±10.16,-13.03±4.51,39.71±0.09,Strong Decline,Strong Decline,Large,High
Steppe Eagle,Aquila nipalensis,W/P,Endangered,Schedule-I,-17.93±45.19,-7.29±7.53,33.45±0.07,Uncertain,Uncertain,Large,High
Eastern Imperial Eagle,Aquila heliaca,W/P,Vulnerable,Schedule-I,,-0.23±16.73,8.75±0.08,Data Deficient,Uncertain,Moderate,Moderate
Golden Eagle,Aquila chrysaetos,R,Least Concern,Schedule-I,,-13.57±9.64,14.79±0.1,Data Deficient,Strong Decline,Moderate,Moderate
Bonelli's Eagle,Aquila fasciata,R,Least Concern,Schedule-I,8.3±33.13,-2.28±4.72,81.31±0.12,Uncertain,Uncertain,Large,Low
White-eyed Buzzard,Butastur teesa,LM,Least Concern,Schedule-I,-13.23±22.28,-9.25±3.06,25.04±0.08,Stable,Strong Decline,Moderate,Moderate
Western Marsh Harrier,Circus aeruginosus,W/P,Least Concern,Schedule-I,-40.9±20.69,-5.72±5.12,83.36±0.08,Stable,Uncertain,Large,Low
Pallid Harrier,Circus macrourus,W/P,Near Threatened,Schedule-I,-77.32±27.54,-9.05±16.36,34.46±0.08,Moderate Decline,Uncertain,Large,Moderate
Montagu's Harrier,Circus pygargus,W/P,Least Concern,Schedule-I,-63.16±24.1,-5.69±9.93,36.19±0.08,Moderate Decline,Uncertain,Large,Moderate
