eBird CODE,SCIENTIFIC.NAME,COMMON.NAME,order,family,genus,species
lesfri,Fregata ariel,Lesser Frigatebird,Suliformes,Fregatidae,Fregata,ariel
grefri,Fregata minor,Great Frigatebird,Suliformes,Fregatidae,Fregata,minor
chifri1,Fregata andrewsi,Christmas Island Frigatebird,Suliformes,Fregatidae,Fregata,andrewsi
refboo,Sula sula,Red-footed Booby,Suliformes,Sulidae,Sula,sula
brnboo,Sula leucogaster,Brown Booby,Suliformes,Sulidae,Sula,leucogaster
masboo,Sula dactylatra,Masked Booby,Suliformes,Sulidae,Sula,dactylatra
litcor1,Microcarbo niger,Little Cormorant,Suliformes,Phalacrocoracidae,Microcarbo,niger
grecor,Phalacrocorax carbo,Great Cormorant,Suliformes,Phalacrocoracidae,Phalacrocorax,carbo
indcor1,Phalacrocorax fuscicollis,Indian Cormorant,Suliformes,Phalacrocoracidae,Phalacrocorax,fuscicollis
darter2,Anhinga melanogaster,Oriental Darter,Suliformes,Anhingidae,Anhinga,melanogaster
indthk1,Burhinus indicus,Indian Thick-knee,Charadriiformes,Burhinidae,Burhinus,indicus
grtkne1,Esacus recurvirostris,Great Thick-knee,Charadriiformes,Burhinidae,Esacus,recurvirostris
beathk1,Esacus magnirostris,Beach Thick-knee,Charadriiformes,Burhinidae,Esacus,magnirostris
euroys1,Haematopus ostralegus,Eurasian Oystercatcher,Charadriiformes,Haematopodidae,Haematopus,ostralegus
ibisbi1,Ibidorhyncha struthersii,Ibisbill,Charadriiformes,Ibidorhynchidae,Ibidorhyncha,struthersii
pieavo1,Recurvirostra avosetta,Pied Avocet,Charadriiformes,Recurvirostridae,Recurvirostra,avosetta
bkwsti,Himantopus himantopus,Black-winged Stilt,Charadriiformes,Recurvirostridae,Himantopus,himantopus
bkbplo,Pluvialis squatarola,Black-bellied Plover,Charadriiformes,Charadriidae,Pluvialis,squatarola
eugplo,Pluvialis apricaria,European Golden-Plover,Charadriiformes,Charadriidae,Pluvialis,apricaria
pagplo,Pluvialis fulva,Pacific Golden-Plover,Charadriiformes,Charadriidae,Pluvialis,fulva
corplo,Charadrius hiaticula,Common Ringed Plover,Charadriiformes,Charadriidae,Charadrius,hiaticula
lobplo1,Charadrius placidus,Long-billed Plover,Charadriiformes,Charadriidae,Charadrius,placidus
lirplo,Charadrius dubius,Little Ringed Plover,Charadriiformes,Charadriidae,Charadrius,dubius
kenplo1,Charadrius alexandrinus,Kentish Plover,Charadriiformes,Charadriidae,Charadrius,alexandrinus
lesplo,Charadrius mongolus,Lesser Sand-Plover,Charadriiformes,Charadriidae,Charadrius,mongolus
grsplo,Charadrius leschenaultii,Greater Sand-Plover,Charadriiformes,Charadriidae,Charadrius,leschenaultii
casplo1,Charadrius asiaticus,Caspian Plover,Charadriiformes,Charadriidae,Charadrius,asiaticus
oriplo1,Charadrius veredus,Oriental Plover,Charadriiformes,Charadriidae,Charadrius,veredus
norlap,Vanellus vanellus,Northern Lapwing,Charadriiformes,Charadriidae,Vanellus,vanellus
rivlap1,Vanellus duvaucelii,River Lapwing,Charadriiformes,Charadriidae,Vanellus,duvaucelii
yewlap2,Vanellus malabaricus,Yellow-wattled Lapwing,Charadriiformes,Charadriidae,Vanellus,malabaricus
gyhlap1,Vanellus cinereus,Gray-headed Lapwing,Charadriiformes,Charadriidae,Vanellus,cinereus
rewlap1,Vanellus indicus,Red-wattled Lapwing,Charadriiformes,Charadriidae,Vanellus,indicus
soclap1,Vanellus gregarius,Sociable Lapwing,Charadriiformes,Charadriidae,Vanellus,gregarius
whtlap1,Vanellus leucurus,White-tailed Lapwing,Charadriiformes,Charadriidae,Vanellus,leucurus
grpsni1,Rostratula benghalensis,Greater Painted-Snipe,Charadriiformes,Rostratulidae,Rostratula,benghalensis
phtjac1,Hydrophasianus chirurgus,Pheasant-tailed Jacana,Charadriiformes,Jacanidae,Hydrophasianus,chirurgus
brwjac1,Metopidius indicus,Bronze-winged Jacana,Charadriiformes,Jacanidae,Metopidius,indicus
whimbr,Numenius phaeopus,Whimbrel,Charadriiformes,Scolopacidae,Numenius,phaeopus
eurcur,Numenius arquata,Eurasian Curlew,Charadriiformes,Scolopacidae,Numenius,arquata
batgod,Limosa lapponica,Bar-tailed Godwit,Charadriiformes,Scolopacidae,Limosa,lapponica
bktgod,Limosa limosa,Black-tailed Godwit,Charadriiformes,Scolopacidae,Limosa,limosa
rudtur,Arenaria interpres,Ruddy Turnstone,Charadriiformes,Scolopacidae,Arenaria,interpres
grekno,Calidris tenuirostris,Great Knot,Charadriiformes,Scolopacidae,Calidris,tenuirostris
redkno,Calidris canutus,Red Knot,Charadriiformes,Scolopacidae,Calidris,canutus
ruff,Calidris pugnax,Ruff,Charadriiformes,Scolopacidae,Calidris,pugnax
brbsan,Calidris falcinellus,Broad-billed Sandpiper,Charadriiformes,Scolopacidae,Calidris,falcinellus
shtsan,Calidris acuminata,Sharp-tailed Sandpiper,Charadriiformes,Scolopacidae,Calidris,acuminata
cursan,Calidris ferruginea,Curlew Sandpiper,Charadriiformes,Scolopacidae,Calidris,ferruginea
temsti,Calidris temminckii,Temminck's Stint,Charadriiformes,Scolopacidae,Calidris,temminckii
lotsti,Calidris subminuta,Long-toed Stint,Charadriiformes,Scolopacidae,Calidris,subminuta
spbsan1,Calidris pygmea,Spoon-billed Sandpiper,Charadriiformes,Scolopacidae,Calidris,pygmea
rensti,Calidris ruficollis,Red-necked Stint,Charadriiformes,Scolopacidae,Calidris,ruficollis
sander,Calidris alba,Sanderling,Charadriiformes,Scolopacidae,Calidris,alba
dunlin,Calidris alpina,Dunlin,Charadriiformes,Scolopacidae,Calidris,alpina
litsti,Calidris minuta,Little Stint,Charadriiformes,Scolopacidae,Calidris,minuta
bubsan,Calidris subruficollis,Buff-breasted Sandpiper,Charadriiformes,Scolopacidae,Calidris,subruficollis
pecsan,Calidris melanotos,Pectoral Sandpiper,Charadriiformes,Scolopacidae,Calidris,melanotos
asidow1,Limnodromus semipalmatus,Asian Dowitcher,Charadriiformes,Scolopacidae,Limnodromus,semipalmatus
lobdow,Limnodromus scolopaceus,Long-billed Dowitcher,Charadriiformes,Scolopacidae,Limnodromus,scolopaceus
eurwoo,Scolopax rusticola,Eurasian Woodcock,Charadriiformes,Scolopacidae,Scolopax,rusticola
solsni1,Gallinago solitaria,Solitary Snipe,Charadriiformes,Scolopacidae,Gallinago,solitaria
woosni1,Gallinago nemoricola,Wood Snipe,Charadriiformes,Scolopacidae,Gallinago,nemoricola
pitsni,Gallinago stenura,Pin-tailed Snipe,Charadriiformes,Scolopacidae,Gallinago,stenura
swisni1,Gallinago megala,Swinhoe's Snipe,Charadriiformes,Scolopacidae,Gallinago,megala
gresni1,Gallinago media,Great Snipe,Charadriiformes,Scolopacidae,Gallinago,media
comsni,Gallinago gallinago,Common Snipe,Charadriiformes,Scolopacidae,Gallinago,gallinago
jacsni,Lymnocryptes minimus,Jack Snipe,Charadriiformes,Scolopacidae,Lymnocryptes,minimus
tersan,Xenus cinereus,Terek Sandpiper,Charadriiformes,Scolopacidae,Xenus,cinereus
comsan,Actitis hypoleucos,Common Sandpiper,Charadriiformes,Scolopacidae,Actitis,hypoleucos
grnsan,Tringa ochropus,Green Sandpiper,Charadriiformes,Scolopacidae,Tringa,ochropus
gyttat1,Tringa brevipes,Gray-tailed Tattler,Charadriiformes,Scolopacidae,Tringa,brevipes
spored,Tringa erythropus,Spotted Redshank,Charadriiformes,Scolopacidae,Tringa,erythropus
comgre,Tringa nebularia,Common Greenshank,Charadriiformes,Scolopacidae,Tringa,nebularia
comred1,Tringa totanus,Common Redshank,Charadriiformes,Scolopacidae,Tringa,totanus
woosan,Tringa glareola,Wood Sandpiper,Charadriiformes,Scolopacidae,Tringa,glareola
marsan,Tringa stagnatilis,Marsh Sandpiper,Charadriiformes,Scolopacidae,Tringa,stagnatilis
renpha,Phalaropus lobatus,Red-necked Phalarope,Charadriiformes,Scolopacidae,Phalaropus,lobatus
redpha1,Phalaropus fulicarius,Red Phalarope,Charadriiformes,Scolopacidae,Phalaropus,fulicarius
smabut2,Turnix sylvaticus,Small Buttonquail,Charadriiformes,Turnicidae,Turnix,sylvaticus
yelbut1,Turnix tanki,Yellow-legged Buttonquail,Charadriiformes,Turnicidae,Turnix,tanki
barbut1,Turnix suscitator,Barred Buttonquail,Charadriiformes,Turnicidae,Turnix,suscitator
craplo1,Dromas ardeola,Crab-Plover,Charadriiformes,Dromadidae,Dromas,ardeola
jercou1,Rhinoptilus bitorquatus,Jerdon's Courser,Charadriiformes,Glareolidae,Rhinoptilus,bitorquatus
crccou1,Cursorius cursor,Cream-colored Courser,Charadriiformes,Glareolidae,Cursorius,cursor
indcou1,Cursorius coromandelicus,Indian Courser,Charadriiformes,Glareolidae,Cursorius,coromandelicus
colpra,Glareola pratincola,Collared Pratincole,Charadriiformes,Glareolidae,Glareola,pratincola
oripra,Glareola maldivarum,Oriental Pratincole,Charadriiformes,Glareolidae,Glareola,maldivarum
smapra1,Glareola lactea,Small Pratincole,Charadriiformes,Glareolidae,Glareola,lactea
lotjae,Stercorarius longicaudus,Long-tailed Jaeger,Charadriiformes,Stercorariidae,Stercorarius,longicaudus
parjae,Stercorarius parasiticus,Parasitic Jaeger,Charadriiformes,Stercorariidae,Stercorarius,parasiticus
pomjae,Stercorarius pomarinus,Pomarine Jaeger,Charadriiformes,Stercorariidae,Stercorarius,pomarinus
sopsku1,Stercorarius maccormicki,South Polar Skua,Charadriiformes,Stercorariidae,Stercorarius,maccormicki
brnsku3,Stercorarius antarcticus,Brown Skua,Charadriiformes,Stercorariidae,Stercorarius,antarcticus
brnnod,Anous stolidus,Brown Noddy,Charadriiformes,Laridae,Anous,stolidus
lesnod1,Anous tenuirostris,Lesser Noddy,Charadriiformes,Laridae,Anous,tenuirostris
blknod,Anous minutus,Black Noddy,Charadriiformes,Laridae,Anous,minutus
whiter,Gygis alba,White Tern,Charadriiformes,Laridae,Gygis,alba
indski1,Rynchops albicollis,Indian Skimmer,Charadriiformes,Laridae,Rynchops,albicollis
bklkit,Rissa tridactyla,Black-legged Kittiwake,Charadriiformes,Laridae,Rissa,tridactyla
sabgul,Xema sabini,Sabine's Gull,Charadriiformes,Laridae,Xema,sabini
slbgul1,Chroicocephalus genei,Slender-billed Gull,Charadriiformes,Laridae,Chroicocephalus,genei
bnhgul1,Chroicocephalus brunnicephalus,Brown-headed Gull,Charadriiformes,Laridae,Chroicocephalus,brunnicephalus
bkhgul,Chroicocephalus ridibundus,Black-headed Gull,Charadriiformes,Laridae,Chroicocephalus,ridibundus
litgul,Hydrocoloeus minutus,Little Gull,Charadriiformes,Laridae,Hydrocoloeus,minutus
fragul,Leucophaeus pipixcan,Franklin's Gull,Charadriiformes,Laridae,Leucophaeus,pipixcan
whegul2,Ichthyaetus leucophthalmus,White-eyed Gull,Charadriiformes,Laridae,Ichthyaetus,leucophthalmus
soogul2,Ichthyaetus hemprichii,Sooty Gull,Charadriiformes,Laridae,Ichthyaetus,hemprichii
gbhgul2,Ichthyaetus ichthyaetus,Pallas's Gull,Charadriiformes,Laridae,Ichthyaetus,ichthyaetus
mewgul,Larus canus,Mew Gull,Charadriiformes,Laridae,Larus,canus
lbbgul,Larus fuscus,Lesser Black-backed Gull,Charadriiformes,Laridae,Larus,fuscus
casgul2,Larus cachinnans,Caspian Gull,Charadriiformes,Laridae,Larus,cachinnans
hergul,Larus argentatus,Herring Gull,Charadriiformes,Laridae,Larus,argentatus
sooter1,Onychoprion fuscatus,Sooty Tern,Charadriiformes,Laridae,Onychoprion,fuscatus
briter1,Onychoprion anaethetus,Bridled Tern,Charadriiformes,Laridae,Onychoprion,anaethetus
litter1,Sternula albifrons,Little Tern,Charadriiformes,Laridae,Sternula,albifrons
sauter2,Sternula saundersi,Saunders's Tern,Charadriiformes,Laridae,Sternula,saundersi
gubter1,Gelochelidon nilotica,Gull-billed Tern,Charadriiformes,Laridae,Gelochelidon,nilotica
caster1,Hydroprogne caspia,Caspian Tern,Charadriiformes,Laridae,Hydroprogne,caspia
whiter2,Chlidonias hybrida,Whiskered Tern,Charadriiformes,Laridae,Chlidonias,hybrida
whwter,Chlidonias leucopterus,White-winged Tern,Charadriiformes,Laridae,Chlidonias,leucopterus
blkter,Chlidonias niger,Black Tern,Charadriiformes,Laridae,Chlidonias,niger
rivter1,Sterna aurantia,River Tern,Charadriiformes,Laridae,Sterna,aurantia
roster,Sterna dougallii,Roseate Tern,Charadriiformes,Laridae,Sterna,dougallii
blnter1,Sterna sumatrana,Black-naped Tern,Charadriiformes,Laridae,Sterna,sumatrana
comter,Sterna hirundo,Common Tern,Charadriiformes,Laridae,Sterna,hirundo
whcter1,Sterna repressa,White-cheeked Tern,Charadriiformes,Laridae,Sterna,repressa
arcter,Sterna paradisaea,Arctic Tern,Charadriiformes,Laridae,Sterna,paradisaea
blbter1,Sterna acuticauda,Black-bellied Tern,Charadriiformes,Laridae,Sterna,acuticauda
lecter2,Thalasseus bengalensis,Lesser Crested Tern,Charadriiformes,Laridae,Thalasseus,bengalensis
santer1,Thalasseus sandvicensis,Sandwich Tern,Charadriiformes,Laridae,Thalasseus,sandvicensis
grcter1,Thalasseus bergii,Great Crested Tern,Charadriiformes,Laridae,Thalasseus,bergii
osprey,Pandion haliaetus,Osprey,Accipitriformes,Pandionidae,Pandion,haliaetus
bkskit1,Elanus caeruleus,Black-winged Kite,Accipitriformes,Accipitridae,Elanus,caeruleus
orihob2,Pernis ptilorhynchus,Oriental Honey-buzzard,Accipitriformes,Accipitridae,Pernis,ptilorhynchus
jerbaz1,Aviceda jerdoni,Jerdon's Baza,Accipitriformes,Accipitridae,Aviceda,jerdoni
blabaz1,Aviceda leuphotes,Black Baza,Accipitriformes,Accipitridae,Aviceda,leuphotes
lammer1,Gypaetus barbatus,Bearded Vulture,Accipitriformes,Accipitridae,Gypaetus,barbatus
egyvul1,Neophron percnopterus,Egyptian Vulture,Accipitriformes,Accipitridae,Neophron,percnopterus
crseag1,Spilornis cheela,Crested Serpent-Eagle,Accipitriformes,Accipitridae,Spilornis,cheela
nicsee1,Spilornis klossi,Nicobar Serpent-Eagle,Accipitriformes,Accipitridae,Spilornis,klossi
anseag1,Spilornis elgini,Andaman Serpent-Eagle,Accipitriformes,Accipitridae,Spilornis,elgini
shteag1,Circaetus gallicus,Short-toed Snake-Eagle,Accipitriformes,Accipitridae,Circaetus,gallicus
rehvul1,Sarcogyps calvus,Red-headed Vulture,Accipitriformes,Accipitridae,Sarcogyps,calvus
himgri1,Gyps himalayensis,Himalayan Griffon,Accipitriformes,Accipitridae,Gyps,himalayensis
whrvul1,Gyps bengalensis,White-rumped Vulture,Accipitriformes,Accipitridae,Gyps,bengalensis
indvul1,Gyps indicus,Indian Vulture,Accipitriformes,Accipitridae,Gyps,indicus
slbvul1,Gyps tenuirostris,Slender-billed Vulture,Accipitriformes,Accipitridae,Gyps,tenuirostris
eurgri1,Gyps fulvus,Eurasian Griffon,Accipitriformes,Accipitridae,Gyps,fulvus
cinvul1,Aegypius monachus,Cinereous Vulture,Accipitriformes,Accipitridae,Aegypius,monachus
mouhae1,Nisaetus nipalensis,Mountain Hawk-Eagle,Accipitriformes,Accipitridae,Nisaetus,nipalensis
mouhae2,Nisaetus kelaarti,Legge's Hawk-Eagle,Accipitriformes,Accipitridae,Nisaetus,kelaarti
chahae1,Nisaetus limnaeetus,Changeable Hawk-Eagle,Accipitriformes,Accipitridae,Nisaetus,limnaeetus
crehae1,Nisaetus cirrhatus,Crested Hawk-Eagle,Accipitriformes,Accipitridae,Nisaetus,cirrhatus
rubeag2,Lophotriorchis kienerii,Rufous-bellied Eagle,Accipitriformes,Accipitridae,Lophotriorchis,kienerii
blaeag1,Ictinaetus malaiensis,Black Eagle,Accipitriformes,Accipitridae,Ictinaetus,malaiensis
inseag1,Clanga hastata,Indian Spotted Eagle,Accipitriformes,Accipitridae,Clanga,hastata
grseag1,Clanga clanga,Greater Spotted Eagle,Accipitriformes,Accipitridae,Clanga,clanga
taweag1,Aquila rapax,Tawny Eagle,Accipitriformes,Accipitridae,Aquila,rapax
steeag1,Aquila nipalensis,Steppe Eagle,Accipitriformes,Accipitridae,Aquila,nipalensis
impeag1,Aquila heliaca,Imperial Eagle,Accipitriformes,Accipitridae,Aquila,heliaca
goleag,Aquila chrysaetos,Golden Eagle,Accipitriformes,Accipitridae,Aquila,chrysaetos
boneag2,Aquila fasciata,Bonelli's Eagle,Accipitriformes,Accipitridae,Aquila,fasciata
booeag1,Hieraaetus pennatus,Booted Eagle,Accipitriformes,Accipitridae,Hieraaetus,pennatus
wemhar1,Circus aeruginosus,Eurasian Marsh-Harrier,Accipitriformes,Accipitridae,Circus,aeruginosus
eamhar1,Circus spilonotus,Eastern Marsh-Harrier,Accipitriformes,Accipitridae,Circus,spilonotus
norhar1,Circus cyaneus,Hen Harrier,Accipitriformes,Accipitridae,Circus,cyaneus
palhar1,Circus macrourus,Pallid Harrier,Accipitriformes,Accipitridae,Circus,macrourus
piehar1,Circus melanoleucos,Pied Harrier,Accipitriformes,Accipitridae,Circus,melanoleucos
monhar1,Circus pygargus,Montagu's Harrier,Accipitriformes,Accipitridae,Circus,pygargus
cregos1,Accipiter trivirgatus,Crested Goshawk,Accipitriformes,Accipitridae,Accipiter,trivirgatus
shikra1,Accipiter badius,Shikra,Accipitriformes,Accipitridae,Accipiter,badius
nicspa1,Accipiter butleri,Nicobar Sparrowhawk,Accipitriformes,Accipitridae,Accipiter,butleri
grfhaw1,Accipiter soloensis,Chinese Sparrowhawk,Accipitriformes,Accipitridae,Accipiter,soloensis
japspa1,Accipiter gularis,Japanese Sparrowhawk,Accipitriformes,Accipitridae,Accipiter,gularis
besra1,Accipiter virgatus,Besra,Accipitriformes,Accipitridae,Accipiter,virgatus
eurspa1,Accipiter nisus,Eurasian Sparrowhawk,Accipitriformes,Accipitridae,Accipiter,nisus
norgos,Accipiter gentilis,Northern Goshawk,Accipitriformes,Accipitridae,Accipiter,gentilis
wbseag1,Haliaeetus leucogaster,White-bellied Sea-Eagle,Accipitriformes,Accipitridae,Haliaeetus,leucogaster
pafeag1,Haliaeetus leucoryphus,Pallas's Fish-Eagle,Accipitriformes,Accipitridae,Haliaeetus,leucoryphus
whteag,Haliaeetus albicilla,White-tailed Eagle,Accipitriformes,Accipitridae,Haliaeetus,albicilla
lefeag1,Haliaeetus humilis,Lesser Fish-Eagle,Accipitriformes,Accipitridae,Haliaeetus,humilis
gyhfie1,Haliaeetus ichthyaetus,Gray-headed Fish-Eagle,Accipitriformes,Accipitridae,Haliaeetus,ichthyaetus
brakit1,Haliastur indus,Brahminy Kite,Accipitriformes,Accipitridae,Haliastur,indus
redkit1,Milvus milvus,Red Kite,Accipitriformes,Accipitridae,Milvus,milvus
blakit1,Milvus migrans,Black Kite,Accipitriformes,Accipitridae,Milvus,migrans
whebuz1,Butastur teesa,White-eyed Buzzard,Accipitriformes,Accipitridae,Butastur,teesa
gyfbuz1,Butastur indicus,Gray-faced Buzzard,Accipitriformes,Accipitridae,Butastur,indicus
combuz1,Buteo buteo,Common Buzzard,Accipitriformes,Accipitridae,Buteo,buteo
combuz9,Buteo refectus,Himalayan Buzzard,Accipitriformes,Accipitridae,Buteo,refectus
lolbuz1,Buteo rufinus,Long-legged Buzzard,Accipitriformes,Accipitridae,Buteo,rufinus
uplbuz1,Buteo hemilasius,Upland Buzzard,Accipitriformes,Accipitridae,Buteo,hemilasius
orbowl1,Phodilus badius,Oriental Bay-Owl,Strigiformes,Tytonidae,Phodilus,badius
srlbao1,Phodilus assimilis,Sri Lanka Bay-Owl,Strigiformes,Tytonidae,Phodilus,assimilis
ausgro1,Tyto longimembris,Australasian Grass-Owl,Strigiformes,Tytonidae,Tyto,longimembris
barowl5,Tyto deroepstorffi,Andaman Masked-Owl,Strigiformes,Tytonidae,Tyto,deroepstorffi
brnowl,Tyto alba,Barn Owl,Strigiformes,Tytonidae,Tyto,alba
brnhao1,Ninox scutulata,Brown Boobook,Strigiformes,Strigidae,Ninox,scutulata
brnhao3,Ninox obscura,Hume's Boobook,Strigiformes,Strigidae,Ninox,obscura
andhao1,Ninox affinis,Andaman Boobook,Strigiformes,Strigidae,Ninox,affinis
colowl1,Glaucidium brodiei,Collared Owlet,Strigiformes,Strigidae,Glaucidium,brodiei
asbowl1,Glaucidium cuculoides,Asian Barred Owlet,Strigiformes,Strigidae,Glaucidium,cuculoides
junowl1,Glaucidium radiatum,Jungle Owlet,Strigiformes,Strigidae,Glaucidium,radiatum
spoowl1,Athene brama,Spotted Owlet,Strigiformes,Strigidae,Athene,brama
litowl1,Athene noctua,Little Owl,Strigiformes,Strigidae,Athene,noctua
forowl1,Athene blewitti,Forest Owlet,Strigiformes,Strigidae,Athene,blewitti
borowl,Aegolius funereus,Boreal Owl,Strigiformes,Strigidae,Aegolius,funereus
ansowl1,Otus balli,Andaman Scops-Owl,Strigiformes,Strigidae,Otus,balli
mosowl2,Otus spilocephalus,Mountain Scops-Owl,Strigiformes,Strigidae,Otus,spilocephalus
eursco1,Otus scops,Eurasian Scops-Owl,Strigiformes,Strigidae,Otus,scops
pasowl3,Otus brucei,Pallid Scops-Owl,Strigiformes,Strigidae,Otus,brucei
orsowl,Otus sunia,Oriental Scops-Owl,Strigiformes,Strigidae,Otus,sunia
nicsco1,Otus alius,Nicobar Scops-Owl,Strigiformes,Strigidae,Otus,alius
insowl1,Otus bakkamoena,Indian Scops-Owl,Strigiformes,Strigidae,Otus,bakkamoena
cosowl1,Otus lettia,Collared Scops-Owl,Strigiformes,Strigidae,Otus,lettia
loeowl,Asio otus,Long-eared Owl,Strigiformes,Strigidae,Asio,otus
sheowl,Asio flammeus,Short-eared Owl,Strigiformes,Strigidae,Asio,flammeus
mowowl1,Strix ocellata,Mottled Wood-Owl,Strigiformes,Strigidae,Strix,ocellata
brwowl1,Strix leptogrammica,Brown Wood-Owl,Strigiformes,Strigidae,Strix,leptogrammica
tawowl1,Strix aluco,Tawny Owl,Strigiformes,Strigidae,Strix,aluco
himowl1,Strix nivicolum,Himalayan Owl,Strigiformes,Strigidae,Strix,nivicolum
eueowl1,Bubo bubo,Eurasian Eagle-Owl,Strigiformes,Strigidae,Bubo,bubo
roeowl1,Bubo bengalensis,Rock Eagle-Owl,Strigiformes,Strigidae,Bubo,bengalensis
sbeowl1,Bubo nipalensis,Spot-bellied Eagle-Owl,Strigiformes,Strigidae,Bubo,nipalensis
dueowl1,Bubo coromandus,Dusky Eagle-Owl,Strigiformes,Strigidae,Bubo,coromandus
brfowl1,Ketupa zeylonensis,Brown Fish-Owl,Strigiformes,Strigidae,Ketupa,zeylonensis
tafowl1,Ketupa flavipes,Tawny Fish-Owl,Strigiformes,Strigidae,Ketupa,flavipes
bufowl2,Ketupa ketupu,Buffy Fish-Owl,Strigiformes,Strigidae,Ketupa,ketupu
maltro1,Harpactes fasciatus,Malabar Trogon,Trogoniformes,Trogonidae,Harpactes,fasciatus
rehtro1,Harpactes erythrocephalus,Red-headed Trogon,Trogoniformes,Trogonidae,Harpactes,erythrocephalus
wartro1,Harpactes wardi,Ward's Trogon,Trogoniformes,Trogonidae,Harpactes,wardi
grehor1,Buceros bicornis,Great Hornbill,Bucerotiformes,Bucerotidae,Buceros,bicornis
maphor1,Anthracoceros coronatus,Malabar Pied-Hornbill,Bucerotiformes,Bucerotidae,Anthracoceros,coronatus
orphor1,Anthracoceros albirostris,Oriental Pied-Hornbill,Bucerotiformes,Bucerotidae,Anthracoceros,albirostris
brnhor1,Anorrhinus austeni,Brown Hornbill,Bucerotiformes,Bucerotidae,Anorrhinus,austeni
maghor2,Ocyceros griseus,Malabar Gray Hornbill,Bucerotiformes,Bucerotidae,Ocyceros,griseus
inghor2,Ocyceros birostris,Indian Gray Hornbill,Bucerotiformes,Bucerotidae,Ocyceros,birostris
runhor1,Aceros nipalensis,Rufous-necked Hornbill,Bucerotiformes,Bucerotidae,Aceros,nipalensis
narhor1,Rhyticeros narcondami,Narcondam Hornbill,Bucerotiformes,Bucerotidae,Rhyticeros,narcondami
wrehor1,Rhyticeros undulatus,Wreathed Hornbill,Bucerotiformes,Bucerotidae,Rhyticeros,undulatus
hoopoe,Upupa epops,Eurasian Hoopoe,Bucerotiformes,Upupidae,Upupa,epops
yerhon1,Indicator xanthonotus,Yellow-rumped Honeyguide,Piciformes,Indicatoridae,Indicator,xanthonotus
eurwry,Jynx torquilla,Eurasian Wryneck,Piciformes,Picidae,Jynx,torquilla
whbpic3,Sasia ochracea,White-browed Piculet,Piciformes,Picidae,Sasia,ochracea
spepic1,Picumnus innominatus,Speckled Piculet,Piciformes,Picidae,Picumnus,innominatus
heswoo1,Hemicircus canente,Heart-spotted Woodpecker,Piciformes,Picidae,Hemicircus,canente
himfla1,Dinopium shorii,Himalayan Flameback,Piciformes,Picidae,Dinopium,shorii
comfla1,Dinopium javanense,Common Flameback,Piciformes,Picidae,Dinopium,javanense
blrfla1,Dinopium benghalense,Black-rumped Flameback,Piciformes,Picidae,Dinopium,benghalense
pahwoo1,Gecinulus grantia,Pale-headed Woodpecker,Piciformes,Picidae,Gecinulus,grantia
rufwoo2,Micropternus brachyurus,Rufous Woodpecker,Piciformes,Picidae,Micropternus,brachyurus
greyel1,Chrysophlegma flavinucha,Greater Yellownape,Piciformes,Picidae,Chrysophlegma,flavinucha
lesyel1,Picus chlorolophus,Lesser Yellownape,Piciformes,Picidae,Picus,chlorolophus
sttwoo1,Picus xanthopygaeus,Streak-throated Woodpecker,Piciformes,Picidae,Picus,xanthopygaeus
gyfwoo1,Picus canus,Gray-headed Woodpecker,Piciformes,Picidae,Picus,canus
scbwoo1,Picus squamatus,Scaly-bellied Woodpecker,Piciformes,Picidae,Picus,squamatus
grswoo1,Mulleripicus pulverulentus,Great Slaty Woodpecker,Piciformes,Picidae,Mulleripicus,pulverulentus
whbwoo2,Dryocopus javensis,White-bellied Woodpecker,Piciformes,Picidae,Dryocopus,javensis
andwoo1,Dryocopus hodgei,Andaman Woodpecker,Piciformes,Picidae,Dryocopus,hodgei
baywoo1,Blythipicus pyrrhotis,Bay Woodpecker,Piciformes,Picidae,Blythipicus,pyrrhotis
grefla1,Chrysocolaptes guttacristatus,Greater Flameback,Piciformes,Picidae,Chrysocolaptes,guttacristatus
whnwoo1,Chrysocolaptes festivus,White-naped Woodpecker,Piciformes,Picidae,Chrysocolaptes,festivus
bncwoo3,Yungipicus nanus,Brown-capped Woodpecker,Piciformes,Picidae,Yungipicus,nanus
gycwoo1,Yungipicus canicapillus,Gray-capped Woodpecker,Piciformes,Picidae,Yungipicus,canicapillus
fubwoo2,Dendrocopos macei,Fulvous-breasted Woodpecker,Piciformes,Picidae,Dendrocopos,macei
frbwoo1,Dendrocopos analis,Freckle-breasted Woodpecker,Piciformes,Picidae,Dendrocopos,analis
stbwoo4,Dendrocopos atratus,Stripe-breasted Woodpecker,Piciformes,Picidae,Dendrocopos,atratus
brfwoo1,Dendrocoptes auriceps,Brown-fronted Woodpecker,Piciformes,Picidae,Dendrocoptes,auriceps
yecwoo1,Leiopicus mahrattensis,Yellow-crowned Woodpecker,Piciformes,Picidae,Leiopicus,mahrattensis
crbwoo3,Dryobates cathpharius,Crimson-breasted Woodpecker,Piciformes,Picidae,Dryobates,cathpharius
darwoo1,Dendrocopos darjellensis,Darjeeling Woodpecker,Piciformes,Picidae,Dendrocopos,darjellensis
himwoo1,Dendrocopos himalayensis,Himalayan Woodpecker,Piciformes,Picidae,Dendrocopos,himalayensis
sinwoo1,Dendrocopos assimilis,Sind Woodpecker,Piciformes,Picidae,Dendrocopos,assimilis
grswoo,Dendrocopos major,Great Spotted Woodpecker,Piciformes,Picidae,Dendrocopos,major
