"gridg1","DISTRICT","freq2014","freq2018","long","lat"
"14410","South Andaman",NA,0,92.7115479625245,12.1561089156304
"15319","South Andaman",NA,0.258064516129032,92.4865477375243,10.5811073406288
"15449","South Andaman",NA,0.833333333333333,92.4865477375243,10.3561071156286
"14541","South Andaman",0.25,0.0652173913043478,92.9365481875247,11.9311086906302
"14669","South Andaman",0.2,0.212121212121212,92.4865477375243,11.7061084656299
"14670","South Andaman",0.625,0.311827956989247,92.7115479625245,11.7061084656299
"14671","South Andaman",0,0,92.9365481875247,11.7061084656299
"14799","South Andaman",0.0927835051546392,0.0900621118012422,92.4865477375243,11.4811082406297
"14800","South Andaman",0.181818181818182,0.0608695652173913,92.7115479625245,11.4811082406297
"14929","South Andaman",0.666666666666667,NA,92.4865477375243,11.2561080156295
"15318","South Andaman",1,NA,92.2615475125241,10.5811073406288
"13891","North & Middle Andaman",NA,0,92.9365481875247,13.0561098156313
"14020","North & Middle Andaman",0.333333333333333,NA,92.7115479625245,12.8311095906311
"14151","North & Middle Andaman",1,0,92.9365481875247,12.6061093656308
"14280","North & Middle Andaman",1,0.166666666666667,92.7115479625245,12.3811091406306
"14540","North & Middle Andaman",0,NA,92.7115479625245,11.9311086906302
"17404","Nicobar",NA,1,93.6115488625254,6.98110374062523
"16753","Nicobar",NA,0,93.3865486375252,8.10610486562635
"16883","Nicobar",0,NA,93.3865486375252,7.88110464062613
"17405","Nicobar",0.5,0.466666666666667,93.8365490875257,6.98110374062523
"17535","Nicobar",0.5,0.3125,93.8365490875257,6.756103515625
