"sl","Common.Name","Scientific.Name","eBird.English.Name.2018","eBird.English.Name.2019","eBird.species.group","order","family","IUCN","WLPA.Schedule","Long.Term.Analysis","Current.Analysis","Long.Term.Trend","Long.Term.Trend.CI","Current.Annual.Change","Current.Annual.Change.CI","Range.Size","Range.Size.CI","Long.Term.Status","Current.Status","Range.Status","Concern.Status","Migratory.Status","Diet.Category","Waterbirds","Raptors","Raptors.Scavengers","Raptors.Composite","Waterbirds.Composite","Habitat.Composite","Endemics.Composite","Diet.Composite"
15,"Common Teal","Anas crecca","Green-winged Teal","Green-winged Teal","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",-40.39827925,37.76760026,3.939791178,12.27310964,83.0525058,0.0884999999999962,"Uncertain","Uncertain","Large","Low","Migratory-Long-Distance","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
16,"Andaman Teal","Anas albogularis","Andaman Teal","Andaman Teal","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Vulnerable","Schedule-I","","",NA,NA,NA,NA,0.3523681,0.0315,"Data Deficient","Data Deficient","Restricted","High","Resident","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
17,"White-winged Wood Duck","Asarcornis scutulata","White-winged Duck","White-winged Duck","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Endangered","Schedule-I","","",NA,NA,NA,NA,1.6555414,0.0913000000000002,"Data Deficient","Data Deficient","Restricted","High","Resident","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
18,"Red-crested Pochard","Netta rufina","Red-crested Pochard","Red-crested Pochard","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",-22.17036303,35.10169302,0.690349914,8.082001952,34.4392361,0.0750999999999991,"Uncertain","Uncertain","Large","Low","Migratory-Long-Distance","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
19,"Common Pochard","Aythya ferina","Common Pochard","Common Pochard","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Vulnerable","Schedule-IV","X","X",-62.9743729,19.33168063,-2.838886152,8.528236833,56.7869682,0.0815000000000055,"Moderate Decline","Uncertain","Large","Moderate","Migratory-Long-Distance","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
20,"Ferruginous Duck","Aythya nyroca","Ferruginous Duck","Ferruginous Duck","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Near Threatened","Schedule-IV","X","X",-19.25607325,41.87710784,32.96887622,18.96233947,26.7874838,0.0924000000000014,"Uncertain","Strong Increase","Large","Low","Migratory-Long-Distance","PlantSeed","X","","","","Ducks & Geese","Wetlands","",""
21,"Tufted Duck","Aythya fuligula","Tufted Duck","Tufted Duck","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","X","X",-68.36390607,56.45748087,-4.293357606,28.20570327,38.0511654,0.0858999999999952,"Uncertain","Uncertain","Large","Low","Migratory-Long-Distance","Omnivore","X","","","","Ducks & Geese","Wetlands","",""
22,"Common Merganser","Mergus merganser","Common Merganser","Common Merganser","Waterfowl","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Least Concern","Schedule-IV","","X",NA,NA,-6.314109972,25.43057531,4.6653801,0.1056,"Data Deficient","Uncertain","Moderate","Low","Migratory-Local","VertFishScav","X","","","","Ducks & Geese","Wetlands","",""
23,"Nicobar Megapode","Megapodius nicobariensis","Nicobar Scrubfowl","Nicobar Scrubfowl","Megapodes","Galliformes","Megapodiidae (Megapodes)","Vulnerable","Schedule-I","","",NA,NA,NA,NA,0.0769,0,"Data Deficient","Data Deficient","Restricted","High","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
24,"Common Hill Partridge","Arborophila torqueola","Hill Partridge","Hill Partridge","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","","X",NA,NA,-9.340759913,8.42867865,10.1969039,0.0626999999999995,"Data Deficient","Uncertain","Moderate","Low","Resident","PlantSeed","","","","","","Forests","","Plant-Seed"
