"sl","Common.Name","Scientific.Name","eBird.English.Name.2018","eBird.English.Name.2019","eBird.species.group","order","family","IUCN","WLPA.Schedule","Long.Term.Analysis","Current.Analysis","Long.Term.Trend","Long.Term.Trend.CI","Current.Annual.Change","Current.Annual.Change.CI","Range.Size","Range.Size.CI","Long.Term.Status","Current.Status","Range.Status","Concern.Status","Migratory.Status","Diet.Category","Waterbirds","Raptors","Raptors.Scavengers","Raptors.Composite","Waterbirds.Composite","Habitat.Composite","Endemics.Composite","Diet.Composite"
126,"Watercock","Gallicrex cinerea","Watercock","Watercock","Rails, Gallinules, and Allies","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Least Concern","Schedule-IV","","X",NA,NA,-12.32233803,7.713744485,14.1876531,0.0648999999999997,"Data Deficient","Strong Decline","Moderate","Moderate","Resident","PlantSeed","X","","","","Others-Resident","Wetlands","",""
127,"White-breasted Waterhen","Amaurornis phoenicurus","White-breasted Waterhen","White-breasted Waterhen","Rails, Gallinules, and Allies","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Least Concern","Schedule-IV","X","X",37.14136011,19.7586583,-0.884513671,2.286521831,174.2962463,0.0968000000000018,"Stable","Uncertain","Very Large","Low","Resident","Omnivore","","","","","","Generalists","Resident-Non-Endemics","Omnivorous"
128,"Andaman Crake","Rallina canningi","Andaman Crake","Andaman Crake","Rails, Gallinules, and Allies","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,0.4867197,0.0389,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Invertebrate","","","","","","Forests","","Invertebrate"
129,"Slaty-legged Crake","Rallina eurizonoides","Slaty-legged Crake","Slaty-legged Crake","Rails, Gallinules, and Allies","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,8.2744617,0.1157,"Data Deficient","Data Deficient","Moderate","Moderate","Resident","PlantSeed","","","","","","Generalists","","Plant-Seed"
130,"Ruddy-breasted Crake","Zapornia fusca","Ruddy-breasted Crake","Ruddy-breasted Crake","Rails, Gallinules, and Allies","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Least Concern","Schedule-IV","","X",NA,NA,1.640884557,8.58711359,35.7618739,0.0990000000000038,"Data Deficient","Uncertain","Large","Low","Resident","Omnivore","X","","","","Others-Resident","Wetlands","",""
131,"Brown Crake","Zapornia akool","Brown Crake","Brown Crake","Rails, Gallinules, and Allies","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Least Concern","Schedule-IV","X","X",-57.75015235,18.80309885,-3.528210799,6.65143355,35.886987,0.103700000000003,"Moderate Decline","Uncertain","Large","Moderate","Resident","Omnivore","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
132,"Baillon's Crake","Zapornia pusilla","Baillon's Crake","Baillon's Crake","Rails, Gallinules, and Allies","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Least Concern","Schedule-IV","","X",NA,NA,17.67437004,27.42941447,14.9199113,0.0788999999999991,"Data Deficient","Uncertain","Moderate","Low","Migratory-Long-Distance","Omnivore","X","","","","","Wetlands","",""
133,"Black-tailed Crake","Zapornia bicolor","Black-tailed Crake","Black-tailed Crake","Rails, Gallinules, and Allies","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,2.6267171,0.0594999999999999,"Data Deficient","Data Deficient","Restricted","Moderate","Resident","Omnivore","X","","","","Others-Resident","Wetlands","",""
134,"Demoiselle Crane","Grus virgo","Demoiselle Crane","Demoiselle Crane","Cranes","Gruiformes","Gruidae (Cranes)","Least Concern","Schedule-IV","","X",NA,NA,-1.358290574,21.54739176,14.7106192,0.0816999999999997,"Data Deficient","Uncertain","Moderate","Low","Migratory-Long-Distance","PlantSeed","","","","","","Generalists","","Plant-Seed"
135,"Sarus Crane","Antigone antigone","Sarus Crane","Sarus Crane","Cranes","Gruiformes","Gruidae (Cranes)","Vulnerable","Schedule-IV","X","X",-49.85807901,20.5234341,-7.388347427,5.563071058,33.1436412,0.0707000000000022,"Moderate Decline","Moderate Decline","Large","Moderate","Resident","PlantSeed","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
136,"Common Crane","Grus grus","Common Crane","Common Crane","Cranes","Gruiformes","Gruidae (Cranes)","Least Concern","Schedule-IV","X","X",-72.85383506,14.20419923,-4.236652788,8.798499982,16.4712266,0.0668999999999969,"Strong Decline","Uncertain","Moderate","Moderate","Migratory-Long-Distance","PlantSeed","","","","","","Generalists","","Plant-Seed"
137,"Black-necked Crane","Grus nigricollis","Black-necked Crane","Black-necked Crane","Cranes","Gruiformes","Gruidae (Cranes)","Vulnerable","Schedule-I","","",NA,NA,NA,NA,1.5852774,0.0449999999999999,"Data Deficient","Data Deficient","Restricted","High","Migratory-Long-Distance","Omnivore","X","","","","","Wetlands","",""
138,"Indian Thick-knee","Burhinus indicus","Indian Thick-knee","Indian Thick-knee","Shorebirds","Charadriiformes","Burhinidae (Thick-knees)","Least Concern","Schedule-IV","X","X",-62.12811271,10.76480706,-4.4782304,4.480302776,76.0387211,0.0977999999999923,"Strong Decline","Uncertain","Large","Moderate","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
139,"Great Thick-knee","Esacus recurvirostris","Great Thick-knee","Great Thick-knee","Shorebirds","Charadriiformes","Burhinidae (Thick-knees)","Near Threatened","Schedule-IV","X","X",-55.22955143,19.85356391,-3.538432373,6.557910097,33.3922975,0.077300000000001,"Moderate Decline","Uncertain","Large","Moderate","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
140,"Black-winged Stilt","Himantopus himantopus","Black-winged Stilt","Black-winged Stilt","Shorebirds","Charadriiformes","Recurvirostridae (Stilts and Avocets)","Least Concern","Schedule-IV","X","X",-14.0465435,17.85085428,0.228626129,3.696900402,53.7457902,0.0805999999999969,"Stable","Uncertain","Large","Low","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
141,"Pied Avocet","Recurvirostra avosetta","Pied Avocet","Pied Avocet","Shorebirds","Charadriiformes","Recurvirostridae (Stilts and Avocets)","Least Concern","Schedule-IV","X","X",-26.5507111,37.01520453,-8.845955401,7.322066458,21.9785387,0.0717999999999996,"Uncertain","Moderate Decline","Moderate","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
142,"Eurasian Oystercatcher","Haematopus ostralegus","Eurasian Oystercatcher","Eurasian Oystercatcher","Shorebirds","Charadriiformes","Haematopodidae (Oystercatchers)","Near Threatened","Schedule-IV","","X",NA,NA,-0.644783426,43.6197795,2.8359705,0.04,"Data Deficient","Uncertain","Restricted","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
143,"Grey Plover","Pluvialis squatarola","Black-bellied Plover","Black-bellied Plover","Shorebirds","Charadriiformes","Charadriidae (Plovers and Lapwings)","Least Concern","Schedule-IV","X","X",-86.79352913,17.30461316,-3.394827077,21.82077242,5.3365338,0.0415000000000001,"Strong Decline","Uncertain","Moderate","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
144,"Pacific Golden Plover","Pluvialis fulva","Pacific Golden-Plover","Pacific Golden-Plover","Shorebirds","Charadriiformes","Charadriidae (Plovers and Lapwings)","Least Concern","Schedule-IV","X","X",-88.46129839,5.844151486,-11.17859498,5.952840035,16.8341698,0.0529999999999973,"Strong Decline","Strong Decline","Moderate","High","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
145,"Northern Lapwing","Vanellus vanellus","Northern Lapwing","Northern Lapwing","Shorebirds","Charadriiformes","Charadriidae (Plovers and Lapwings)","Near Threatened","Schedule-IV","","X",NA,NA,6.018265734,20.6330695,6.7241511,0.0670999999999999,"Data Deficient","Uncertain","Moderate","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
146,"River Lapwing","Vanellus duvaucelii","River Lapwing","River Lapwing","Shorebirds","Charadriiformes","Charadriidae (Plovers and Lapwings)","Near Threatened","Schedule-IV","X","X",-26.79432849,26.27050572,-3.015883176,5.902439611,38.0892334,0.076900000000002,"Uncertain","Uncertain","Large","Moderate","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
147,"Yellow-wattled Lapwing","Vanellus malabaricus","Yellow-wattled Lapwing","Yellow-wattled Lapwing","Shorebirds","Charadriiformes","Charadriidae (Plovers and Lapwings)","Least Concern","Schedule-IV","X","X",-47.44415,10.86955166,-5.900961071,2.916142213,121.2639236,0.1036,"Moderate Decline","Strong Decline","Very Large","Moderate","Resident","Invertebrate","","","","","","Grassland/Scrub","Others-Subcontinent","Invertebrate"
148,"Grey-headed Lapwing","Vanellus cinereus","Gray-headed Lapwing","Gray-headed Lapwing","Shorebirds","Charadriiformes","Charadriidae (Plovers and Lapwings)","Least Concern","Schedule-IV","X","X",10.08803466,109.4286903,-11.0196283,11.2531526,16.4727799,0.0589000000000013,"Uncertain","Uncertain","Moderate","Low","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
149,"Red-wattled Lapwing","Vanellus indicus","Red-wattled Lapwing","Red-wattled Lapwing","Shorebirds","Charadriiformes","Charadriidae (Plovers and Lapwings)","Least Concern","Schedule-IV","X","X",5.999759703,12.25566521,-2.953931186,1.716301467,203.0036873,0.0707999999999913,"Stable","Moderate Decline","Very Large","Low","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
150,"Sociable Lapwing","Vanellus gregarius","Sociable Lapwing","Sociable Lapwing","Shorebirds","Charadriiformes","Charadriidae (Plovers and Lapwings)","Critically Endangered","Schedule-IV","","",NA,NA,NA,NA,0.5227379,0.0704,"Data Deficient","Data Deficient","Very Restricted","High","Migratory-Long-Distance","Invertebrate","","","","","","Grassland/Scrub","","Invertebrate"
151,"White-tailed Lapwing","Vanellus leucurus","White-tailed Lapwing","White-tailed Lapwing","Shorebirds","Charadriiformes","Charadriidae (Plovers and Lapwings)","Least Concern","Schedule-IV","X","X",-51.38309004,31.23613094,-11.08282438,7.669725652,18.2091409,0.105399999999999,"Uncertain","Strong Decline","Moderate","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
152,"Lesser Sand Plover","Charadrius mongolus","Lesser Sand-Plover","Lesser Sand-Plover","Shorebirds","Charadriiformes","Charadriidae (Plovers and Lapwings)","Least Concern","Schedule-IV","X","X",-72.47281169,15.72988343,-6.289249509,8.202349994,14.8531278,0.0504000000000016,"Strong Decline","Uncertain","Moderate","Moderate","Migratory-Local","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
153,"Greater Sand Plover","Charadrius leschenaultii","Greater Sand-Plover","Greater Sand-Plover","Shorebirds","Charadriiformes","Charadriidae (Plovers and Lapwings)","Least Concern","Schedule-IV","","X",NA,NA,-9.264966895,9.733136917,7.9699091,0.0422000000000002,"Data Deficient","Uncertain","Moderate","Low","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
154,"Kentish Plover","Charadrius alexandrinus","Kentish Plover","Kentish Plover","Shorebirds","Charadriiformes","Charadriidae (Plovers and Lapwings)","Least Concern","Schedule-IV","X","X",-65.98916076,11.6767108,-5.383067833,5.248137468,6.0067377,0.0617999999999999,"Strong Decline","Uncertain","Moderate","Moderate","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
155,"Little Ringed Plover","Charadrius dubius","Little Ringed Plover","Little Ringed Plover","Shorebirds","Charadriiformes","Charadriidae (Plovers and Lapwings)","Least Concern","Schedule-IV","X","X",-57.31160337,8.318309031,-4.959005113,2.798537653,30.8000172,0.0981000000000023,"Moderate Decline","Moderate Decline","Large","Moderate","Resident","Invertebrate","","","","","","Generalists","Resident-Non-Endemics","Invertebrate"
156,"Greater Painted-snipe","Rostratula benghalensis","Greater Painted-Snipe","Greater Painted-Snipe","Shorebirds","Charadriiformes","Rostratulidae (Painted-Snipes)","Least Concern","Schedule-IV","X","X",-51.73690013,15.20082454,-3.300841949,4.77556337,84.2980352,0.150199999999998,"Moderate Decline","Uncertain","Large","Moderate","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
157,"Pheasant-tailed Jacana","Hydrophasianus chirurgus","Pheasant-tailed Jacana","Pheasant-tailed Jacana","Shorebirds","Charadriiformes","Jacanidae (Jacanas)","Least Concern","Schedule-IV","X","X",-41.66954482,13.18370548,-0.664633354,4.000245189,101.4350704,0.0960999999999927,"Moderate Decline","Uncertain","Very Large","Moderate","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
158,"Bronze-winged Jacana","Metopidius indicus","Bronze-winged Jacana","Bronze-winged Jacana","Shorebirds","Charadriiformes","Jacanidae (Jacanas)","Least Concern","Schedule-IV","X","X",-1.339210733,23.88615638,-5.674597237,3.393998435,101.0924268,0.0812999999999988,"Stable","Moderate Decline","Very Large","Low","Resident","PlantSeed","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
159,"Whimbrel","Numenius phaeopus","Whimbrel","Whimbrel","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","X","X",-78.93920361,16.8159096,-2.765751204,13.14180589,9.2757341,0.0407000000000011,"Strong Decline","Uncertain","Moderate","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
160,"Eurasian Curlew","Numenius arquata","Eurasian Curlew","Eurasian Curlew","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Near Threatened","Schedule-IV","X","X",-76.99343466,12.42943907,0.460939282,9.590240588,20.3281666,0.0555000000000021,"Strong Decline","Uncertain","Moderate","Moderate","Migratory-Long-Distance","Omnivore","X","","","","Shorebirds-Migratory","Wetlands","",""
161,"Bar-tailed Godwit","Limosa lapponica","Bar-tailed Godwit","Bar-tailed Godwit","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Near Threatened","Schedule-IV","","X",NA,NA,-1.176960607,39.95972056,6.2318059,0.0477999999999996,"Data Deficient","Uncertain","Moderate","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
162,"Black-tailed Godwit","Limosa limosa","Black-tailed Godwit","Black-tailed Godwit","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Near Threatened","Schedule-IV","X","X",-44.18370983,19.96596261,-1.151502111,5.976397581,45.5374741,0.069500000000005,"Stable","Uncertain","Large","Low","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
163,"Ruddy Turnstone","Arenaria interpres","Ruddy Turnstone","Ruddy Turnstone","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","","X",NA,NA,-8.264662153,11.82129228,5.8204539,0.0439999999999996,"Data Deficient","Uncertain","Moderate","Low","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
164,"Great Knot","Calidris tenuirostris","Great Knot","Great Knot","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Endangered","Schedule-IV","","",NA,NA,NA,NA,2.005601,0.0520999999999998,"Data Deficient","Data Deficient","Restricted","High","Migratory-Long-Distance","Omnivore","X","","","","Shorebirds-Migratory","Wetlands","",""
165,"Ruff","Calidris pugnax","Ruff","Ruff","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","X","X",-44.20096079,23.82858429,-2.201677691,7.055150117,40.8440697,0.0699000000000041,"Stable","Uncertain","Large","Low","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
166,"Broad-billed Sandpiper","Calidris falcinellus","Broad-billed Sandpiper","Broad-billed Sandpiper","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","","X",NA,NA,-13.53667831,13.80105657,3.4981429,0.0428999999999999,"Data Deficient","Uncertain","Restricted","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
167,"Curlew Sandpiper","Calidris ferruginea","Curlew Sandpiper","Curlew Sandpiper","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Near Threatened","Schedule-IV","X","X",-87.61995944,8.658632845,-8.046671381,9.703465739,8.412309,0.0461999999999989,"Strong Decline","Uncertain","Moderate","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
168,"Temminck's Stint","Calidris temminckii","Temminck's Stint","Temminck's Stint","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","X","X",-61.94188065,12.46365907,3.658857933,6.694403282,29.2548,0,"Moderate Decline","Uncertain","Large","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
169,"Sanderling","Calidris alba","Sanderling","Sanderling","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","","X",NA,NA,-14.11212982,8.956199597,6.3867962,0.0469999999999997,"Data Deficient","Strong Decline","Moderate","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
170,"Dunlin","Calidris alpina","Dunlin","Dunlin","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","X","X",-79.19666008,17.42834142,-6.967359543,12.36216871,9.0422014,0.0579000000000001,"Strong Decline","Uncertain","Moderate","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
171,"Little Stint","Calidris minuta","Little Stint","Little Stint","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","X","X",-67.36791324,10.2056366,-2.679510747,5.095348296,66.8255797,0.0840999999999923,"Strong Decline","Uncertain","Large","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
172,"Common Snipe","Gallinago gallinago","Common Snipe","Common Snipe","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","X","X",-43.24536069,19.21491145,-0.548039983,5.580036331,35.267,0,"Stable","Uncertain","Large","Low","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
173,"Pintail Snipe","Gallinago stenura","Pin-tailed Snipe","Pin-tailed Snipe","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","X","X",-66.00270268,22.67929421,-6.091148445,9.058830632,16.1755157,0.0766000000000027,"Moderate Decline","Uncertain","Moderate","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
174,"Terek Sandpiper","Xenus cinereus","Terek Sandpiper","Terek Sandpiper","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","","X",NA,NA,-8.201295182,21.21160859,5.5515645,0.0382000000000007,"Data Deficient","Uncertain","Moderate","Low","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
175,"Common Sandpiper","Actitis hypoleucos","Common Sandpiper","Common Sandpiper","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","X","X",-39.98326693,10.3690344,-6.073131186,2.43857761,95.9124,0,"Moderate Decline","Strong Decline","Large","Moderate","Migratory-Long-Distance","Omnivore","X","","","","Shorebirds-Migratory","Wetlands","",""
176,"Green Sandpiper","Tringa ochropus","Green Sandpiper","Green Sandpiper","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","X","X",-49.55312431,10.570625,-1.487761632,3.550312624,134.9563595,0.129700000000014,"Moderate Decline","Uncertain","Very Large","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
177,"Spotted Redshank","Tringa erythropus","Spotted Redshank","Spotted Redshank","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","X","X",-57.59120467,33.40522819,2.978606763,15.36615373,35.8075993,0.0838999999999999,"Uncertain","Uncertain","Large","Low","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
178,"Common Greenshank","Tringa nebularia","Common Greenshank","Common Greenshank","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","X","X",-62.2191587,9.256458536,-5.274410085,3.800074894,91.7561731,0.100400000000008,"Strong Decline","Moderate Decline","Large","High","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
179,"Marsh Sandpiper","Tringa stagnatilis","Marsh Sandpiper","Marsh Sandpiper","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","X","X",-57.96042004,16.08451885,-3.567096226,5.832784956,33.1612,0,"Moderate Decline","Uncertain","Large","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
180,"Wood Sandpiper","Tringa glareola","Wood Sandpiper","Wood Sandpiper","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","X","X",-31.70956198,14.19325698,-4.418328437,3.038359756,116.8556891,0.091399999999993,"Stable","Moderate Decline","Very Large","Low","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
181,"Common Redshank","Tringa totanus","Common Redshank","Common Redshank","Shorebirds","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Least Concern","Schedule-IV","X","X",-62.14481726,12.2470759,-5.074206417,4.854759557,56.1909601,0.0728000000000009,"Moderate Decline","Uncertain","Large","Moderate","Migratory-Long-Distance","Invertebrate","X","","","","Shorebirds-Migratory","Wetlands","",""
182,"Yellow-legged Buttonquail","Turnix tanki","Yellow-legged Buttonquail","Yellow-legged Buttonquail","Shorebirds","Charadriiformes","Turnicidae (Buttonquail)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,20.9791125,0.2013,"Data Deficient","Data Deficient","Moderate","Moderate","Resident","PlantSeed","","","","","","Grassland/Scrub","","Plant-Seed"
183,"Barred Buttonquail","Turnix suscitator","Barred Buttonquail","Barred Buttonquail","Shorebirds","Charadriiformes","Turnicidae (Buttonquail)","Least Concern","Schedule-IV","X","X",2.405307365,35.91368121,4.044543956,6.465455689,79.3359405,0.134499999999989,"Uncertain","Uncertain","Large","Low","Resident","PlantSeed","","","","","","Grassland/Scrub","Resident-Non-Endemics","Plant-Seed"
184,"Indian Courser","Cursorius coromandelicus","Indian Courser","Indian Courser","Shorebirds","Charadriiformes","Glareolidae (Pratincoles and Coursers)","Least Concern","Schedule-IV","X","X",-62.50338327,14.82238958,-11.888752,4.463637451,31.7744561,0.0790000000000006,"Moderate Decline","Strong Decline","Large","Moderate","Resident","Invertebrate","","","","","","Grassland/Scrub","Others-Subcontinent","Invertebrate"
185,"Jerdon's Courser","Rhinoptilus bitorquatus","Jerdon's Courser","Jerdon's Courser","Shorebirds","Charadriiformes","Glareolidae (Pratincoles and Coursers)","Critically Endangered","Schedule-I","","",NA,NA,NA,NA,NA,NA,"Data Deficient","Data Deficient","Data Deficient","High","Resident","Invertebrate","","","","","","Grassland/Scrub","Others-Subcontinent","Invertebrate"
186,"Oriental Pratincole","Glareola maldivarum","Oriental Pratincole","Oriental Pratincole","Shorebirds","Charadriiformes","Glareolidae (Pratincoles and Coursers)","Least Concern","Schedule-IV","","X",NA,NA,-10.72562148,14.51577774,3.4192606,0.0596000000000001,"Data Deficient","Uncertain","Restricted","Moderate","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","",""
187,"Little Pratincole","Glareola lactea","Small Pratincole","Small Pratincole","Shorebirds","Charadriiformes","Glareolidae (Pratincoles and Coursers)","Least Concern","Schedule-IV","X","X",-68.93316934,9.38143097,-4.23671904,4.801770953,73.054883,0.106799999999993,"Strong Decline","Uncertain","Large","Moderate","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
188,"Slender-billed Gull","Chroicocephalus genei","Slender-billed Gull","Slender-billed Gull","Gulls, Terns, and Skimmers","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Least Concern","Schedule-IV","","X",NA,NA,-1.027254033,16.21798727,12.0476687,0.0587000000000018,"Data Deficient","Uncertain","Moderate","Low","Resident","Omnivore","X","","","","Gulls & Terns","Wetlands","",""
189,"Black-headed Gull","Chroicocephalus ridibundus","Black-headed Gull","Black-headed Gull","Gulls, Terns, and Skimmers","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Least Concern","Schedule-IV","X","X",-63.37632345,15.55894621,-4.83084673,6.419490969,29.6034722,0.065800000000003,"Moderate Decline","Uncertain","Large","Moderate","Migratory-Long-Distance","Omnivore","X","","","","Gulls & Terns","Wetlands","",""
190,"Brown-headed Gull","Chroicocephalus brunnicephalus","Brown-headed Gull","Brown-headed Gull","Gulls, Terns, and Skimmers","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Least Concern","Schedule-IV","X","X",-73.38632935,17.11465089,-2.401167315,10.26349346,33.367073,0.066200000000002,"Strong Decline","Uncertain","Large","Moderate","Migratory-Local","Omnivore","X","","","","Gulls & Terns","Wetlands","",""
191,"Pallas's Gull","Ichthyaetus ichthyaetus","Pallas's Gull","Pallas's Gull","Gulls, Terns, and Skimmers","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Least Concern","Schedule-IV","X","X",-41.98512401,46.74527188,-6.308954193,11.61119707,22.2858707,0.0628999999999991,"Uncertain","Uncertain","Moderate","Low","Migratory-Long-Distance","VertFishScav","X","","","","Gulls & Terns","Wetlands","",""
192,"Lesser Black-backed Gull","Larus fuscus","Lesser Black-backed Gull","Lesser Black-backed Gull","Gulls, Terns, and Skimmers","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Least Concern","Schedule-IV","X","X",-44.28148698,47.89903865,4.353349653,17.55396924,10.0804307,0.0503999999999998,"Uncertain","Uncertain","Moderate","Low","Migratory-Long-Distance","VertFishScav","X","","","","Gulls & Terns","Wetlands","",""
193,"Little Tern","Sternula albifrons","Little Tern","Little Tern","Gulls, Terns, and Skimmers","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Least Concern","Schedule-IV","X","X",-75.35596569,17.37926367,-5.856295049,10.37779616,5.8633419,0.0753000000000004,"Strong Decline","Uncertain","Moderate","Moderate","Resident","VertFishScav","X","","","","Gulls & Terns","Wetlands","Resident-Non-Endemics",""
194,"Gull-billed Tern","Gelochelidon nilotica","Gull-billed Tern","Gull-billed Tern","Gulls, Terns, and Skimmers","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Least Concern","Schedule-IV","X","X",-69.13008322,13.9472054,3.030199859,8.555493467,3.6441452,0.0486,"Strong Decline","Uncertain","Restricted","High","Migratory-Local","VertFishScav","X","","","","Gulls & Terns","Wetlands","",""
