Long.Term.Status,Current.Status,Range.Status,Concern.Status
Strong Increase,Moderate Increase,Moderate,Low
Strong Decline,Strong Increase,Moderate,Moderate
Moderate Decline,Strong Increase,Moderate,Moderate
Data Deficient,Strong Increase,Moderate,Low
Uncertain,Strong Increase,Moderate,Low
Stable,Strong Increase,Moderate,Low
Moderate Increase,Strong Increase,Moderate,Low
Strong Increase,Strong Increase,Moderate,Low
Strong Decline,Strong Decline,Large,High
Moderate Decline,Strong Decline,Large,Moderate
Data Deficient,Strong Decline,Large,Moderate
Uncertain,Strong Decline,Large,Moderate
Stable,Strong Decline,Large,Moderate
Moderate Increase,Strong Decline,Large,Moderate
Strong Increase,Strong Decline,Large,Moderate
Strong Decline,Moderate Decline,Large,High
Moderate Decline,Moderate Decline,Large,Moderate
Data Deficient,Moderate Decline,Large,Moderate
Uncertain,Moderate Decline,Large,Moderate
Stable,Moderate Decline,Large,Low
Moderate Increase,Moderate Decline,Large,Low
Strong Increase,Moderate Decline,Large,Low
Data Deficient,Data Deficient,Large,Moderate
Strong Decline,Uncertain,Large,Moderate
Moderate Decline,Uncertain,Large,Moderate
Data Deficient,Uncertain,Large,Low
Uncertain,Uncertain,Large,Low
Stable,Uncertain,Large,Low
Moderate Increase,Uncertain,Large,Low
Strong Increase,Uncertain,Large,Low
Strong Decline,Stable,Large,Moderate
Moderate Decline,Stable,Large,Low
Data Deficient,Stable,Large,Low
Uncertain,Stable,Large,Low
Stable,Stable,Large,Low
Moderate Increase,Stable,Large,Low
Strong Increase,Stable,Large,Low
Strong Decline,Moderate Increase,Large,Moderate
Moderate Decline,Moderate Increase,Large,Low
Data Deficient,Moderate Increase,Large,Low
Uncertain,Moderate Increase,Large,Low
Stable,Moderate Increase,Large,Low
Moderate Increase,Moderate Increase,Large,Low
Strong Increase,Moderate Increase,Large,Low
Strong Decline,Strong Increase,Large,Moderate
Moderate Decline,Strong Increase,Large,Low
Data Deficient,Strong Increase,Large,Low
Uncertain,Strong Increase,Large,Low
Stable,Strong Increase,Large,Low
Moderate Increase,Strong Increase,Large,Low
Strong Increase,Strong Increase,Large,Low
Strong Decline,Strong Decline,Very Large,High
Moderate Decline,Strong Decline,Very Large,Moderate
Data Deficient,Strong Decline,Very Large,Moderate
Uncertain,Strong Decline,Very Large,Moderate
Stable,Strong Decline,Very Large,Low
Moderate Increase,Strong Decline,Very Large,Low
Strong Increase,Strong Decline,Very Large,Low
Strong Decline,Moderate Decline,Very Large,Moderate
Moderate Decline,Moderate Decline,Very Large,Moderate
Data Deficient,Moderate Decline,Very Large,Low
Uncertain,Moderate Decline,Very Large,Low
Stable,Moderate Decline,Very Large,Low
Moderate Increase,Moderate Decline,Very Large,Low
Strong Increase,Moderate Decline,Very Large,Low
Data Deficient,Data Deficient,Very Large,Moderate
Strong Decline,Uncertain,Very Large,Moderate
Moderate Decline,Uncertain,Very Large,Moderate
Data Deficient,Uncertain,Very Large,Low
Uncertain,Uncertain,Very Large,Low
Stable,Uncertain,Very Large,Low
Moderate Increase,Uncertain,Very Large,Low
Strong Increase,Uncertain,Very Large,Low
Strong Decline,Stable,Very Large,Moderate
Moderate Decline,Stable,Very Large,Low
Data Deficient,Stable,Very Large,Low
Uncertain,Stable,Very Large,Low
Stable,Stable,Very Large,Low
Moderate Increase,Stable,Very Large,Low
Strong Increase,Stable,Very Large,Low
Strong Decline,Moderate Increase,Very Large,Moderate
Moderate Decline,Moderate Increase,Very Large,Low
Data Deficient,Moderate Increase,Very Large,Low
Uncertain,Moderate Increase,Very Large,Low
Stable,Moderate Increase,Very Large,Low
Moderate Increase,Moderate Increase,Very Large,Low
Strong Increase,Moderate Increase,Very Large,Low
Strong Decline,Strong Increase,Very Large,Moderate
Moderate Decline,Strong Increase,Very Large,Low
Data Deficient,Strong Increase,Very Large,Low
Uncertain,Strong Increase,Very Large,Low
Stable,Strong Increase,Very Large,Low
Moderate Increase,Strong Increase,Very Large,Low
Strong Increase,Strong Increase,Very Large,Low
