eBird English Name 2018,eBird Scientific Name 2018,India Checklist Name,India Scientific Name,eBird English Name 2019,eBird Scientific Name 2019,IUCN,Schedule,CITES Appendix,CMS Appendix
Common Goldeneye,Bucephala clangula,Common Goldeneye,Bucephala clangula,Common Goldeneye,Bucephala clangula,Least Concern,Schedule-IV,,Appendix II
Smew,Mergellus albellus,Smew,Mergellus albellus,Smew,Mergellus albellus,Least Concern,Schedule-IV,,Appendix II
Common Merganser,Mergus merganser,Common Merganser,Mergus merganser,Common Merganser,Mergus merganser,Least Concern,Schedule-IV,,Appendix II
Red-breasted Merganser,Mergus serrator,Red-breasted Merganser,Mergus serrator,Red-breasted Merganser,Mergus serrator,Least Concern,Schedule-IV,,Appendix II
White-headed Duck,Oxyura leucocephala,White-headed Duck,Oxyura leucocephala,White-headed Duck,Oxyura leucocephala,Endangered,Schedule-IV,Appendix II,Appendix I
Nicobar Scrubfowl,Megapodius nicobariensis,Nicobar Megapode,Megapodius nicobariensis,Nicobar Scrubfowl,Megapodius nicobariensis,Vulnerable,Schedule-I,,
Hill Partridge,Arborophila torqueola,Common Hill Partridge,Arborophila torqueola,Hill Partridge,Arborophila torqueola,Least Concern,Schedule-IV,,
Chestnut-breasted Partridge,Arborophila mandellii,Chestnut-breasted Hill Partridge,Arborophila mandellii,Chestnut-breasted Partridge,Arborophila mandellii,Vulnerable,Schedule-IV,,
Rufous-throated Partridge,Arborophila rufogularis,Rufous-throated Hill Partridge,Arborophila rufogularis,Rufous-throated Partridge,Arborophila rufogularis,Least Concern,Schedule-IV,,
White-cheeked Partridge,Arborophila atrogularis,White-cheeked Hill Partridge,Arborophila atrogularis,White-cheeked Partridge,Arborophila atrogularis,Near Threatened,Schedule-IV,,
Indian Peafowl,Pavo cristatus,Indian Peafowl,Pavo cristatus,Indian Peafowl,Pavo cristatus,Least Concern,Schedule-I,,
Green Peafowl,Pavo muticus,Green Peafowl,Pavo muticus,Green Peafowl,Pavo muticus,Endangered,Schedule-IV,Appendix II,
Red Spurfowl,Galloperdix spadicea,Red Spurfowl,Galloperdix spadicea,Red Spurfowl,Galloperdix spadicea,Least Concern,Schedule-IV,,
Painted Spurfowl,Galloperdix lunulata,Painted Spurfowl,Galloperdix lunulata,Painted Spurfowl,Galloperdix lunulata,Least Concern,Schedule-IV,,
Gray Peacock-Pheasant,Polyplectron bicalcaratum,Grey Peacock Pheasant,Polyplectron bicalcaratum,Gray Peacock-Pheasant,Polyplectron bicalcaratum,Least Concern,Schedule-I,Appendix II,
Blue-breasted Quail,Synoicus chinensis,Blue-breasted Quail,Synoicus chinensis,Blue-breasted Quail,Synoicus chinensis,Least Concern,Schedule-IV,,
Japanese Quail,Coturnix japonica,Japanese Quail,Coturnix japonica,Japanese Quail,Coturnix japonica,Near Threatened,Schedule-IV,,
Common Quail,Coturnix coturnix,Common Quail,Coturnix coturnix,Common Quail,Coturnix coturnix,Least Concern,Schedule-IV,,Appendix II
Rain Quail,Coturnix coromandelica,Rain Quail,Coturnix coromandelica,Rain Quail,Coturnix coromandelica,Least Concern,Schedule-IV,,
Chukar,Alectoris chukar,Chukar Partridge,Alectoris chukar,Chukar,Alectoris chukar,Least Concern,Schedule-IV,,
Tibetan Snowcock,Tetraogallus tibetanus,Tibetan Snowcock,Tetraogallus tibetanus,Tibetan Snowcock,Tetraogallus tibetanus,Least Concern,Schedule-I,Appendix I,
Himalayan Snowcock,Tetraogallus himalayensis,Himalayan Snowcock,Tetraogallus himalayensis,Himalayan Snowcock,Tetraogallus himalayensis,Least Concern,Schedule-IV,,
Jungle Bush-Quail,Perdicula asiatica,Jungle Bush Quail,Perdicula asiatica,Jungle Bush-Quail,Perdicula asiatica,Least Concern,Schedule-IV,,
Rock Bush-Quail,Perdicula argoondah,Rock Bush Quail,Perdicula argoondah,Rock Bush-Quail,Perdicula argoondah,Least Concern,Schedule-IV,,
Painted Bush-Quail,Perdicula erythrorhyncha,Painted Bush Quail,Perdicula erythrorhyncha,Painted Bush-Quail,Perdicula erythrorhyncha,Least Concern,Schedule-IV,,
Manipur Bush-Quail,Perdicula manipurensis,Manipur Bush Quail,Perdicula manipurensis,Manipur Bush-Quail,Perdicula manipurensis,Endangered,Schedule-IV,,
Himalayan Quail,Ophrysia superciliosa,Himalayan Quail,Ophrysia superciliosa,Himalayan Quail,Ophrysia superciliosa,Critically Endangered,Schedule-I,,
Black Francolin,Francolinus francolinus,Black Francolin,Francolinus francolinus,Black Francolin,Francolinus francolinus,Least Concern,Schedule-IV,,
Painted Francolin,Francolinus pictus,Painted Francolin,Francolinus pictus,Painted Francolin,Francolinus pictus,Least Concern,Schedule-IV,,
Chinese Francolin,Francolinus pintadeanus,Chinese Francolin,Francolinus pintadeanus,Chinese Francolin,Francolinus pintadeanus,Least Concern,Schedule-IV,,
Gray Francolin,Francolinus pondicerianus,Grey Francolin,Francolinus pondicerianus,Gray Francolin,Francolinus pondicerianus,Least Concern,Schedule-IV,,
Swamp Francolin,Francolinus gularis,Swamp Francolin,Francolinus gularis,Swamp Francolin,Francolinus gularis,Vulnerable,Schedule-IV,,
Mountain Bamboo-Partridge,Bambusicola fytchii,Mountain Bamboo Partridge,Bambusicola fytchii,Mountain Bamboo-Partridge,Bambusicola fytchii,Least Concern,Schedule-I,,
Red Junglefowl,Gallus gallus,Red Junglefowl,Gallus gallus,Red Junglefowl,Gallus gallus,Least Concern,Schedule-IV,,
Gray Junglefowl,Gallus sonneratii,Grey Junglefowl,Gallus sonneratii,Gray Junglefowl,Gallus sonneratii,Least Concern,Schedule-IV,Appendix II,
Blood Pheasant,Ithaginis cruentus,Blood Pheasant,Ithaginis cruentus,Blood Pheasant,Ithaginis cruentus,Least Concern,Schedule-I,Appendix II,
Himalayan Monal,Lophophorus impejanus,Himalayan Monal,Lophophorus impejanus,Himalayan Monal,Lophophorus impejanus,Least Concern,Schedule-I,Appendix I,
Sclater's Monal,Lophophorus sclateri,Sclater's Monal,Lophophorus sclateri,Sclater's Monal,Lophophorus sclateri,Vulnerable,Schedule-I,Appendix I,
Snow Partridge,Lerwa lerwa,Snow Partridge,Lerwa lerwa,Snow Partridge,Lerwa lerwa,Least Concern,Schedule-IV,,
Western Tragopan,Tragopan melanocephalus,Western Tragopan,Tragopan melanocephalus,Western Tragopan,Tragopan melanocephalus,Vulnerable,Schedule-I,Appendix I,
Satyr Tragopan,Tragopan satyra,Satyr Tragopan,Tragopan satyra,Satyr Tragopan,Tragopan satyra,Near Threatened,Schedule-I,,
Blyth's Tragopan,Tragopan blythii,Blyth's Tragopan,Tragopan blythii,Blyth's Tragopan,Tragopan blythii,Vulnerable,Schedule-I,Appendix I,
Temminck's Tragopan,Tragopan temminckii,Temminck's Tragopan,Tragopan temminckii,Temminck's Tragopan,Tragopan temminckii,Least Concern,Schedule-I,,
Hume's Pheasant,Syrmaticus humiae,Mrs Hume's Pheasant,Syrmaticus humiae,Hume's Pheasant,Syrmaticus humiae,Near Threatened,Schedule-I,Appendix I,
Cheer Pheasant,Catreus wallichii,Cheer Pheasant,Catreus wallichii,Cheer Pheasant,Catreus wallichii,Vulnerable,Schedule-I,Appendix I,
Kalij Pheasant,Lophura leucomelanos,Kalij Pheasant,Lophura leucomelanos,Kalij Pheasant,Lophura leucomelanos,Least Concern,Schedule-I,,
Tibetan Partridge,Perdix hodgsoniae,Tibetan Partridge,Perdix hodgsoniae,Tibetan Partridge,Perdix hodgsoniae,Least Concern,Schedule-IV,,
Koklass Pheasant,Pucrasia macrolopha,Koklass Pheasant,Pucrasia macrolopha,Koklass Pheasant,Pucrasia macrolopha,Least Concern,Schedule-IV,,
Greater Flamingo,Phoenicopterus roseus,Greater Flamingo,Phoenicopterus roseus,Greater Flamingo,Phoenicopterus roseus,Least Concern,Schedule-IV,,Appendix II
Lesser Flamingo,Phoeniconaias minor,Lesser Flamingo,Phoeniconaias minor,Lesser Flamingo,Phoeniconaias minor,Near Threatened,Schedule-IV,,Appendix II
Little Grebe,Tachybaptus ruficollis,Little Grebe,Tachybaptus ruficollis,Little Grebe,Tachybaptus ruficollis,Least Concern,Schedule-IV,,
Horned Grebe,Podiceps auritus,Horned Grebe,Podiceps auritus,Horned Grebe,Podiceps auritus,Vulnerable,Schedule-IV,,Appendix II
Red-necked Grebe,Podiceps grisegena,Red-necked Grebe,Podiceps grisegena,Red-necked Grebe,Podiceps grisegena,Least Concern,Schedule-IV,,Appendix II
Great Crested Grebe,Podiceps cristatus,Great Crested Grebe,Podiceps cristatus,Great Crested Grebe,Podiceps cristatus,Least Concern,Schedule-IV,,
Eared Grebe,Podiceps nigricollis,Black-necked Grebe,Podiceps nigricollis,Eared Grebe,Podiceps nigricollis,Least Concern,Schedule-IV,,
Rock Pigeon,Columba livia,Rock Pigeon,Columba livia,Rock Pigeon,Columba livia,Least Concern,Schedule-IV,,
Hill Pigeon,Columba rupestris,Hill Pigeon,Columba rupestris,Hill Pigeon,Columba rupestris,Least Concern,Schedule-IV,,
Snow Pigeon,Columba leuconota,Snow Pigeon,Columba leuconota,Snow Pigeon,Columba leuconota,Least Concern,Schedule-IV,,
Pale-backed Pigeon,Columba eversmanni,Yellow-eyed Pigeon,Columba eversmanni,Yellow-eyed Pigeon,Columba eversmanni,Vulnerable,Schedule-IV,,
Common Wood-Pigeon,Columba palumbus,Common Wood Pigeon,Columba palumbus,Common Wood-Pigeon,Columba palumbus,Least Concern,Schedule-IV,,
Speckled Wood-Pigeon,Columba hodgsonii,Speckled Wood Pigeon,Columba hodgsonii,Speckled Wood-Pigeon,Columba hodgsonii,Least Concern,Schedule-IV,,
Ashy Wood-Pigeon,Columba pulchricollis,Ashy Wood Pigeon,Columba pulchricollis,Ashy Wood-Pigeon,Columba pulchricollis,Least Concern,Schedule-IV,,
Nilgiri Wood-Pigeon,Columba elphinstonii,Nilgiri Wood Pigeon,Columba elphinstonii,Nilgiri Wood-Pigeon,Columba elphinstonii,Vulnerable,Schedule-IV,,
Pale-capped Pigeon,Columba punicea,Pale-capped Pigeon,Columba punicea,Pale-capped Pigeon,Columba punicea,Vulnerable,Schedule-IV,,
Andaman Wood-Pigeon,Columba palumboides,Andaman Wood Pigeon,Columba palumboides,Andaman Wood-Pigeon,Columba palumboides,Near Threatened,Schedule-IV,,
