eBird English Name 2018,eBird Scientific Name 2018,India Checklist Name,India Scientific Name,eBird English Name 2019,eBird Scientific Name 2019,IUCN,Schedule,CITES Appendix,CMS Appendix
Swinhoe's Storm-Petrel,Oceanodroma monorhis,Swinhoe's Storm-petrel,Hydrobates monorhis,Swinhoe's Storm-Petrel,Oceanodroma monorhis,Near Threatened,Schedule-IV,,
Barau's Petrel,Pterodroma baraui,Barau's Petrel,Pterodroma baraui,Barau's Petrel,Pterodroma baraui,Endangered,Schedule-IV,,
Jouanin's Petrel,Bulweria fallax,Jouanin's Petrel,Bulweria fallax,Jouanin's Petrel,Bulweria fallax,Near Threatened,Schedule-IV,,
Streaked Shearwater,Calonectris leucomelas,Streaked Shearwater,Calonectris leucomelas,Streaked Shearwater,Calonectris leucomelas,Near Threatened,Schedule-IV,,
Cory's Shearwater,Calonectris diomedea,Cory's Shearwater,Calonectris borealis,Cory's Shearwater,Calonectris diomedea,Least Concern,Schedule-IV,,
Flesh-footed Shearwater,Ardenna carneipes,Flesh-footed Shearwater,Ardenna carneipes,Flesh-footed Shearwater,Ardenna carneipes,Near Threatened,Schedule-IV,,
Wedge-tailed Shearwater,Ardenna pacifica,Wedge-tailed Shearwater,Ardenna pacifica,Wedge-tailed Shearwater,Ardenna pacifica,Least Concern,Schedule-IV,,
Short-tailed Shearwater,Ardenna tenuirostris,Short-tailed Shearwater,Ardenna tenuirostris,Short-tailed Shearwater,Ardenna tenuirostris,Least Concern,Schedule-IV,,
Tropical Shearwater,Puffinus bailloni,Tropical Shearwater,Puffinus bailloni,Tropical Shearwater,Puffinus bailloni,Least Concern,Schedule-IV,,
Persian Shearwater,Puffinus persicus,Persian Shearwater,Puffinus persicus,Persian Shearwater,Puffinus persicus,Least Concern,Schedule-IV,,
Asian Openbill,Anastomus oscitans,Asian Openbill,Anastomus oscitans,Asian Openbill,Anastomus oscitans,Least Concern,Schedule-IV,,
Black Stork,Ciconia nigra,Black Stork,Ciconia nigra,Black Stork,Ciconia nigra,Least Concern,Schedule-IV,Appendix II,Appendix II
Woolly-necked Stork,Ciconia episcopus,Woolly-necked Stork,Ciconia episcopus,Woolly-necked Stork,Ciconia episcopus,Vulnerable,Schedule-IV,,
White Stork,Ciconia ciconia,European White Stork,Ciconia ciconia,White Stork,Ciconia ciconia,Least Concern,Schedule-I,,Appendix II
Black-necked Stork,Ephippiorhynchus asiaticus,Black-necked Stork,Ephippiorhynchus asiaticus,Black-necked Stork,Ephippiorhynchus asiaticus,Near Threatened,Schedule-IV,,
Lesser Adjutant,Leptoptilos javanicus,Lesser Adjutant,Leptoptilos javanicus,Lesser Adjutant,Leptoptilos javanicus,Vulnerable,Schedule-IV,,
Greater Adjutant,Leptoptilos dubius,Greater Adjutant,Leptoptilos dubius,Greater Adjutant,Leptoptilos dubius,Endangered,Schedule-IV,,
Painted Stork,Mycteria leucocephala,Painted Stork,Mycteria leucocephala,Painted Stork,Mycteria leucocephala,Near Threatened,Schedule-IV,Appendix I,
Lesser Frigatebird,Fregata ariel,Lesser Frigatebird,Fregata ariel,Lesser Frigatebird,Fregata ariel,Least Concern,Schedule-IV,,
Christmas Island Frigatebird,Fregata andrewsi,Christmas Island Frigatebird,Fregata andrewsi,Christmas Island Frigatebird,Fregata andrewsi,Critically Endangered,Schedule-IV,Appendix I,Appendix I
Great Frigatebird,Fregata minor,Great Frigatebird,Fregata minor,Great Frigatebird,Fregata minor,Least Concern,Schedule-IV,,
Masked Booby,Sula dactylatra,Masked Booby,Sula dactylatra,Masked Booby,Sula dactylatra,Least Concern,Schedule-IV,,
Brown Booby,Sula leucogaster,Brown Booby,Sula leucogaster,Brown Booby,Sula leucogaster,Least Concern,Schedule-IV,,
Red-footed Booby,Sula sula,Red-footed Booby,Sula sula,Red-footed Booby,Sula sula,Least Concern,Schedule-IV,,
Oriental Darter,Anhinga melanogaster,Oriental Darter,Anhinga melanogaster,Oriental Darter,Anhinga melanogaster,Near Threatened,Schedule-IV,,
Little Cormorant,Microcarbo niger,Little Cormorant,Microcarbo niger,Little Cormorant,Microcarbo niger,Least Concern,Schedule-IV,,
Great Cormorant,Phalacrocorax carbo,Great Cormorant,Phalacrocorax carbo,Great Cormorant,Phalacrocorax carbo,Least Concern,Schedule-IV,,
Indian Cormorant,Phalacrocorax fuscicollis,Indian Cormorant,Phalacrocorax fuscicollis,Indian Cormorant,Phalacrocorax fuscicollis,Least Concern,Schedule-IV,,
Great White Pelican,Pelecanus onocrotalus,Great White Pelican,Pelecanus onocrotalus,Great White Pelican,Pelecanus onocrotalus,Least Concern,Schedule-IV,,
Spot-billed Pelican,Pelecanus philippensis,Spot-billed Pelican,Pelecanus philippensis,Spot-billed Pelican,Pelecanus philippensis,Near Threatened,Schedule-IV,,
Dalmatian Pelican,Pelecanus crispus,Dalmatian Pelican,Pelecanus crispus,Dalmatian Pelican,Pelecanus crispus,Near Threatened,Schedule-IV,,
Great Bittern,Botaurus stellaris,Eurasian Bittern,Botaurus stellaris,Great Bittern,Botaurus stellaris,Least Concern,Schedule-IV,,
Yellow Bittern,Ixobrychus sinensis,Yellow Bittern,Ixobrychus sinensis,Yellow Bittern,Ixobrychus sinensis,Least Concern,Schedule-IV,,
Little Bittern,Ixobrychus minutus,Little Bittern,Ixobrychus minutus,Little Bittern,Ixobrychus minutus,Least Concern,Schedule-IV,,
Cinnamon Bittern,Ixobrychus cinnamomeus,Cinnamon Bittern,Ixobrychus cinnamomeus,Cinnamon Bittern,Ixobrychus cinnamomeus,Least Concern,Schedule-IV,,
Black Bittern,Ixobrychus flavicollis,Black Bittern,Ixobrychus flavicollis,Black Bittern,Ixobrychus flavicollis,Least Concern,Schedule-IV,,
Gray Heron,Ardea cinerea,Grey Heron,Ardea cinerea,Gray Heron,Ardea cinerea,Least Concern,Schedule-IV,,
White-bellied Heron,Ardea insignis,White-bellied Heron,Ardea insignis,White-bellied Heron,Ardea insignis,Critically Endangered,Schedule-I,,
Goliath Heron,Ardea goliath,Goliath Heron,Ardea goliath,Goliath Heron,Ardea goliath,Least Concern,Schedule-IV,,
Purple Heron,Ardea purpurea,Purple Heron,Ardea purpurea,Purple Heron,Ardea purpurea,Least Concern,Schedule-IV,,
Great Egret,Ardea alba,Great Egret,Ardea alba,Great Egret,Ardea alba,Least Concern,Schedule-IV,,
Intermediate Egret,Ardea intermedia,Intermediate Egret,Ardea intermedia,Intermediate Egret,Ardea intermedia,Least Concern,Schedule-IV,,
Chinese Egret,Egretta eulophotes,Chinese Egret,Egretta eulophotes,Chinese Egret,Egretta eulophotes,Vulnerable,Schedule-IV,,
Little Egret,Egretta garzetta,Little Egret,Egretta garzetta,Little Egret,Egretta garzetta,Least Concern,Schedule-IV,,
Western Reef-Heron,Egretta gularis,Western Reef Egret,Egretta gularis,Western Reef-Heron,Egretta gularis,Least Concern,Schedule-IV,,
Pacific Reef-Heron,Egretta sacra,Pacific Reef Egret,Egretta sacra,Pacific Reef-Heron,Egretta sacra,Least Concern,Schedule-IV,,
Cattle Egret,Bubulcus ibis,Cattle Egret,Bubulcus ibis,Cattle Egret,Bubulcus ibis,Least Concern,Schedule-IV,,
Indian Pond-Heron,Ardeola grayii,Indian Pond Heron,Ardeola grayii,Indian Pond-Heron,Ardeola grayii,Least Concern,Schedule-IV,,
Chinese Pond-Heron,Ardeola bacchus,Chinese Pond Heron,Ardeola bacchus,Chinese Pond-Heron,Ardeola bacchus,Least Concern,Schedule-IV,,
Javan Pond-Heron,Ardeola speciosa,Javan Pond Heron,Ardeola speciosa,Javan Pond-Heron,Ardeola speciosa,Least Concern,Schedule-IV,,
Striated Heron,Butorides striata,Striated Heron,Butorides striata,Striated Heron,Butorides striata,Least Concern,Schedule-IV,,
Black-crowned Night-Heron,Nycticorax nycticorax,Black-crowned Night Heron,Nycticorax nycticorax,Black-crowned Night-Heron,Nycticorax nycticorax,Least Concern,Schedule-IV,,
White-eared Night-Heron,Gorsachius magnificus,White-eared Night Heron,Gorsachius magnificus,White-eared Night-Heron,Gorsachius magnificus,Endangered,Schedule-IV,,
Malayan Night-Heron,Gorsachius melanolophus,Malayan Night Heron,Gorsachius melanolophus,Malayan Night-Heron,Gorsachius melanolophus,Least Concern,Schedule-IV,,
Glossy Ibis,Plegadis falcinellus,Glossy Ibis,Plegadis falcinellus,Glossy Ibis,Plegadis falcinellus,Least Concern,Schedule-IV,,Appendix II
Black-headed Ibis,Threskiornis melanocephalus,Black-headed Ibis,Threskiornis melanocephalus,Black-headed Ibis,Threskiornis melanocephalus,Near Threatened,Schedule-IV,,
Red-naped Ibis,Pseudibis papillosa,Indian Black Ibis,Pseudibis papillosa,Red-naped Ibis,Pseudibis papillosa,Least Concern,Schedule-IV,,
Eurasian Spoonbill,Platalea leucorodia,Eurasian Spoonbill,Platalea leucorodia,Eurasian Spoonbill,Platalea leucorodia,Least Concern,Schedule-I,,Appendix II
Osprey,Pandion haliaetus,Osprey,Pandion haliaetus,Osprey,Pandion haliaetus,Least Concern,Schedule-I,Appendix II,Appendix II
Black-winged Kite,Elanus caeruleus,Black-winged Kite,Elanus caeruleus,Black-winged Kite,Elanus caeruleus,Least Concern,Schedule-I,Appendix II,Appendix II
Bearded Vulture,Gypaetus barbatus,Bearded Vulture,Gypaetus barbatus,Bearded Vulture,Gypaetus barbatus,Near Threatened,Schedule-I,Appendix II,Appendix II
Egyptian Vulture,Neophron percnopterus,Egyptian Vulture,Neophron percnopterus,Egyptian Vulture,Neophron percnopterus,Endangered,Schedule-IV,Appendix II,Appendix I
Oriental Honey-buzzard,Pernis ptilorhynchus,Oriental Honey Buzzard,Pernis ptilorhynchus,Oriental Honey-buzzard,Pernis ptilorhynchus,Least Concern,Schedule-I,Appendix II,Appendix II
Jerdon's Baza,Aviceda jerdoni,Jerdon's Baza,Aviceda jerdoni,Jerdon's Baza,Aviceda jerdoni,Least Concern,Schedule-I,Appendix II,Appendix II
Black Baza,Aviceda leuphotes,Black Baza,Aviceda leuphotes,Black Baza,Aviceda leuphotes,Least Concern,Schedule-I,Appendix II,Appendix II
Red-headed Vulture,Sarcogyps calvus,Red-headed Vulture,Sarcogyps calvus,Red-headed Vulture,Sarcogyps calvus,Critically Endangered,Schedule-IV,Appendix II,Appendix I
Cinereous Vulture,Aegypius monachus,Cinereous Vulture,Aegypius monachus,Cinereous Vulture,Aegypius monachus,Near Threatened,Schedule-IV,Appendix II,Appendix I
White-rumped Vulture,Gyps bengalensis,White-rumped Vulture,Gyps bengalensis,White-rumped Vulture,Gyps bengalensis,Critically Endangered,Schedule-I,Appendix II,Appendix I
Indian Vulture,Gyps indicus,Indian Vulture,Gyps indicus,Indian Vulture,Gyps indicus,Critically Endangered,Schedule-I,Appendix II,Appendix I
Slender-billed Vulture,Gyps tenuirostris,Slender-billed Vulture,Gyps tenuirostris,Slender-billed Vulture,Gyps tenuirostris,Critically Endangered,Schedule-I,Appendix II,Appendix I
Himalayan Griffon,Gyps himalayensis,Himalayan Vulture,Gyps himalayensis,Himalayan Griffon,Gyps himalayensis,Near Threatened,Schedule-IV,Appendix II,Appendix II
Eurasian Griffon,Gyps fulvus,Griffon Vulture,Gyps fulvus,Eurasian Griffon,Gyps fulvus,Least Concern,Schedule-IV,Appendix II,Appendix II
Nicobar Serpent-Eagle,Spilornis klossi,Nicobar Serpent Eagle,Spilornis klossi,Nicobar Serpent-Eagle,Spilornis klossi,Near Threatened,Schedule-I,Appendix II,Appendix II
Crested Serpent-Eagle,Spilornis cheela,Crested Serpent Eagle,Spilornis cheela,Crested Serpent-Eagle,Spilornis cheela,Least Concern,Schedule-I,Appendix II,Appendix II
Andaman Serpent-Eagle,Spilornis elgini,Andaman Serpent Eagle,Spilornis elgini,Andaman Serpent-Eagle,Spilornis elgini,Vulnerable,Schedule-I,Appendix II,Appendix II
Short-toed Snake-Eagle,Circaetus gallicus,Short-toed Snake Eagle,Circaetus gallicus,Short-toed Snake-Eagle,Circaetus gallicus,Least Concern,Schedule-I,Appendix II,Appendix II
Changeable Hawk-Eagle,Nisaetus limnaeetus,Changeable Hawk Eagle,Nisaetus cirrhatus,Changeable Hawk-Eagle,Nisaetus cirrhatus,Least Concern,Schedule-I,Appendix II,Appendix II
Crested Hawk-Eagle,Nisaetus cirrhatus,Changeable Hawk Eagle,Nisaetus cirrhatus,Changeable Hawk-Eagle,Nisaetus cirrhatus,Least Concern,Schedule-I,Appendix II,Appendix II
Mountain Hawk-Eagle,Nisaetus nipalensis,Mountain Hawk-Eagle,Nisaetus nipalensis,Mountain Hawk-Eagle,Nisaetus nipalensis,Least Concern,Schedule-I,Appendix II,Appendix II
Legge's Hawk-Eagle,Nisaetus kelaarti,Legge's Hawk-Eagle,Nisaetus kelaarti,Legge's Hawk-Eagle,Nisaetus kelaarti,Least Concern,Schedule-I,Appendix II,Appendix II
Rufous-bellied Eagle,Lophotriorchis kienerii,Rufous-bellied Eagle,Lophotriorchis kienerii,Rufous-bellied Eagle,Lophotriorchis kienerii,Near Threatened,Schedule-I,Appendix II,Appendix II
Black Eagle,Ictinaetus malaiensis,Black Eagle,Ictinaetus malaiensis,Black Eagle,Ictinaetus malaiensis,Least Concern,Schedule-I,Appendix II,Appendix II
Indian Spotted Eagle,Clanga hastata,Indian Spotted Eagle,Clanga hastata,Indian Spotted Eagle,Clanga hastata,Vulnerable,Schedule-I,Appendix II,Appendix II
Greater Spotted Eagle,Clanga clanga,Greater Spotted Eagle,Clanga clanga,Greater Spotted Eagle,Clanga clanga,Vulnerable,Schedule-I,Appendix II,Appendix I
Booted Eagle,Hieraaetus pennatus,Booted Eagle,Hieraaetus pennatus,Booted Eagle,Hieraaetus pennatus,Least Concern,Schedule-I,Appendix II,Appendix II
Tawny Eagle,Aquila rapax,Tawny Eagle,Aquila rapax,Tawny Eagle,Aquila rapax,Vulnerable,Schedule-I,Appendix II,Appendix II
Steppe Eagle,Aquila nipalensis,Steppe Eagle,Aquila nipalensis,Steppe Eagle,Aquila nipalensis,Endangered,Schedule-I,Appendix II,Appendix I
Imperial Eagle,Aquila heliaca,Eastern Imperial Eagle,Aquila heliaca,Imperial Eagle,Aquila heliaca,Vulnerable,Schedule-I,Appendix I,Appendix I
Golden Eagle,Aquila chrysaetos,Golden Eagle,Aquila chrysaetos,Golden Eagle,Aquila chrysaetos,Least Concern,Schedule-I,Appendix II,Appendix II
Bonelli's Eagle,Aquila fasciata,Bonelli's Eagle,Aquila fasciata,Bonelli's Eagle,Aquila fasciata,Least Concern,Schedule-I,Appendix II,Appendix II
White-eyed Buzzard,Butastur teesa,White-eyed Buzzard,Butastur teesa,White-eyed Buzzard,Butastur teesa,Least Concern,Schedule-I,Appendix II,Appendix II
Gray-faced Buzzard,Butastur indicus,Grey-faced Buzzard,Butastur indicus,Gray-faced Buzzard,Butastur indicus,Least Concern,Schedule-I,Appendix II,Appendix II
Eurasian Marsh-Harrier,Circus aeruginosus,Western Marsh Harrier,Circus aeruginosus,Eurasian Marsh-Harrier,Circus aeruginosus,Least Concern,Schedule-I,Appendix II,Appendix II
Eastern Marsh-Harrier,Circus spilonotus,Eastern Marsh Harrier,Circus spilonotus,Eastern Marsh-Harrier,Circus spilonotus,Least Concern,Schedule-I,Appendix II,Appendix II
Hen Harrier,Circus cyaneus,Hen Harrier,Circus cyaneus,Hen Harrier,Circus cyaneus,Least Concern,Schedule-I,Appendix II,Appendix II
Pallid Harrier,Circus macrourus,Pallid Harrier,Circus macrourus,Pallid Harrier,Circus macrourus,Near Threatened,Schedule-I,Appendix II,Appendix II
Pied Harrier,Circus melanoleucos,Pied Harrier,Circus melanoleucos,Pied Harrier,Circus melanoleucos,Least Concern,Schedule-I,Appendix II,Appendix II
Montagu's Harrier,Circus pygargus,Montagu's Harrier,Circus pygargus,Montagu's Harrier,Circus pygargus,Least Concern,Schedule-I,Appendix II,Appendix II
Crested Goshawk,Accipiter trivirgatus,Crested Goshawk,Accipiter trivirgatus,Crested Goshawk,Accipiter trivirgatus,Least Concern,Schedule-I,Appendix II,Appendix II
Shikra,Accipiter badius,Shikra,Accipiter badius,Shikra,Accipiter badius,Least Concern,Schedule-I,Appendix II,Appendix II
Nicobar Sparrowhawk,Accipiter butleri,Nicobar Sparrowhawk,Accipiter butleri,Nicobar Sparrowhawk,Accipiter butleri,Vulnerable,Schedule-I,Appendix II,Appendix II
Chinese Sparrowhawk,Accipiter soloensis,Chinese Sparrowhawk,Accipiter soloensis,Chinese Sparrowhawk,Accipiter soloensis,Least Concern,Schedule-I,Appendix II,Appendix II
Japanese Sparrowhawk,Accipiter gularis,Japanese Sparrowhawk,Accipiter gularis,Japanese Sparrowhawk,Accipiter gularis,Least Concern,Schedule-I,Appendix II,Appendix II
Besra,Accipiter virgatus,Besra,Accipiter virgatus,Besra,Accipiter virgatus,Least Concern,Schedule-I,Appendix II,Appendix II
Eurasian Sparrowhawk,Accipiter nisus,Eurasian Sparrowhawk,Accipiter nisus,Eurasian Sparrowhawk,Accipiter nisus,Least Concern,Schedule-I,Appendix II,Appendix II
Northern Goshawk,Accipiter gentilis,Northern Goshawk,Accipiter gentilis,Northern Goshawk,Accipiter gentilis,Least Concern,Schedule-I,Appendix II,Appendix II
Red Kite,Milvus milvus,Red Kite,Milvus milvus,Red Kite,Milvus milvus,Near Threatened,Schedule-I,Appendix II,Appendix II
Black Kite,Milvus migrans,Black Kite,Milvus migrans,Black Kite,Milvus migrans,Least Concern,Schedule-I,Appendix II,Appendix II
Brahminy Kite,Haliastur indus,Brahminy Kite,Haliastur indus,Brahminy Kite,Haliastur indus,Least Concern,Schedule-I,Appendix II,Appendix II
White-tailed Eagle,Haliaeetus albicilla,White-tailed Sea Eagle,Haliaeetus albicilla,White-tailed Eagle,Haliaeetus albicilla,Least Concern,Schedule-I,Appendix I,Appendix I
Pallas's Fish-Eagle,Haliaeetus leucoryphus,Pallas's Fish Eagle,Haliaeetus leucoryphus,Pallas's Fish-Eagle,Haliaeetus leucoryphus,Endangered,Schedule-I,Appendix II,Appendix I
White-bellied Sea-Eagle,Haliaeetus leucogaster,White-bellied Sea Eagle,Haliaeetus leucogaster,White-bellied Sea-Eagle,Haliaeetus leucogaster,Least Concern,Schedule-I,Appendix II,Appendix II
Lesser Fish-Eagle,Haliaeetus humilis,Lesser Fish Eagle,Icthyophaga humilis,Lesser Fish-Eagle,Haliaeetus humilis,Near Threatened,Schedule-I,Appendix II,Appendix II
Gray-headed Fish-Eagle,Haliaeetus ichthyaetus,Grey-headed Fish Eagle,Icthyophaga ichthyaetus,Gray-headed Fish-Eagle,Haliaeetus ichthyaetus,Near Threatened,Schedule-I,Appendix II,Appendix II
Common Buzzard,Buteo buteo,Common Buzzard,Buteo buteo,Common Buzzard,Buteo buteo,Least Concern,Schedule-I,Appendix II,Appendix II
Himalayan Buzzard,Buteo refectus,Himalayan Buzzard,Buteo refectus,Himalayan Buzzard,Buteo refectus,Least Concern,Schedule-I,Appendix II,Appendix II
Long-legged Buzzard,Buteo rufinus,Long-legged Buzzard,Buteo rufinus,Long-legged Buzzard,Buteo rufinus,Least Concern,Schedule-I,Appendix II,Appendix II
Upland Buzzard,Buteo hemilasius,Upland Buzzard,Buteo hemilasius,Upland Buzzard,Buteo hemilasius,Least Concern,Schedule-I,Appendix II,Appendix II
Australasian Grass-Owl,Tyto longimembris,Eastern Grass Owl,Tyto longimembris,Australasian Grass-Owl,Tyto longimembris,Least Concern,Schedule-IV,Appendix II,
Barn Owl,Tyto alba,Common Barn Owl,Tyto alba,Barn Owl,Tyto alba,Least Concern,Schedule-IV,Appendix II,
Andaman Masked-Owl,Tyto deroepstorffi,Andaman Barn Owl,Tyto deroepstorffi,Andaman Masked-Owl,Tyto deroepstorffi,Least Concern,Schedule-IV,Appendix II,
Oriental Bay-Owl,Phodilus badius,Oriental Bay Owl,Phodilus badius,Oriental Bay-Owl,Phodilus badius,Least Concern,Schedule-IV,Appendix II,
Sri Lanka Bay-Owl,Phodilus assimilis,Sri Lanka Bay Owl,Phodilus assimilis,Sri Lanka Bay-Owl,Phodilus assimilis,Least Concern,Schedule-IV,Appendix II,
Andaman Scops-Owl,Otus balli,Andaman Scops Owl,Otus balli,Andaman Scops-Owl,Otus balli,Least Concern,Schedule-IV,Appendix II,
Mountain Scops-Owl,Otus spilocephalus,Mountain Scops Owl,Otus spilocephalus,Mountain Scops-Owl,Otus spilocephalus,Least Concern,Schedule-IV,Appendix II,
Indian Scops-Owl,Otus bakkamoena,Indian Scops Owl,Otus bakkamoena,Indian Scops-Owl,Otus bakkamoena,Least Concern,Schedule-IV,Appendix II,
Collared Scops-Owl,Otus lettia,Collared Scops Owl,Otus lettia,Collared Scops-Owl,Otus lettia,Least Concern,Schedule-IV,Appendix II,
Nicobar Scops-Owl,Otus alius,Nicobar Scops Owl,Otus alius,Nicobar Scops-Owl,Otus alius,Near Threatened,Schedule-IV,Appendix II,
Eurasian Scops-Owl,Otus scops,Eurasian Scops Owl,Otus scops,Eurasian Scops-Owl,Otus scops,Least Concern,Schedule-IV,Appendix II,
Pallid Scops-Owl,Otus brucei,Pallid Scops Owl,Otus brucei,Pallid Scops-Owl,Otus brucei,Least Concern,Schedule-IV,Appendix II,
Oriental Scops-Owl,Otus sunia,Oriental Scops Owl,Otus sunia,Oriental Scops-Owl,Otus sunia,Least Concern,Schedule-IV,Appendix II,
Eurasian Eagle-Owl,Bubo bubo,Eurasian Eagle Owl,Bubo bubo,Eurasian Eagle-Owl,Bubo bubo,Least Concern,Schedule-IV,Appendix II,
Rock Eagle-Owl,Bubo bengalensis,Indian Eagle Owl,Bubo bengalensis,Rock Eagle-Owl,Bubo bengalensis,Least Concern,Schedule-IV,Appendix II,
Spot-bellied Eagle-Owl,Bubo nipalensis,Spot-bellied Eagle Owl,Bubo nipalensis,Spot-bellied Eagle-Owl,Bubo nipalensis,Least Concern,Schedule-IV,Appendix II,
Dusky Eagle-Owl,Bubo coromandus,Dusky Eagle Owl,Bubo coromandus,Dusky Eagle-Owl,Bubo coromandus,Least Concern,Schedule-IV,Appendix II,
Brown Fish-Owl,Ketupa zeylonensis,Brown Fish Owl,Ketupa zeylonensis,Brown Fish-Owl,Ketupa zeylonensis,Least Concern,Schedule-IV,Appendix II,
Tawny Fish-Owl,Ketupa flavipes,Tawny Fish Owl,Ketupa flavipes,Tawny Fish-Owl,Ketupa flavipes,Least Concern,Schedule-IV,Appendix II,
Buffy Fish-Owl,Ketupa ketupu,Buffy Fish Owl,Ketupa ketupu,Buffy Fish-Owl,Ketupa ketupu,Least Concern,Schedule-IV,Appendix II,
Collared Owlet,Glaucidium brodiei,Collared Owlet,Glaucidium brodiei,Collared Owlet,Glaucidium brodiei,Least Concern,Schedule-IV,Appendix II,
Asian Barred Owlet,Glaucidium cuculoides,Asian Barred Owlet,Glaucidium cuculoides,Asian Barred Owlet,Glaucidium cuculoides,Least Concern,Schedule-IV,Appendix II,
Jungle Owlet,Glaucidium radiatum,Jungle Owlet,Glaucidium radiatum,Jungle Owlet,Glaucidium radiatum,Least Concern,Schedule-IV,Appendix II,
Spotted Owlet,Athene brama,Spotted Owlet,Athene brama,Spotted Owlet,Athene brama,Least Concern,Schedule-IV,Appendix II,
Little Owl,Athene noctua,Little Owl,Athene noctua,Little Owl,Athene noctua,Least Concern,Schedule-IV,Appendix II,
Forest Owlet,Athene blewitti,Forest Owlet,Heteroglaux blewitti,Forest Owlet,Athene blewitti,Endangered,Schedule-I,Appendix I,
Mottled Wood-Owl,Strix ocellata,Mottled Wood Owl,Strix ocellata,Mottled Wood-Owl,Strix ocellata,Least Concern,Schedule-IV,Appendix II,
Brown Wood-Owl,Strix leptogrammica,Brown Wood Owl,Strix leptogrammica,Brown Wood-Owl,Strix leptogrammica,Least Concern,Schedule-IV,Appendix II,
Tawny Owl,Strix aluco,Tawny Owl,Strix aluco,Tawny Owl,Strix aluco,Least Concern,Schedule-IV,Appendix II,
Himalayan Owl,Strix nivicolum,Himalayan Owl,Strix nivicolum,Himalayan Owl,Strix nivicolum,Least Concern,Schedule-IV,Appendix II,
Long-eared Owl,Asio otus,Northern Long-eared Owl,Asio otus,Long-eared Owl,Asio otus,Least Concern,Schedule-IV,Appendix II,
Short-eared Owl,Asio flammeus,Short-eared Owl,Asio flammeus,Short-eared Owl,Asio flammeus,Least Concern,Schedule-IV,Appendix II,
Boreal Owl,Aegolius funereus,Boreal Owl,Aegolius funereus,Boreal Owl,Aegolius funereus,Least Concern,Schedule-IV,Appendix II,
Andaman Boobook,Ninox affinis,Andaman Hawk Owl,Ninox affinis,Andaman Boobook,Ninox affinis,Least Concern,Schedule-IV,Appendix II,
Brown Boobook,Ninox scutulata,Brown Hawk Owl,Ninox scutulata,Brown Boobook,Ninox scutulata,Least Concern,Schedule-IV,Appendix II,
Hume's Boobook,Ninox obscura,Hume's Hawk Owl,Ninox obscura,Hume's Boobook,Ninox obscura,Least Concern,Schedule-IV,Appendix II,
Malabar Trogon,Harpactes fasciatus,Malabar Trogon,Harpactes fasciatus,Malabar Trogon,Harpactes fasciatus,Least Concern,Schedule-IV,,
Red-headed Trogon,Harpactes erythrocephalus,Red-headed Trogon,Harpactes erythrocephalus,Red-headed Trogon,Harpactes erythrocephalus,Least Concern,Schedule-IV,,
Ward's Trogon,Harpactes wardi,Ward's Trogon,Harpactes wardi,Ward's Trogon,Harpactes wardi,Near Threatened,Schedule-IV,,
Eurasian Hoopoe,Upupa epops,Common Hoopoe,Upupa epops,Eurasian Hoopoe,Upupa epops,Least Concern,Schedule-IV,,
Great Hornbill,Buceros bicornis,Great Hornbill,Buceros bicornis,Great Hornbill,Buceros bicornis,Vulnerable,Schedule-I,Appendix I,
Brown Hornbill,Anorrhinus austeni,Austen's Brown Hornbill,Anorrhinus austeni,Brown Hornbill,Anorrhinus austeni,Near Threatened,Schedule-I,Appendix II,
Indian Gray Hornbill,Ocyceros birostris,Indian Grey Hornbill,Ocyceros birostris,Indian Gray Hornbill,Ocyceros birostris,Least Concern,Schedule-IV,,
Malabar Gray Hornbill,Ocyceros griseus,Malabar Grey Hornbill,Ocyceros griseus,Malabar Gray Hornbill,Ocyceros griseus,Least Concern,Schedule-IV,,
Malabar Pied-Hornbill,Anthracoceros coronatus,Malabar Pied Hornbill,Anthracoceros coronatus,Malabar Pied-Hornbill,Anthracoceros coronatus,Near Threatened,Schedule-I,Appendix II,
Oriental Pied-Hornbill,Anthracoceros albirostris,Oriental Pied Hornbill,Anthracoceros albirostris,Oriental Pied-Hornbill,Anthracoceros albirostris,Least Concern,Schedule-I,Appendix II,
Rufous-necked Hornbill,Aceros nipalensis,Rufous-necked Hornbill,Aceros nipalensis,Rufous-necked Hornbill,Aceros nipalensis,Vulnerable,Schedule-I,Appendix I,
Wreathed Hornbill,Rhyticeros undulatus,Wreathed Hornbill,Rhyticeros undulatus,Wreathed Hornbill,Rhyticeros undulatus,Vulnerable,Schedule-I,Appendix II,
Narcondam Hornbill,Rhyticeros narcondami,Narcondam Hornbill,Rhyticeros narcondami,Narcondam Hornbill,Rhyticeros narcondami,Endangered,Schedule-I,Appendix II,
Blyth's Kingfisher,Alcedo hercules,Blyth's Kingfisher,Alcedo hercules,Blyth's Kingfisher,Alcedo hercules,Near Threatened,Schedule-IV,,
Common Kingfisher,Alcedo atthis,Common Kingfisher,Alcedo atthis,Common Kingfisher,Alcedo atthis,Least Concern,Schedule-IV,,
Blue-eared Kingfisher,Alcedo meninting,Blue-eared Kingfisher,Alcedo meninting,Blue-eared Kingfisher,Alcedo meninting,Least Concern,Schedule-IV,,
Black-backed Dwarf-Kingfisher,Ceyx erithaca,Oriental Dwarf Kingfisher,Ceyx erithaca,Black-backed Dwarf-Kingfisher,Ceyx erithaca,Least Concern,Schedule-IV,,
