Common Name,Scientific Name,IUCN
Puerto Rican Screech-owl,Megascops nudipes,LC
White-throated Screech-owl,Megascops albogularis,LC
,Megascops guatemalae,NR
,Megascops cooperi,NR
,Megascops asio,NR
Bare-legged Screech-owl,Margarobyas lawrencii,LC
Spectacled Owl,Pulsatrix perspicillata,LC
Tawny-browed Owl,Pulsatrix koeniswaldiana,LC
Band-bellied Owl,Pulsatrix melanota,LC
Spotted Wood-owl,Strix seloputo,LC
Mottled Wood-owl,Strix ocellata,LC
Brown Wood-owl,Strix leptogrammica,LC
Tawny Owl,Strix aluco,LC
Himalayan Owl,Strix nivicolum,LC
Desert Tawny Owl,Strix hadorami,LC
Omani Owl,Strix butleri,DD
Spotted Owl,Strix occidentalis,NT
Barred Owl,Strix varia,LC
Fulvous Owl,Strix fulvescens,LC
Rusty-barred Owl,Strix hylophila,NT
Chaco Owl,Strix chacoensis,NT
Rufous-legged Owl,Strix rufipes,LC
Ural Owl,Strix uralensis,LC
Great Grey Owl,Strix nebulosa,LC
African Wood-owl,Strix woodfordii,LC
,Strix davidi,NR
,Strix rufipes,NR
,Strix aluco,NR
,Strix uralensis,NR
Maned Owl,Jubula lettii,DD
Crested Owl,Lophostrix cristata,LC
Snowy Owl,Bubo scandiacus,VU
Great Horned Owl,Bubo virginianus,LC
Magellanic Horned Owl,Bubo magellanicus,LC
Eurasian Eagle-owl,Bubo bubo,LC
Pharaoh Eagle-owl,Bubo ascalaphus,LC
Rock Eagle-owl,Bubo bengalensis,LC
Cape Eagle-owl,Bubo capensis,LC
Spotted Eagle-owl,Bubo africanus,LC
Greyish Eagle-owl,Bubo cinerascens,LC
Fraser's Eagle-owl,Bubo poensis,LC
Verreaux's Eagle-owl,Bubo lacteus,LC
Shelley's Eagle-owl,Bubo shelleyi,VU
Barred Eagle-owl,Bubo sumatranus,LC
Spot-bellied Eagle-owl,Bubo nipalensis,LC
Dusky Eagle-owl,Bubo coromandus,LC
Akun Eagle-owl,Bubo leucostictus,LC
Philippine Eagle-owl,Bubo philippensis,VU
Blakiston's Eagle-owl,Bubo blakistoni,EN
,Bubo vosseleri,NR
,Bubo poensis,NR
,Bubo africanus,NR
,Bubo bubo,NR
,Bubo virginianus,NR
Brown Fish-owl,Ketupa zeylonensis,LC
Tawny Fish-owl,Ketupa flavipes,LC
Buffy Fish-owl,Ketupa ketupu,LC
Pel's Fishing-owl,Scotopelia peli,LC
Rufous Fishing-owl,Scotopelia ussheri,VU
Vermiculated Fishing-owl,Scotopelia bouvieri,LC
Mottled Owl,Ciccaba virgata,LC
Black-and-white Owl,Ciccaba nigrolineata,LC
Black-banded Owl,Ciccaba huhula,LC
Rufous-banded Owl,Ciccaba albitarsis,LC
Turkey Vulture,Cathartes aura,LC
Lesser Yellow-headed Vulture,Cathartes burrovianus,LC
Greater Yellow-headed Vulture,Cathartes melambrotus,LC
American Black Vulture,Coragyps atratus,LC
King Vulture,Sarcoramphus papa,LC
,Sarcoramphus sacer,NR
California Condor,Gymnogyps californianus,CR
Andean Condor,Vultur gryphus,NT
Secretarybird,Sagittarius serpentarius,VU
Osprey,Pandion haliaetus,LC
,Pandion cristatus,NR
,Pandion haliaetus,NR
Black-winged Kite,Elanus caeruleus,LC
Black-shouldered Kite,Elanus axillaris,LC
White-tailed Kite,Elanus leucurus,LC
Letter-winged Kite,Elanus scriptus,NT
Pearl Kite,Gampsonyx swainsonii,LC
Scissor-tailed Kite,Chelictinia riocourii,LC
Grey-headed Kite,Leptodon cayanensis,LC
White-collared Kite,Leptodon forbesi,EN
Hook-billed Kite,Chondrohierax uncinatus,LC
Cuban Kite,Chondrohierax wilsonii,CR
,Chondrohierax uncinatus,NR
Swallow-tailed Kite,Elanoides forficatus,LC
European Honey-buzzard,Pernis apivorus,LC
Oriental Honey-buzzard,Pernis ptilorhynchus,LC
Sulawesi Honey-buzzard,Pernis celebensis,LC
Philippine Honey-buzzard,Pernis steerei,LC
,Pernis celebensis,NR
Black-breasted Buzzard,Hamirostra melanosternon,LC
Square-tailed Kite,Lophoictinia isura,LC
Long-tailed Honey-buzzard,Henicopernis longicauda,LC
Black Honey-buzzard,Henicopernis infuscatus,VU
African Cuckoo-hawk,Aviceda cuculoides,LC
Madagascar Cuckoo-hawk,Aviceda madagascariensis,LC
Jerdon's Baza,Aviceda jerdoni,LC
Pacific Baza,Aviceda subcristata,LC
Black Baza,Aviceda leuphotes,LC
Madagascar Serpent-eagle,Eutriorchis astur,EN
African Harrier-hawk,Polyboroides typus,LC
Madagascar Harrier-hawk,Polyboroides radiatus,LC
Palm-nut Vulture,Gypohierax angolensis,LC
Bearded Vulture,Gypaetus barbatus,NT
Egyptian Vulture,Neophron percnopterus,EN
Crested Serpent-eagle,Spilornis cheela,LC
Philippine Serpent-eagle,Spilornis holospilus,LC
Great Nicobar Serpent-eagle,Spilornis klossi,NT
Kinabalu Serpent-eagle,Spilornis kinabaluensis,VU
Sulawesi Serpent-eagle,Spilornis rufipectus,LC
Andaman Serpent-eagle,Spilornis elgini,VU
,Spilornis minimus,NR
,Spilornis cheela,NR
Congo Serpent-eagle,Dryotriorchis spectabilis,LC
Bateleur,Terathopius ecaudatus,NT
Philippine Eagle,Pithecophaga jefferyi,CR
Short-toed Snake-eagle,Circaetus gallicus,LC
Beaudouin's Snake-eagle,Circaetus beaudouini,VU
Black-chested Snake-eagle,Circaetus pectoralis,LC
Brown Snake-eagle,Circaetus cinereus,LC
Southern Banded Snake-eagle,Circaetus fasciolatus,NT
Western Banded Snake-eagle,Circaetus cinerascens,LC
,Circaetus gallicus,NR
,Circaetus gallicus,NR
Red-headed Vulture,Sarcogyps calvus,CR
White-headed Vulture,Trigonoceps occipitalis,CR
Hooded Vulture,Necrosyrtes monachus,CR
Himalayan Griffon,Gyps himalayensis,NT
White-rumped Vulture,Gyps bengalensis,CR
White-backed Vulture,Gyps africanus,CR
Indian Vulture,Gyps indicus,CR
Slender-billed Vulture,Gyps tenuirostris,CR
Cape Vulture,Gyps coprotheres,EN
Rüppell's Vulture,Gyps rueppelli,CR
Griffon Vulture,Gyps fulvus,LC
,Gyps indicus,NR
Cinereous Vulture,Aegypius monachus,NT
Lappet-faced Vulture,Torgos tracheliotos,EN
Bat Hawk,Macheiramphus alcinus,LC
Papuan Eagle,Harpyopsis novaeguineae,VU
Crested Eagle,Morphnus guianensis,NT
Harpy Eagle,Harpia harpyja,NT
Crowned Eagle,Stephanoaetus coronatus,NT
Mountain Hawk-eagle,Nisaetus nipalensis,LC
Javan Hawk-eagle,Nisaetus bartelsi,EN
Wallace's Hawk-eagle,Nisaetus nanus,VU
Blyth's Hawk-eagle,Nisaetus alboniger,LC
Sulawesi Hawk-eagle,Nisaetus lanceolatus,LC
North Philippine Hawk-eagle,Nisaetus philippensis,EN
South Philippine Hawk-eagle,Nisaetus pinskeri,EN
Changeable Hawk-eagle,Nisaetus cirrhatus,LC
Flores Hawk-eagle,Nisaetus floris,CR
,Nisaetus philippensis,NR
,Nisaetus kelaarti,NR
,Nisaetus cirrhatus,NR
,Nisaetus limnaeetus,NR
Rufous-bellied Eagle,Lophotriorchis kienerii,NT
Martial Eagle,Polemaetus bellicosus,VU
Black Hawk-eagle,Spizaetus tyrannus,LC
Black-and-white Hawk-eagle,Spizaetus melanoleucus,LC
Ornate Hawk-eagle,Spizaetus ornatus,NT
Black-and-chestnut Eagle,Spizaetus isidori,EN
Black Eagle,Ictinaetus malaiensis,LC
Long-crested Eagle,Lophaetus occipitalis,LC
Lesser Spotted Eagle,Clanga pomarina,LC
Indian Spotted Eagle,Clanga hastata,VU
Greater Spotted Eagle,Clanga clanga,VU
Tawny Eagle,Aquila rapax,VU
Steppe Eagle,Aquila nipalensis,EN
Spanish Imperial Eagle,Aquila adalberti,VU
Eastern Imperial Eagle,Aquila heliaca,VU
Gurney's Eagle,Aquila gurneyi,NT
Golden Eagle,Aquila chrysaetos,LC
Wedge-tailed Eagle,Aquila audax,LC
Verreaux's Eagle,Aquila verreauxii,LC
Bonelli's Eagle,Aquila fasciata,LC
African Hawk-eagle,Aquila spilogaster,LC
Cassin's Hawk-eagle,Aquila africana,LC
,Aquila pomarina,NR
Wahlberg's Eagle,Hieraaetus wahlbergi,LC
Booted Eagle,Hieraaetus pennatus,LC
Pygmy Eagle,Hieraaetus weiskei,LC
Little Eagle,Hieraaetus morphnoides,LC
Ayres's Hawk-eagle,Hieraaetus ayresii,LC
,Hieraaetus morphnoides,NR
Lizard Buzzard,Kaupifalco monogrammicus,LC
Dark Chanting-goshawk,Melierax metabates,LC
Pale Chanting-goshawk,Melierax canorus,LC
Eastern Chanting-goshawk,Melierax poliopterus,LC
,Melierax canorus,NR
Gabar Goshawk,Micronisus gabar,LC
Double-toothed Kite,Harpagus bidentatus,LC
Rufous-thighed Kite,Harpagus diodon,LC
Western Marsh-harrier,Circus aeruginosus,LC
Eastern Marsh-harrier,Circus spilonotus,LC
Papuan Harrier,Circus spilothorax,LC
Swamp Harrier,Circus approximans,LC
African Marsh-harrier,Circus ranivorus,LC
Reunion Marsh-harrier,Circus maillardi,EN
Madagascar Marsh-harrier,Circus macrosceles,EN
Long-winged Harrier,Circus buffoni,LC
Spotted Harrier,Circus assimilis,LC
Black Harrier,Circus maurus,EN
Hen Harrier,Circus cyaneus,LC
Northern Harrier,Circus hudsonius,LC
Cinereous Harrier,Circus cinereus,LC
Pallid Harrier,Circus macrourus,NT
Pied Harrier,Circus melanoleucos,LC
Montagu's Harrier,Circus pygargus,LC
,Circus spilonotus,NR
,Circus cyaneus,NR
,Circus maillardi,NR
Grey-bellied Goshawk,Accipiter poliogaster,NT
Crested Goshawk,Accipiter trivirgatus,LC
Sulawesi Goshawk,Accipiter griseiceps,LC
Red-chested Goshawk,Accipiter toussenelii,LC
African Goshawk,Accipiter tachiro,LC
Chestnut-flanked Sparrowhawk,Accipiter castanilius,LC
Shikra,Accipiter badius,LC
Nicobar Sparrowhawk,Accipiter butleri,VU
Levant Sparrowhawk,Accipiter brevipes,LC
Chinese Sparrowhawk,Accipiter soloensis,LC
Frances's Sparrowhawk,Accipiter francesiae,LC
Spot-tailed Goshawk,Accipiter trinotatus,LC
Lesser Sundas Goshawk,Accipiter sylvestris,LC
Variable Goshawk,Accipiter hiogaster,LC
Grey Goshawk,Accipiter novaehollandiae,LC
Grey-headed Goshawk,Accipiter poliocephalus,LC
New Britain Goshawk,Accipiter princeps,VU
Brown Goshawk,Accipiter fasciatus,LC
Black-mantled Goshawk,Accipiter melanochlamys,LC
Pied Goshawk,Accipiter albogularis,LC
White-bellied Goshawk,Accipiter haplochrous,NT
Fiji Goshawk,Accipiter rufitorques,LC
Moluccan Goshawk,Accipiter henicogrammus,NT
Slaty-backed Goshawk,Accipiter luteoschistaceus,VU
Imitator Goshawk,Accipiter imitator,VU
Red-legged Sparrowhawk,Accipiter erythropus,LC
Little Sparrowhawk,Accipiter minullus,LC
Japanese Sparrowhawk,Accipiter gularis,LC
Besra,Accipiter virgatus,LC
Dwarf Sparrowhawk,Accipiter nanus,NT
Rufous-necked Sparrowhawk,Accipiter erythrauchen,NT
Collared Sparrowhawk,Accipiter cirrocephalus,LC
New Britain Sparrowhawk,Accipiter brachyurus,VU
Vinous-breasted Sparrowhawk,Accipiter rhodogaster,LC
Madagascar Sparrowhawk,Accipiter madagascariensis,NT
Ovambo Sparrowhawk,Accipiter ovampensis,LC
Eurasian Sparrowhawk,Accipiter nisus,LC
Rufous-breasted Sparrowhawk,Accipiter rufiventris,LC
Sharp-shinned Hawk,Accipiter striatus,LC
Cooper's Hawk,Accipiter cooperii,LC
Gundlach's Hawk,Accipiter gundlachi,EN
Bicolored Hawk,Accipiter bicolor,LC
Henst's Goshawk,Accipiter henstii,NT
Black Sparrowhawk,Accipiter melanoleucus,LC
Northern Goshawk,Accipiter gentilis,LC
Meyer's Goshawk,Accipiter meyerianus,LC
Semi-collared Hawk,Accipiter collaris,NT
Tiny Hawk,Accipiter superciliosus,LC
,Accipiter chionogaster,NR
,Accipiter tachiro,NR
,Accipiter erythronemius,NR
,Accipiter ventralis,NR
,Accipiter toussenelii,NR
,Accipiter striatus,NR
,Accipiter tachiro,NR
,Accipiter hiogaster,NR
,Accipiter novaehollandiae,NR
,Accipiter fasciatus,NR
Chestnut-shouldered Goshawk,Erythrotriorchis buergersi,DD
Red Goshawk,Erythrotriorchis radiatus,NT
Doria's Goshawk,Megatriorchis doriae,NT
Long-tailed Hawk,Urotriorchis macrourus,LC
White-bellied Sea-eagle,Haliaeetus leucogaster,LC
Sanford's Sea-eagle,Haliaeetus sanfordi,VU
African Fish-eagle,Haliaeetus vocifer,LC
Madagascar Fish-eagle,Haliaeetus vociferoides,CR
Pallas's Fish-eagle,Haliaeetus leucoryphus,EN
White-tailed Sea-eagle,Haliaeetus albicilla,LC
Bald Eagle,Haliaeetus leucocephalus,LC
Steller's Sea-eagle,Haliaeetus pelagicus,VU
Lesser Fish-eagle,Icthyophaga humilis,NT
Grey-headed Fish-eagle,Icthyophaga ichthyaetus,NT
Whistling Kite,Haliastur sphenurus,LC
Brahminy Kite,Haliastur indus,LC
Red Kite,Milvus milvus,NT
Black Kite,Milvus migrans,LC
,Milvus lineatus,NR
,Milvus migrans,NR
,Milvus aegyptius,NR
,Milvus fasciicauda,NR
Black-collared Hawk,Busarellus nigricollis,LC
Crane Hawk,Geranospiza caerulescens,LC
Grasshopper Buzzard,Butastur rufipennis,LC
White-eyed Buzzard,Butastur teesa,LC
Rufous-winged Buzzard,Butastur liventer,LC
Grey-faced Buzzard,Butastur indicus,LC
Mississippi Kite,Ictinia mississippiensis,LC
Plumbeous Kite,Ictinia plumbea,LC
Snail Kite,Rostrhamus sociabilis,LC
Slender-billed Kite,Helicolestes hamatus,LC
Roadside Hawk,Rupornis magnirostris,LC
Harris's Hawk,Parabuteo unicinctus,LC
White-rumped Hawk,Parabuteo leucorrhous,LC
Plumbeous Hawk,Cryptoleucopteryx plumbea,VU
Slate-colored Hawk,Buteogallus schistaceus,LC
Common Black Hawk,Buteogallus anthracinus,LC
Cuban Black Hawk,Buteogallus gundlachii,NT
Rufous Crab-hawk,Buteogallus aequinoctialis,NT
Savanna Hawk,Buteogallus meridionalis,LC
White-necked Hawk,Buteogallus lacernulatus,VU
Great Black Hawk,Buteogallus urubitinga,LC
Black Solitary Eagle,Buteogallus solitarius,NT
Crowned Solitary Eagle,Buteogallus coronatus,EN
,Buteogallus subtilis,NR
,Buteogallus anthracinus,NR
Barred Hawk,Morphnarchus princeps,LC
White-tailed Hawk,Geranoaetus albicaudatus,LC
Variable Hawk,Geranoaetus polyosoma,LC
Black-chested Buzzard-eagle,Geranoaetus melanoleucus,LC
White Hawk,Pseudastur albicollis,LC
Grey-backed Hawk,Pseudastur occidentalis,EN
Mantled Hawk,Pseudastur polionotus,NT
Semiplumbeous Hawk,Leucopternis semiplumbeus,LC
Black-faced Hawk,Leucopternis melanops,LC
White-browed Hawk,Leucopternis kuhli,LC
Bermuda Hawk,Bermuteo avivorus,EX
Grey Hawk,Buteo plagiatus,LC
Grey-lined Hawk,Buteo nitidus,LC
Ridgway's Hawk,Buteo ridgwayi,CR
Red-shouldered Hawk,Buteo lineatus,LC
Broad-winged Hawk,Buteo platypterus,LC
Hawaiian Hawk,Buteo solitarius,NT
White-throated Hawk,Buteo albigula,LC
Short-tailed Hawk,Buteo brachyurus,LC
Swainson's Hawk,Buteo swainsoni,LC
Galapagos Hawk,Buteo galapagoensis,VU
Zone-tailed Hawk,Buteo albonotatus,LC
Red-tailed Hawk,Buteo jamaicensis,LC
Rufous-tailed Hawk,Buteo ventralis,VU
Rough-legged Buzzard,Buteo lagopus,LC
Ferruginous Hawk,Buteo regalis,LC
Red-necked Buzzard,Buteo auguralis,LC
Augur Buzzard,Buteo augur,LC
Jackal Buzzard,Buteo rufofuscus,LC
Eurasian Buzzard,Buteo buteo,LC
Japanese Buzzard,Buteo japonicus,LC
Himalayan Buzzard,Buteo refectus,LC
Mountain Buzzard,Buteo oreophilus,NT
Forest Buzzard,Buteo trizonatus,NT
Madagascar Buzzard,Buteo brachypterus,LC
Long-legged Buzzard,Buteo rufinus,LC
Socotra Buzzard,Buteo socotraensis,VU
Upland Buzzard,Buteo hemilasius,LC
,Buteo nitidus,NR
,Buteo oreophilus,NR
,Buteo poecilochrous,NR
,Buteo archeri,NR
,Buteo buteo,NR
,Buteo rufinus,NR
,Buteo polyosoma,NR
,Buteo buteo,NR
,Buteo augur,NR
,Buteo bannermani,NR
,Buteo rufinus,NR
,Asturina nitida,NR
,Asturina plagiata,NR
Speckled Mousebird,Colius striatus,LC
White-headed Mousebird,Colius leucocephalus,LC
Red-backed Mousebird,Colius castanotus,LC
White-backed Mousebird,Colius colius,LC
Blue-naped Mousebird,Urocolius macrourus,LC
Red-faced Mousebird,Urocolius indicus,LC
Cuckoo Roller,Leptosomus discolor,LC
,Leptosomus discolor,NR
,Leptosomus gracilis,NR
,Leptosomus intermedius,NR
Narina Trogon,Apaloderma narina,LC
Bare-cheeked Trogon,Apaloderma aequatoriale,LC
Bar-tailed Trogon,Apaloderma vittatum,LC
Javan Trogon,Apalharpactes reinwardtii,VU
Sumatran Trogon,Apalharpactes mackloti,LC
Orange-breasted Trogon,Harpactes oreskios,LC
Cinnamon-rumped Trogon,Harpactes orrhophaeus,NT
Scarlet-rumped Trogon,Harpactes duvaucelii,NT
Malabar Trogon,Harpactes fasciatus,LC
Diard's Trogon,Harpactes diardii,NT
Red-headed Trogon,Harpactes erythrocephalus,LC
Ward's Trogon,Harpactes wardi,NT
Whitehead's Trogon,Harpactes whiteheadi,NT
Red-naped Trogon,Harpactes kasumba,NT
Philippine Trogon,Harpactes ardens,LC
,Harpactes reinwardtii,NR
Pavonine Quetzal,Pharomachrus pavoninus,LC
Golden-headed Quetzal,Pharomachrus auriceps,LC
White-tipped Quetzal,Pharomachrus fulgidus,LC
Resplendent Quetzal,Pharomachrus mocinno,NT
Crested Quetzal,Pharomachrus antisianus,LC
Eared Quetzal,Euptilotis neoxenus,LC
Cuban Trogon,Priotelus temnurus,LC
Hispaniolan Trogon,Temnotrogon roseigaster,LC
Lattice-tailed Trogon,Trogon clathratus,LC
Slaty-tailed Trogon,Trogon massena,LC
Choco Trogon,Trogon comptus,LC
Ecuadorian Trogon,Trogon mesurus,LC
Black-tailed Trogon,Trogon melanurus,LC
Green-backed Trogon,Trogon viridis,LC
White-tailed Trogon,Trogon chionurus,LC
Black-headed Trogon,Trogon melanocephalus,LC
Citreoline Trogon,Trogon citreolus,LC
Baird's Trogon,Trogon bairdii,NT
Violaceous Trogon,Trogon violaceus,LC
Blue-crowned Trogon,Trogon curucui,LC
Northern Surucua Trogon,Trogon aurantius,LC
Southern Surucua Trogon,Trogon surrucura,LC
Black-throated Trogon,Trogon rufus,LC
Elegant Trogon,Trogon elegans,LC
Coppery-tailed Trogon,Trogon ambiguus,LC
Mountain Trogon,Trogon mexicanus,LC
Collared Trogon,Trogon collaris,LC
Masked Trogon,Trogon personatus,LC
,Trogon viridis,NR
,Trogon violaceus,NR
,Trogon aurantiiventris,NR
,Trogon surrucura,NR
,Trogon caligatus,NR
,Trogon elegans,NR
,Trogon ramonianus,NR
,Trogon collaris,NR
,Trogon melanurus,NR
,Trogon violaceus,NR
Southern Ground-hornbill,Bucorvus leadbeateri,VU
Northern Ground-hornbill,Bucorvus abyssinicus,VU
Pale-billed Hornbill,Lophoceros pallidirostris,LC
African Grey Hornbill,Lophoceros nasutus,LC
West African Pied Hornbill,Lophoceros semifasciatus,LC
Congo Pied Hornbill,Lophoceros fasciatus,LC
Hemprich's Hornbill,Lophoceros hemprichii,LC
Dwarf Hornbill,Lophoceros camurus,LC
Crowned Hornbill,Lophoceros alboterminatus,LC
Bradfield's Hornbill,Lophoceros bradfieldi,LC
Eastern Yellow-billed Hornbill,Tockus flavirostris,LC
Southern Yellow-billed Hornbill,Tockus leucomelas,LC
Jackson's Hornbill,Tockus jacksoni,LC
Von der Decken's Hornbill,Tockus deckeni,LC
Monteiro's Hornbill,Tockus monteiri,LC
Damara Hornbill,Tockus damarensis,LC
Red-billed Hornbill,Tockus erythrorhynchus,LC
,Tockus hartlaubi,NR
,Tockus fasciatus,NR
,Tockus erythrorhynchus,NR
White-crowned Hornbill,Berenicornis comatus,EN
Western Long-tailed Hornbill,Horizocerus albocristatus,LC
Eastern Long-tailed Hornbill,Horizocerus cassini,LC
Eastern Little Hornbill,Horizocerus granti,LC
Western Little Hornbill,Horizocerus hartlaubi,LC
Yellow-casqued Hornbill,Ceratogymna elata,VU
Black-casqued Hornbill,Ceratogymna atrata,LC
Silvery-cheeked Hornbill,Bycanistes brevis,LC
Grey-cheeked Hornbill,Bycanistes subcylindricus,LC
Brown-cheeked Hornbill,Bycanistes cylindricus,VU
White-thighed Hornbill,Bycanistes albotibialis,LC
Trumpeter Hornbill,Bycanistes bucinator,LC
Western Piping Hornbill,Bycanistes fistulator,LC
Eastern Piping Hornbill,Bycanistes sharpii,LC
,Bycanistes cylindricus,NR
,Bycanistes fistulator,NR
Helmeted Hornbill,Rhinoplax vigil,CR
Northern Rufous Hornbill,Buceros hydrocorax,VU
Southern Rufous Hornbill,Buceros mindanensis,VU
Great Hornbill,Buceros bicornis,VU
Rhinoceros Hornbill,Buceros rhinoceros,VU
,Buceros hydrocorax,NR
Bushy-crested Hornbill,Anorrhinus galeritus,NT
Austen's Brown Hornbill,Anorrhinus austeni,NT
Tickell's Brown Hornbill,Anorrhinus tickelli,NT
,Anorrhinus tickelli,NR
Indian Grey Hornbill,Ocyceros birostris,LC
Malabar Grey Hornbill,Ocyceros griseus,LC
Sri Lanka Grey Hornbill,Ocyceros gingalensis,LC
Black Hornbill,Anthracoceros malayanus,VU
Sulu Hornbill,Anthracoceros montani,CR
Malabar Pied Hornbill,Anthracoceros coronatus,NT
Oriental Pied Hornbill,Anthracoceros albirostris,LC
Palawan Hornbill,Anthracoceros marchei,VU
Rufous-necked Hornbill,Aceros nipalensis,VU
Wrinkled Hornbill,Rhabdotorrhinus corrugatus,EN
Sulawesi Hornbill,Rhabdotorrhinus exarhatus,VU
Writhed Hornbill,Rhabdotorrhinus leucocephalus,NT
Rufous-headed Hornbill,Rhabdotorrhinus waldeni,CR
Visayan Hornbill,Penelopides panini,EN
Mindanao Hornbill,Penelopides affinis,LC
Mindoro Hornbill,Penelopides mindorensis,EN
Luzon Hornbill,Penelopides manillae,LC
,Penelopides affinis,NR
,Penelopides samarensis,NR
Knobbed Hornbill,Rhyticeros cassidix,VU
Sumba Hornbill,Rhyticeros everetti,VU
Wreathed Hornbill,Rhyticeros undulatus,VU
Plain-pouched Hornbill,Rhyticeros subruficollis,VU
Narcondam Hornbill,Rhyticeros narcondami,EN
Papuan Hornbill,Rhyticeros plicatus,LC
,Tropicranus albocristatus,NR
Common Hoopoe,Upupa epops,LC
Madagascar Hoopoe,Upupa marginata,LC
St Helena Hoopoe,Upupa antaios,EX
,Upupa africana,NR
,Upupa epops,NR
Green Woodhoopoe,Phoeniculus purpureus,LC
Violet Woodhoopoe,Phoeniculus damarensis,LC
Black-billed Woodhoopoe,Phoeniculus somaliensis,LC
White-headed Woodhoopoe,Phoeniculus bollei,LC
Forest Scimitarbill,Rhinopomastus castaneiceps,LC
Black Scimitarbill,Rhinopomastus aterrimus,LC
Common Scimitarbill,Rhinopomastus cyanomelas,LC
Abyssinian Scimitarbill,Rhinopomastus minor,LC
Red-bearded Bee-eater,Nyctyornis amictus,LC
Blue-bearded Bee-eater,Nyctyornis athertoni,LC
Purple-bearded Bee-eater,Meropogon forsteni,LC
White-fronted Bee-eater,Merops bullockoides,LC
Red-throated Bee-eater,Merops bulocki,LC
Black-headed Bee-eater,Merops breweri,LC
White-throated Bee-eater,Merops albicollis,LC
Somali Bee-eater,Merops revoilii,LC
Rosy Bee-eater,Merops malimbicus,LC
Northern Carmine Bee-eater,Merops nubicus,LC
Southern Carmine Bee-eater,Merops nubicoides,LC
African Green Bee-eater,Merops viridissimus,LC
Arabian Green Bee-eater,Merops cyanophrys,LC
Asian Green Bee-eater,Merops orientalis,LC
Chestnut-headed Bee-eater,Merops leschenaulti,LC
Blue-throated Bee-eater,Merops viridis,LC
Rufous-crowned Bee-eater,Merops americanus,LC
Blue-tailed Bee-eater,Merops philippinus,LC
Olive Bee-eater,Merops superciliosus,LC
Blue-cheeked Bee-eater,Merops persicus,LC
European Bee-eater,Merops apiaster,LC
Rainbow Bee-eater,Merops ornatus,LC
Böhm's Bee-eater,Merops boehmi,LC
Swallow-tailed Bee-eater,Merops hirundineus,LC
Ethiopian Bee-eater,Merops lafresnayii,LC
Cinnamon-chested Bee-eater,Merops oreobates,LC
Blue-breasted Bee-eater,Merops variegatus,LC
Little Bee-eater,Merops pusillus,LC
Black Bee-eater,Merops gularis,LC
Blue-headed Bee-eater,Merops muelleri,LC
Blue-moustached Bee-eater,Merops mentalis,NT
,Merops variegatus,NR
,Merops orientalis,NR
,Merops muelleri,NR
,Merops viridis,NR
Purple Roller,Coracias naevius,LC
Indian Roller,Coracias benghalensis,LC
Indochinese Roller,Coracias affinis,LC
Purple-winged Roller,Coracias temminckii,LC
Racquet-tailed Roller,Coracias spatulatus,LC
Lilac-breasted Roller,Coracias caudatus,LC
Abyssinian Roller,Coracias abyssinicus,LC
European Roller,Coracias garrulus,LC
Blue-bellied Roller,Coracias cyanogaster,LC
,Coracias benghalensis,NR
Blue-throated Roller,Eurystomus gularis,LC
Broad-billed Roller,Eurystomus glaucurus,LC
Oriental Dollarbird,Eurystomus orientalis,LC
Azure Dollarbird,Eurystomus azureus,NT
Short-legged Ground-roller,Brachypteracias leptosomus,VU
Scaly Ground-roller,Geobiastes squamiger,VU
Long-tailed Ground-roller,Uratelornis chimaera,VU
Pitta-like Ground-roller,Atelornis pittoides,LC
Rufous-headed Ground-roller,Atelornis crossleyi,NT
Cuban Tody,Todus multicolor,LC
Narrow-billed Tody,Todus angustirostris,LC
Broad-billed Tody,Todus subulatus,LC
Jamaican Tody,Todus todus,LC
Puerto Rican Tody,Todus mexicanus,LC
Tody Motmot,Hylomanes momotula,LC
Blue-throated Motmot,Aspatha gularis,LC
Russet-crowned Motmot,Momotus mexicanus,LC
Blue-crowned Motmot,Momotus coeruliceps,LC
Blue-diademed Motmot,Momotus lessonii,LC
Whooping Motmot,Momotus subrufescens,LC
Trinidad Motmot,Momotus bahamensis,LC
Amazonian Motmot,Momotus momota,LC
Highland Motmot,Momotus aequatorialis,LC
,Momotus momota,NR
,Momotus momota,NR
Rufous Motmot,Baryphthengus martii,LC
Rufous-capped Motmot,Baryphthengus ruficapillus,LC
Keel-billed Motmot,Electron carinatum,VU
Broad-billed Motmot,Electron platyrhynchum,LC
Turquoise-browed Motmot,Eumomota superciliosa,LC
African Dwarf-kingfisher,Ispidina lecontei,LC
African Pygmy-kingfisher,Ispidina picta,LC
Madagascar Pygmy-kingfisher,Corythornis madagascariensis,LC
White-bellied Kingfisher,Corythornis leucogaster,LC
Malachite Kingfisher,Corythornis cristatus,LC
Sao Tome Kingfisher,Corythornis thomensis,LC
Principe Kingfisher,Corythornis nais,LC
Madagascar Kingfisher,Corythornis vintsioides,LC
Sangihe Dwarf-kingfisher,Ceyx sangirensis,CR
Sulawesi Dwarf-kingfisher,Ceyx fallax,NT
North Philippine Dwarf-kingfisher,Ceyx melanurus,VU
South Philippine Dwarf-Kingfisher,Ceyx mindanensis,VU
Oriental Dwarf-kingfisher,Ceyx erithaca,LC
Dimorphic Dwarf-kingfisher,Ceyx margarethae,LC
Moluccan Dwarf-kingfisher,Ceyx lepidus,LC
Sula Dwarf-kingfisher,Ceyx wallacii,NT
Buru Dwarf-kingfisher,Ceyx cajeli,NT
