Common Name,Scientific Name,IUCN
Speckled Chachalaca,Ortalis guttata,LC
East Brazilian Chachalaca,Ortalis araucuan,LC
Scaled Chachalaca,Ortalis squamata,LC
Little Chachalaca,Ortalis motmot,LC
Buff-browed Chachalaca,Ortalis superciliaris,LC
,Ortalis guttata,NR
,Ortalis guttata,NR
,Ortalis guttata,NR
,Ortalis squamata,NR
Nocturnal Curassow,Nothocrax urumutum,LC
Great Curassow,Crax rubra,VU
Blue-billed Curassow,Crax alberti,CR
Yellow-knobbed Curassow,Crax daubentoni,NT
Black Curassow,Crax alector,VU
Bare-faced Curassow,Crax fasciolata,VU
Belem Curassow,Crax pinima,CR
Wattled Curassow,Crax globulosa,EN
Red-billed Curassow,Crax blumenbachii,EN
,Crax fasciolata,NR
Crestless Curassow,Mitu tomentosum,NT
Alagoas Curassow,Mitu mitu,EW
Razor-billed Curassow,Mitu tuberosum,LC
Salvin's Curassow,Mitu salvini,LC
Horned Curassow,Pauxi unicornis,CR
Sira Curassow,Pauxi koepckeae,CR
Helmeted Curassow,Pauxi pauxi,EN
,Pauxi unicornis,NR
Helmeted Guineafowl,Numida meleagris,LC
White-breasted Guineafowl,Agelastes meleagrides,VU
Black Guineafowl,Agelastes niger,LC
Vulturine Guineafowl,Acryllium vulturinum,LC
Plumed Guineafowl,Guttera plumifera,LC
Western Crested Guineafowl,Guttera verreauxi,LC
Eastern Crested Guineafowl,Guttera pucherani,LC
Southern Crested Guineafowl,Guttera edouardi,LC
,Guttera pucherani,NR
Stone Partridge,Ptilopachus petrosus,LC
Nahan's Partridge,Ptilopachus nahani,VU
Banded Quail,Philortyx fasciatus,LC
Mountain Quail,Oreortyx pictus,LC
Northern Bobwhite,Colinus virginianus,NT
Black-throated Bobwhite,Colinus nigrogularis,LC
Spot-bellied Bobwhite,Colinus leucopogon,LC
Crested Bobwhite,Colinus cristatus,LC
,Colinus ridgwayi,NR
,Colinus cristatus,NR
Scaled Quail,Callipepla squamata,LC
Elegant Quail,Callipepla douglasii,LC
Gambel's Quail,Callipepla gambelii,LC
California Quail,Callipepla californica,LC
Bearded Wood-partridge,Dendrortyx barbatus,VU
Long-tailed Wood-partridge,Dendrortyx macroura,LC
Buffy-crowned Wood-partridge,Dendrortyx leucophrys,LC
Marbled Wood-quail,Odontophorus gujanensis,NT
Spot-winged Wood-quail,Odontophorus capueira,LC
Black-eared Wood-quail,Odontophorus melanotis,LC
Rufous-fronted Wood-quail,Odontophorus erythrops,LC
Black-fronted Wood-quail,Odontophorus atrifrons,VU
Chestnut Wood-quail,Odontophorus hyperythrus,NT
Dark-backed Wood-quail,Odontophorus melanonotus,VU
Rufous-breasted Wood-quail,Odontophorus speciosus,NT
Tacarcuna Wood-quail,Odontophorus dialeucos,VU
Gorgeted Wood-quail,Odontophorus strophium,VU
Venezuelan Wood-quail,Odontophorus columbianus,NT
Black-breasted Wood-quail,Odontophorus leucolaemus,LC
Stripe-faced Wood-quail,Odontophorus balliviani,LC
Starred Wood-quail,Odontophorus stellatus,LC
Spotted Wood-quail,Odontophorus guttatus,LC
Tawny-faced Quail,Rhynchortyx cinctus,LC
Singing Quail,Dactylortyx thoracicus,LC
Montezuma Quail,Cyrtonyx montezumae,LC
Spot-breasted Quail,Cyrtonyx sallei,NT
Ocellated Quail,Cyrtonyx ocellatus,VU
,Cyrtonyx montezumae,NR
Udzungwa Forest-partridge,Xenoperdix udzungwensis,EN
,Xenoperdix obscurata,NR
Crested Partridge,Rollulus rouloul,NT
Hill Partridge,Arborophila torqueola,LC
Rufous-throated Partridge,Arborophila rufogularis,LC
White-cheeked Partridge,Arborophila atrogularis,NT
Taiwan Partridge,Arborophila crudigularis,LC
Chestnut-breasted Partridge,Arborophila mandellii,VU
Bar-backed Partridge,Arborophila brunneopectus,LC
Sichuan Partridge,Arborophila rufipectus,EN
Collared Partridge,Arborophila gingica,NT
Orange-necked Partridge,Arborophila davidi,NT
Chestnut-headed Partridge,Arborophila cambodiana,LC
Malay Partridge,Arborophila campbelli,LC
Tan-breasted Partridge,Arborophila rolli,LC
Sumatran Partridge,Arborophila sumatrana,LC
White-faced Partridge,Arborophila orientalis,VU
Chestnut-bellied Partridge,Arborophila javanica,LC
Red-billed Partridge,Arborophila rubrirostris,LC
Bornean Partridge,Arborophila hyperythra,LC
Hainan Partridge,Arborophila ardens,VU
Green-legged Partridge,Arborophila chloropus,LC
Tonkin Partridge,Arborophila tonkinensis,LC
Chestnut-necklaced Partridge,Arborophila charltonii,VU
Sabah Partridge,Arborophila graydoni,LC
,Arborophila chloropus,NR
,Arborophila merlini,NR
,Arborophila charltonii,NR
,Arborophila orientalis,NR
,Arborophila chloropus,NR
Long-billed Partridge,Rhizothera longirostris,NT
Dulit Partridge,Rhizothera dulitensis,VU
,Rhizothera longirostris,NR
Black Partridge,Melanoperdix niger,VU
Crimson-headed Partridge,Haematortyx sanguiniceps,LC
Ferruginous Partridge,Caloperdix oculeus,NT
Red Spurfowl,Galloperdix spadicea,LC
Painted Spurfowl,Galloperdix lunulata,LC
Sri Lanka Spurfowl,Galloperdix bicalcarata,LC
Congo Peafowl,Afropavo congensis,VU
Indian Peafowl,Pavo cristatus,LC
Green Peafowl,Pavo muticus,EN
Great Argus,Argusianus argus,NT
,Argusianus argus,NR
,Argusianus bipunctatus,NR
Crested Argus,Rheinardia ocellata,EN
Palawan Peacock-pheasant,Polyplectron napoleonis,VU
Malay Peacock-pheasant,Polyplectron malacense,VU
Bornean Peacock-pheasant,Polyplectron schleiermacheri,EN
Germain's Peacock-pheasant,Polyplectron germaini,NT
Hainan Peacock-pheasant,Polyplectron katsumatae,EN
Grey Peacock-pheasant,Polyplectron bicalcaratum,LC
Mountain Peacock-pheasant,Polyplectron inopinatum,VU
Bronze-tailed Peacock-pheasant,Polyplectron chalcurum,LC
,Polyplectron bicalcaratum,NR
Madagascar Partridge,Margaroperdix madagarensis,LC
Common Quail,Coturnix coturnix,LC
Japanese Quail,Coturnix japonica,NT
Rain Quail,Coturnix coromandelica,LC
Harlequin Quail,Coturnix delegorguei,LC
Stubble Quail,Coturnix pectoralis,LC
New Zealand Quail,Coturnix novaezelandiae,EX
,Coturnix chinensis,NR
Brown Quail,Synoicus ypsilophorus,LC
Asian Blue Quail,Synoicus chinensis,LC
African Blue Quail,Synoicus adansonii,LC
Snow Mountain Quail,Anurophasis monorthonyx,NT
Caucasian Snowcock,Tetraogallus caucasicus,LC
Caspian Snowcock,Tetraogallus caspius,LC
Himalayan Snowcock,Tetraogallus himalayensis,LC
Tibetan Snowcock,Tetraogallus tibetanus,LC
Altai Snowcock,Tetraogallus altaicus,LC
Rock Partridge,Alectoris graeca,NT
Chukar,Alectoris chukar,LC
Przevalski's Partridge,Alectoris magna,LC
Philby's Partridge,Alectoris philbyi,LC
Barbary Partridge,Alectoris barbara,LC
Red-legged Partridge,Alectoris rufa,LC
Arabian Partridge,Alectoris melanocephala,LC
,Alectoris whitakeri,NR
Snow Partridge,Lerwa lerwa,LC
See-see Partridge,Ammoperdix griseogularis,LC
Sand Partridge,Ammoperdix heyi,LC
Jungle Bush-quail,Perdicula asiatica,LC
Rock Bush-quail,Perdicula argoondah,LC
Painted Bush-quail,Perdicula erythrorhyncha,LC
Manipur Bush-quail,Perdicula manipurensis,EN
Himalayan Quail,Ophrysia superciliosa,CR
Hartlaub's Francolin,Pternistis hartlaubi,LC
Double-spurred Francolin,Pternistis bicalcaratus,LC
Heuglin's Francolin,Pternistis icterorhynchus,LC
Clapperton's Francolin,Pternistis clappertoni,LC
Harwood's Francolin,Pternistis harwoodi,NT
Red-billed Francolin,Pternistis adspersus,LC
Cape Francolin,Pternistis capensis,LC
Natal Francolin,Pternistis natalensis,LC
Hildebrandt's Francolin,Pternistis hildebrandti,LC
Ahanta Francolin,Pternistis ahantensis,LC
Scaly Francolin,Pternistis squamatus,LC
Grey-striped Francolin,Pternistis griseostriatus,LC
Yellow-necked Francolin,Pternistis leucoscepus,LC
Grey-breasted Francolin,Pternistis rufopictus,LC
Red-necked Francolin,Pternistis afer,LC
Swainson's Francolin,Pternistis swainsonii,LC
Jackson's Francolin,Pternistis jacksoni,LC
Handsome Francolin,Pternistis nobilis,LC
Mount Cameroon Francolin,Pternistis camerunensis,EN
Swierstra's Francolin,Pternistis swierstrai,EN
Chestnut-naped Francolin,Pternistis castaneicollis,LC
Black-fronted Francolin,Pternistis atrifrons,EN
Erckel's Francolin,Pternistis erckelii,LC
Djibouti Francolin,Pternistis ochropectus,CR
Black Francolin,Francolinus francolinus,LC
Painted Francolin,Francolinus pictus,LC
Chinese Francolin,Francolinus pintadeanus,LC
Grey Francolin,Francolinus pondicerianus,LC
Swamp Francolin,Francolinus gularis,VU
,Francolinus psilolaemus,NR
,Francolinus shelleyi,NR
,Francolinus castaneicollis,NR
Crested Francolin,Dendroperdix sephaena,LC
Coqui Francolin,Peliperdix coqui,LC
White-throated Francolin,Peliperdix albogularis,LC
Schlegel's Francolin,Peliperdix schlegelii,LC
Forest Francolin,Peliperdix lathami,LC
Ring-necked Francolin,Scleroptila streptophora,NT
Red-winged Francolin,Scleroptila levaillantii,LC
Grey-winged Francolin,Scleroptila afra,LC
Finsch's Francolin,Scleroptila finschi,LC
Moorland Francolin,Scleroptila psilolaema,NT
Elgon Francolin,Scleroptila elgonensis,NT
Shelley's Francolin,Scleroptila shelleyi,LC
Whyte's Francolin,Scleroptila whytei,LC
Orange River Francolin,Scleroptila gutturalis,LC
Mountain Bamboo-partridge,Bambusicola fytchii,LC
Chinese Bamboo-partridge,Bambusicola thoracicus,LC
Taiwan Bamboo-partridge,Bambusicola sonorivox,LC
,Bambusicola thoracicus,NR
Red Junglefowl,Gallus gallus,LC
Grey Junglefowl,Gallus sonneratii,LC
Sri Lanka Junglefowl,Gallus lafayettii,LC
Green Junglefowl,Gallus varius,LC
Chestnut-throated Partridge,Tetraophasis obscurus,LC
Buff-throated Partridge,Tetraophasis szechenyii,LC
Himalayan Monal,Lophophorus impejanus,LC
Sclater's Monal,Lophophorus sclateri,VU
Chinese Monal,Lophophorus lhuysii,VU
Western Tragopan,Tragopan melanocephalus,VU
Satyr Tragopan,Tragopan satyra,NT
Blyth's Tragopan,Tragopan blythii,VU
Temminck's Tragopan,Tragopan temminckii,LC
Cabot's Tragopan,Tragopan caboti,VU
Blood Pheasant,Ithaginis cruentus,LC
Koklass Pheasant,Pucrasia macrolopha,LC
Elliot's Pheasant,Syrmaticus ellioti,NT
Mrs Hume's Pheasant,Syrmaticus humiae,NT
Mikado Pheasant,Syrmaticus mikado,NT
Copper Pheasant,Syrmaticus soemmerringii,NT
Reeves's Pheasant,Syrmaticus reevesii,VU
Golden Pheasant,Chrysolophus pictus,LC
Lady Amherst's Pheasant,Chrysolophus amherstiae,LC
Common Pheasant,Phasianus colchicus,LC
Green Pheasant,Phasianus versicolor,LC
,Phasianus colchicus,NR
White Eared-pheasant,Crossoptilon crossoptilon,NT
Tibetan Eared-pheasant,Crossoptilon harmani,NT
Brown Eared-pheasant,Crossoptilon mantchuricum,VU
Blue Eared-pheasant,Crossoptilon auritum,LC
Cheer Pheasant,Catreus wallichii,VU
Kalij Pheasant,Lophura leucomelanos,LC
Silver Pheasant,Lophura nycthemera,LC
Vietnam Pheasant,Lophura edwardsi,CR
Swinhoe's Pheasant,Lophura swinhoii,NT
Salvadori's Pheasant,Lophura inornata,NT
Malay Crestless Fireback,Lophura erythrophthalma,VU
Bornean Crestless Fireback,Lophura pyronota,VU
Bornean Crested Fireback,Lophura ignita,NT
Malay Crested Fireback,Lophura rufa,NT
Siamese Fireback,Lophura diardi,LC
Bulwer's Pheasant,Lophura bulweri,VU
,Lophura edwardsi,NR
,Lophura erythrophthalma,NR
,Lophura ignita,NR
,Lophura hatinhensis,NR
,Lophura hoogerwerfi,NR
,Lophura imperialis,NR
,Lophura inornata,NR
Grey Partridge,Perdix perdix,LC
Daurian Partridge,Perdix dauurica,LC
Tibetan Partridge,Perdix hodgsoniae,LC
Wild Turkey,Meleagris gallopavo,LC
Ocellated Turkey,Meleagris ocellata,NT
Ruffed Grouse,Bonasa umbellus,LC
Hazel Grouse,Bonasa bonasia,LC
Chinese Grouse,Bonasa sewerzowi,NT
Willow Grouse,Lagopus lagopus,LC
Rock Ptarmigan,Lagopus muta,LC
White-tailed Ptarmigan,Lagopus leucura,LC
Dusky Grouse,Dendragapus obscurus,LC
Sooty Grouse,Dendragapus fuliginosus,LC
,Dendragapus obscurus,NR
,Dendragapus canadensis,NR
Siberian Grouse,Falcipennis falcipennis,NT
Spruce Grouse,Falcipennis canadensis,LC
Franklin's Grouse,Falcipennis franklinii,LC
Western Capercaillie,Tetrao urogallus,LC
Black-billed Capercaillie,Tetrao urogalloides,LC
Black Grouse,Lyrurus tetrix,LC
Caucasian Grouse,Lyrurus mlokosiewiczi,NT
Sage Grouse,Centrocercus urophasianus,NT
