English Name,Scientific Name,BLI,GEN
Grey-backed Shrike,Lanius tephronotus,Lanius tephronotus,7.2
Great Grey Shrike,Lanius excubitor,Lanius excubitor,5.7
Black-headed Shrike-babbler,Pteruthius rufiventer,Pteruthius rufiventer,9
Himalayan Shrike-babbler,Pteruthius ripleyi,Pteruthius rufiventer,9
Green Shrike-babbler,Pteruthius xanthochlorus,Pteruthius xanthochlorus,7.2
White-bellied Erpornis,Erpornis zantholeuca,Erpornis zantholeuca,7.8
Indian Golden Oriole,Oriolus kundoo,Oriolus kundoo,8.1
Black-naped Oriole,Oriolus chinensis,Oriolus chinensis,11.1
Black-hooded Oriole,Oriolus xanthornus,Oriolus xanthornus,11.1
Maroon Oriole,Oriolus traillii,Oriolus traillii,10.5
Black Drongo,Dicrurus macrocercus,Dicrurus macrocercus,8.1
Ashy Drongo,Dicrurus leucophaeus,Dicrurus leucophaeus,7.5
White-bellied Drongo,Dicrurus caerulescens,Dicrurus caerulescens,8.7
Bronzed Drongo,Dicrurus aeneus,Dicrurus aeneus,7.5
Lesser Racket-tailed Drongo,Dicrurus remifer,Dicrurus remifer,8.4
Hair-crested Drongo,Dicrurus hottentottus,Dicrurus hottentottus,8.7
Andaman Drongo,Dicrurus andamanensis,Dicrurus andamanensis,8.7
Greater Racket-tailed Drongo,Dicrurus paradiseus,Dicrurus paradiseus,9
White-throated Fantail,Rhipidura albicollis,Rhipidura albicollis,7.2
White-spotted Fantail,Rhipidura albogularis,Rhipidura albogularis,7.2
White-browed Fantail,Rhipidura aureola,Rhipidura aureola,7.5
Black-naped Monarch,Hypothymis azurea,Hypothymis azurea,7.2
Indian Paradise-flycatcher,Terpsiphone paradisi,Terpsiphone paradisi,7.8
Eurasian Jay,Garrulus glandarius,Garrulus glandarius,14.1
Black-headed Jay,Garrulus lanceolatus,Garrulus lanceolatus,13.8
Yellow-billed Blue Magpie,Urocissa flavirostris,Urocissa flavirostris,13.2
Red-billed Blue Magpie,Urocissa erythroryncha,Urocissa erythroryncha,12.9
Common Green Magpie,Cissa chinensis,Cissa chinensis,9.9
Rufous Treepie,Dendrocitta vagabunda,Dendrocitta vagabunda,9.9
Grey Treepie,Dendrocitta formosae,Dendrocitta formosae,13.2
White-bellied Treepie,Dendrocitta leucogastra,Dendrocitta leucogastra,13.2
Collared Treepie,Dendrocitta frontalis,Dendrocitta frontalis,13.2
Andaman Treepie,Dendrocitta bayleii,Dendrocitta bayleii,13.8
Large-spotted Nutcracker,Nucifraga multipunctata,Nucifraga multipunctata,11.7
Red-billed Chough,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,24.6
Yellow-billed Chough,Pyrrhocorax graculus,Pyrrhocorax graculus,22.8
House Crow,Corvus splendens,Corvus splendens,14.1
Large-billed Crow,Corvus macrorhynchos,Corvus macrorhynchos,19.2
Common Raven,Corvus corax,Corvus corax,27
Rufous-tailed Lark,Ammomanes phoenicura,Ammomanes phoenicura,8.7
Ashy-crowned Sparrow Lark,Eremopterix griseus,Eremopterix griseus,8.4
Singing Bushlark,Mirafra cantillans,Mirafra javanica,8.1
Bengal Bushlark,Mirafra assamica,Mirafra assamica,8.4
Jerdon's Bushlark,Mirafra affinis,Mirafra affinis,8.7
Indian Bushlark,Mirafra erythroptera,Mirafra erythroptera,8.4
Greater Short-toed Lark,Calandrella brachydactyla,Calandrella brachydactyla,7.8
Sykes's Short-toed Lark,Calandrella dukhunensis,Calandrella dukhunensis,7.8
Sand Lark,Alaudala raytal,Alaudala raytal,9.6
Oriental Skylark,Alauda gulgula,Alauda gulgula,8.7
Crested Lark,Galerida cristata,Galerida cristata,9.6
Malabar Lark,Galerida malabarica,Galerida malabarica,9.6
Sykes's Lark,Galerida deva,Galerida deva,8.1
Grey-throated Martin,Riparia chinensis,Riparia chinensis,6.3
Eurasian Crag Martin,Ptyonoprogne rupestris,Ptyonoprogne rupestris,7.8
Dusky Crag Martin,Ptyonoprogne concolor,Ptyonoprogne concolor,7.5
Barn Swallow,Hirundo rustica,Hirundo rustica,8.7
Wire-tailed Swallow,Hirundo smithii,Hirundo smithii,7.8
Hill Swallow,Hirundo domicola,Hirundo rustica,8.7
Red-rumped Swallow,Cecropis daurica,Cecropis daurica,6
Streak-throated Swallow,Petrochelidon fluvicola,Petrochelidon fluvicola,6.3
Nepal House Martin,Delichon nipalense,Delichon nipalense,8.4
Yellow-bellied Fairy-fantail,Chelidorhynx hypoxanthus,Chelidorhynx hypoxanthus,7.2
Grey-headed Canary-flycatcher,Culicicapa ceylonensis,Culicicapa ceylonensis,6.6
Fire-capped Tit,Cephalopyrus flammiceps,Cephalopyrus flammiceps,6
Yellow-browed Tit,Sylviparus modestus,Sylviparus modestus,5.4
Sultan Tit,Melanochlora sultanea,Melanochlora sultanea,7.2
Coal Tit,Periparus ater,Periparus ater,6
Rufous-naped Tit,Periparus rufonuchalis,Periparus rufonuchalis,7.2
Rufous-vented Tit,Periparus rubidiventris,Periparus rubidiventris,8.1
Grey-crested Tit,Lophophanes dichrous,Lophophanes dichrous,8.4
Green-backed Tit,Parus monticolus,Parus monticolus,9
Cinereous Tit,Parus cinereus,Parus major,8.1
White-naped Tit,Machlolophus nuchalis,Machlolophus nuchalis,6.6
Himalayan Black-lored Tit,Machlolophus xanthogenys,Machlolophus xanthogenys,6.3
Indian Yellow Tit,Machlolophus aplonotus,Machlolophus xanthogenys,6.3
Yellow-cheeked Tit,Machlolophus spilonotus,Machlolophus spilonotus,6.3
Black-throated Tit,Aegithalos concinnus,Aegithalos concinnus,6.6
White-throated Tit,Aegithalos niveogularis,Aegithalos niveogularis,7.8
Black-browed Tit,Aegithalos iouschistos,Aegithalos iouschistos,6.6
Indian Nuthatch,Sitta castanea,Sitta castanea,7.8
Chestnut-bellied Nuthatch,Sitta cinnamoventris,Sitta cinnamoventris,6.6
Kashmir Nuthatch,Sitta cashmirensis,Sitta cashmirensis,7.2
White-tailed Nuthatch,Sitta himalayensis,Sitta himalayensis,6.9
White-cheeked Nuthatch,Sitta leucopsis,Sitta leucopsis,6.3
Velvet-fronted Nuthatch,Sitta frontalis,Sitta frontalis,7.8
Beautiful Nuthatch,Sitta formosa,Sitta formosa,7.2
Wallcreeper,Tichodroma muraria,Tichodroma muraria,7.2
Hodgson's Treecreeper,Certhia hodgsoni,Certhia hodgsoni,6.3
Bar-tailed Treecreeper,Certhia himalayana,Certhia himalayana,5.7
Rusty-flanked Treecreeper,Certhia nipalensis,Certhia nipalensis,6.3
Sikkim Treecreeper,Certhia discolor,Certhia discolor,6.3
Indian Spotted Creeper,Salpornis spilonota,Salpornis spilonota,6.6
Eurasian Wren,Troglodytes troglodytes,Troglodytes troglodytes,5.1
Brown Dipper,Cinclus pallasii,Cinclus pallasii,7.8
Grey-headed Bulbul,Brachypodius priocephalus,Brachypodius priocephalus,12.6
Andaman Bulbul,Brachypodius fuscoflavescens,Brachypodius fuscoflavescens,11.4
Black-crested Bulbul,Pycnonotus flaviventris,Rubigula flaviventris,13.2
Flame-throated Bulbul,Pycnonotus gularis,Rubigula gularis,13.2
Striated Bulbul,Pycnonotus striatus,Alcurus striatus,9.6
Red-vented Bulbul,Pycnonotus cafer,Pycnonotus cafer,10.5
Red-whiskered Bulbul,Pycnonotus jocosus,Pycnonotus jocosus,16.5
White-eared Bulbul,Pycnonotus leucotis,Pycnonotus leucotis,9.9
Himalayan Bulbul,Pycnonotus leucogenis,Pycnonotus leucogenys,10.5
Yellow-throated Bulbul,Pycnonotus xantholaemus,Pycnonotus xantholaemus,9.9
White-browed Bulbul,Pycnonotus luteolus,Pycnonotus luteolus,10.5
White-throated Bulbul,Alophoixus flaveolus,Alophoixus flaveolus,9.6
Indian Olive Bulbul,Iole cacharensis,Iole viridescens,9
Yellow-browed Bulbul,Acritillas indica,Acritillas indica,9
Black Bulbul,Hypsipetes leucocephalus,Hypsipetes leucocephalus,12
Square-tailed Bulbul,Hypsipetes ganeesa,Hypsipetes ganeesa,12
Nicobar Bulbul,Ixos nicobariensis,Ixos nicobariensis,12.3
Ashy Bulbul,Hemixos flavala,Hemixos flavala,9.9
Mountain Bulbul,Ixos mcclellandii,Ixos mcclellandii,8.4
Scaly-breasted Wren Babbler,Pnoepyga albiventer,Pnoepyga albiventer,7.8
Nepal Wren Babbler,Pnoepyga immaculata,Pnoepyga immaculata,7.8
Pygmy Wren Babbler,Pnoepyga pusilla,Pnoepyga pusilla,7.2
Pale-footed Bush Warbler,Hemitesia pallidipes,Hemitesia pallidipes,6.3
Grey-bellied Tesia,Tesia cyaniventer,Tesia cyaniventer,6
Slaty-bellied Tesia,Tesia olivea,Tesia olivea,5.7
Grey-sided Bush Warbler,Cettia brunnifrons,Cettia brunnifrons,6
Chestnut-headed Tesia,Cettia castaneocoronata,Cettia castaneocoronata,7.2
Yellow-bellied Warbler,Abroscopus superciliaris,Abroscopus superciliaris,6
Black-faced Warbler,Abroscopus schisticeps,Abroscopus schisticeps,5.7
Mountain Tailorbird,Phyllergates cucullatus,Phyllergates cucullatus,5.7
Broad-billed Warbler,Tickellia hodgsoni,Tickellia hodgsoni,6.3
Brownish-flanked Bush Warbler,Horornis fortipes,Horornis fortipes,6.3
Hume's Bush Warbler,Horornis brunnescens,Horornis brunnescens,6
Aberrant Bush Warbler,Horornis flavolivaceus,Horornis flavolivaceus,6
Ashy-throated Warbler,Phylloscopus maculipennis,Phylloscopus maculipennis,5.7
Buff-barred Warbler,Phylloscopus pulcher,Phylloscopus pulcher,6.9
Yellow-browed Warbler,Phylloscopus inornatus,Phylloscopus inornatus,5.7
Hume's Leaf Warbler,Phylloscopus humei,Phylloscopus humei,6.9
Brooks's Leaf Warbler,Phylloscopus subviridis,Phylloscopus subviridis,6.9
Lemon-rumped Warbler,Phylloscopus chloronotus,Phylloscopus chloronotus,6.9
Tytler's Leaf Warbler,Phylloscopus tytleri,Phylloscopus tytleri,6.9
Sulphur-bellied Warbler,Phylloscopus griseolus,Phylloscopus griseolus,6.9
Tickell's Leaf Warbler,Phylloscopus affinis,Phylloscopus affinis,6.9
Dusky Warbler,Phylloscopus fuscatus,Phylloscopus fuscatus,7.2
Smoky Warbler,Phylloscopus fuligiventer,Phylloscopus fuligiventer,6.9
Kashmir Chiffchaff,Phylloscopus sindianus,Phylloscopus sindianus,7.2
Common Chiffchaff,Phylloscopus collybita,Phylloscopus tristis,5.7
White-spectacled Warbler,Phylloscopus intermedius,Phylloscopus intermedius,6.9
Grey-cheeked Warbler,Phylloscopus poliogenys,Phylloscopus poliogenys,6.9
Green-crowned Warbler,Phylloscopus burkii,Phylloscopus burkii,6.9
Whistler's Warbler,Phylloscopus whistleri,Phylloscopus whistleri,6.9
Green Leaf Warbler,Phylloscopus nitidus,Phylloscopus nitidus,5.7
Greenish Leaf Warbler,Phylloscopus trochiloides,Phylloscopus trochiloides,4.8
Large-billed Leaf Warbler,Phylloscopus magnirostris,Phylloscopus magnirostris,7.2
Chestnut-crowned Warbler,Phylloscopus castaniceps,Phylloscopus castaniceps,6.9
Yellow-vented Leaf Warbler,Phylloscopus cantator,Phylloscopus cantator,5.7
Western Crowned Leaf Warbler,Phylloscopus occipitalis,Phylloscopus occipitalis,7.2
Blyth's Leaf Warbler,Phylloscopus reguloides,Phylloscopus reguloides,6.9
Grey-hooded Leaf Warbler,Phylloscopus xanthoschistos,Phylloscopus xanthoschistos,6.9
Thick-billed Warbler,Arundinax aedon,Arundinax aedon,7.8
Booted Warbler,Iduna caligata,Iduna caligata,5.7
Sykes's Warbler,Iduna rama,Iduna rama,6.9
Paddyfield Warbler,Acrocephalus agricola,Acrocephalus agricola,6.6
Blyth's Reed Warbler,Acrocephalus dumetorum,Acrocephalus dumetorum,6.9
Clamorous Reed Warbler,Acrocephalus stentoreus,Acrocephalus stentoreus,8.4
Striated Grassbird,Megalurus palustris,Megalurus palustris,8.4
Broad-tailed Grassbird,Schoenicola platyurus,Schoenicola platyurus,7.8
West Himalayan Bush Warbler,Locustella kashmirensis,Locustella kashmirensis,6
Spotted Bush Warbler,Locustella thoracica,Locustella thoracica,6
Bristled Grassbird,Chaetornis striata,Chaetornis striata,7.8
Common Tailorbird,Orthotomus sutorius,Orthotomus sutorius,6
Striated Prinia,Prinia crinigera,Prinia crinigera,6
Black-throated Prinia,Prinia atrogularis,Prinia atrogularis,6.3
Grey-crowned Prinia,Prinia cinereocapilla,Prinia cinereocapilla,6.9
Rufous-fronted Prinia,Prinia buchanani,Prinia buchanani,6.6
Grey-breasted Prinia,Prinia hodgsonii,Prinia hodgsonii,6.3
Graceful Prinia,Prinia gracilis,Prinia gracilis,6.6
Jungle Prinia,Prinia sylvatica,Prinia sylvatica,7.8
Yellow-bellied Prinia,Prinia flaviventris,Prinia flaviventris,6.6
Ashy Prinia,Prinia socialis,Prinia socialis,6.6
Plain Prinia,Prinia inornata,Prinia inornata,6.6
Zitting Cisticola,Cisticola juncidis,Cisticola juncidis,6.6
Golden-headed Cisticola,Cisticola exilis,Cisticola exilis,6.3
Lesser Whitethroat,Sylvia curruca,Sylvia curruca,6.3
Eastern Orphean Warbler,Sylvia crassirostris,Sylvia crassirostris,6.6
Fire-tailed Myzornis,Myzornis pyrrhoura,Myzornis pyrrhoura,7.2
Yellow-eyed Babbler,Chrysomma sinense,Chrysomma sinense,7.2
Jerdon's Babbler,Chrysomma altirostre,Chrysomma altirostre,8.1
White-browed Fulvetta,Fulvetta vinipectus,Fulvetta vinipectus,7.2
White-breasted Parrotbill,Psittiparus ruficeps,Psittiparus ruficeps,6
Black-breasted Parrotbill,Paradoxornis flavirostris,Paradoxornis flavirostris,8.4
Lesser Rufous-headed Parrotbill,Chleuasicus atrosuperciliaris,Chleuasicus atrosuperciliaris,8.4
Black-throated Parrotbill,Suthora nipalensis,Suthora nipalensis,6.3
Striated Yuhina,Yuhina castaniceps,Yuhina castaniceps,7.8
White-naped Yuhina,Yuhina bakeri,Yuhina bakeri,8.7
Whiskered Yuhina,Yuhina flavicollis,Yuhina flavicollis,8.7
Stripe-throated Yuhina,Yuhina gularis,Yuhina gularis,8.4
Rufous-vented Yuhina,Yuhina occipitalis,Yuhina occipitalis,9
Black-chinned Yuhina,Yuhina nigrimenta,Yuhina nigrimenta,8.1
Oriental White-eye,Zosterops palpebrosus,Zosterops palpebrosus,6
Chestnut-capped Babbler,Timalia pileata,Timalia pileata,7.2
Pin-striped Tit Babbler,Mixornis gularis,Mixornis gularis,6.6
Tawny-bellied Babbler,Dumetia hyperythra,Dumetia hyperythra,7.2
Dark-fronted Babbler,Rhopocichla atriceps,Rhopocichla atriceps,8.4
Golden Babbler,Cyanoderma chrysaeum,Cyanoderma chrysaeum,6.6
Black-chinned Babbler,Cyanoderma pyrrhops,Cyanoderma pyrrhops,6.9
Rufous-capped Babbler,Cyanoderma ruficeps,Cyanoderma ruficeps,6.6
Buff-chested Babbler,Cyanoderma ambiguum,Cyanoderma rufifrons,6.3
Rufous-throated Wren Babbler,Spelaeornis caudatus,Spelaeornis caudatus,6.9
Mishmi Wren Babbler,Spelaeornis badeigularis,Spelaeornis badeigularis,6.6
Bar-winged Wren Babbler,Spelaeornis troglodytoides,Spelaeornis troglodytoides,6.6
Naga Wren Babbler,Spelaeornis chocolatinus,Spelaeornis chocolatinus,7.5
Tawny-breasted Wren Babbler,Spelaeornis longicaudatus,Spelaeornis longicaudatus,7.5
Slender-billed Scimitar Babbler,Pomatorhinus superciliaris,Pomatorhinus superciliaris,7.8
Streak-breasted Scimitar Babbler,Pomatorhinus ruficollis,Pomatorhinus ruficollis,7.8
Indian Scimitar Babbler,Pomatorhinus horsfieldii,Pomatorhinus horsfieldii,9.3
White-browed Scimitar Babbler,Pomatorhinus schisticeps,Pomatorhinus schisticeps,8.7
Rusty-cheeked Scimitar Babbler,Erythrogenys erythrogenys,Erythrogenys erythrogenys,9.6
Spot-breasted Scimitar Babbler,Erythrogenys mcclellandi,Erythrogenys mcclellandi,9.6
Snowy-throated Babbler,Stachyris oglei,Stachyris oglei,6.9
Sikkim Wedge-billed Babbler,Stachyris humei,Stachyris humei,7.5
Cachar Wedge-billed Babbler,Stachyris roberti,Stachyris roberti,7.8
White-hooded Babbler,Gampsorhynchus rufulus,Gampsorhynchus rufulus,8.7
Yellow-throated Fulvetta,Schoeniparus cinereus,Schoeniparus cinereus,6.6
Rufous-throated Fulvetta,Schoeniparus rufogularis,Schoeniparus rufogularis,6.9
Rufous-vented Grass Babbler,Laticilla burnesii,Laticilla burnesii,6.6
Swamp Grass Babbler,Laticilla cinerascens,Laticilla cinerascens,6.6
Puff-throated Babbler,Pellorneum ruficeps,Pellorneum ruficeps,8.1
Marsh Babbler,Pellorneum palustre,Pellorneum palustre,7.2
Long-billed Wren Babbler,Rimator malacoptilus,Rimator malacoptilus,7.2
Abbott's Babbler,Malacocincla abbotti,Malacocincla abbotti,6.6
Indian Grass Babbler,Graminicola bengalensis,Graminicola bengalensis,7.2
Ludlow's Fulvetta,Fulvetta ludlowi,Fulvetta ludlowi,6.6
Quaker Tit Babbler,Alcippe poioicephala,Alcippe poioicephala,7.8
Nepal Tit Babbler,Alcippe nipalensis,Alcippe nipalensis,6.6
Striated Laughingthrush,Grammatoptila striata,Grammatoptila striata,14.7
Himalayan Cutia,Cutia nipalensis,Cutia nipalensis,9.3
Common Babbler,Argya caudata,Argya caudata,16.5
Striated Babbler,Argya earlei,Argya earlei,15
Slender-billed Babbler,Chatarrhaea longirostris,Chatarrhaea longirostris,8.1
Large Grey Babbler,Argya malcolmi,Argya malcolmi,16.2
Rufous Babbler,Argya subrufa,Argya subrufa,15.6
Jungle Babbler,Turdoides striata,Turdoides striata,11.7
Yellow-billed Babbler,Turdoides affinis,Turdoides affinis,10.5
White-crested Laughingthrush,Garrulax leucolophus,Garrulax leucolophus,12.3
Lesser Necklaced Laughingthrush,Garrulax monileger,Garrulax monileger,8.7
Spot-breasted Laughingthrush,Garrulax merulinus,Garrulax merulinus,12.6
Moustached Laughingthrush,Garrulax cineraceus,Garrulax cineraceus,9.3
Rufous-chinned Laughingthrush,Garrulax rufogularis,Garrulax rufogularis,9
Greater Necklaced Laughingthrush,Garrulax pectoralis,Garrulax pectoralis,12.3
White-throated Laughingthrush,Garrulax albogularis,Garrulax albogularis,12.6
Rufous-necked Laughingthrush,Garrulax ruficollis,Garrulax ruficollis,8.7
Chestnut-backed Laughingthrush,Garrulax nuchalis,Garrulax nuchalis,12.3
Yellow-throated Laughingthrush,Garrulax galbanus,Garrulax galbanus,9
Wayanad Laughingthrush,Garrulax delesserti,Garrulax delesserti,12.6
Rufous-vented Laughingthrush,Garrulax gularis,Garrulax gularis,12.6
Grey-sided Laughingthrush,Garrulax caerulatus,Garrulax caerulatus,12.9
Streaked Laughingthrush,Trochalopteron lineatum,Trochalopteron lineatum,9
Bhutan Laughingthrush,Trochalopteron imbricatum,Trochalopteron imbricatum,9.3
Striped Laughingthrush,Trochalopteron virgatum,Trochalopteron virgatum,9.9
Scaly Laughingthrush,Trochalopteron subunicolor,Trochalopteron subunicolor,9
Brown-capped Laughingthrush,Trochalopteron austeni,Trochalopteron austeni,9.6
Blue-winged Laughingthrush,Trochalopteron squamatum,Trochalopteron squamatum,13.5
Variegated Laughingthrush,Trochalopteron variegatum,Trochalopteron variegatum,12.6
Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum,Trochalopteron erythrocephalum,13.5
Assam Laughingthrush,Trochalopteron chrysopterum,Trochalopteron chrysopterum,13.2
Banasura Laughingthrush,Montecincla jerdoni,Montecincla jerdoni,18
Nilgiri Laughingthrush,Montecincla cachinnans,Montecincla cachinnans,18
Palani Laughingthrush,Montecincla fairbanki,Montecincla fairbanki,18
Ashambu Laughingthrush,Montecincla meridionalis,Montecincla meridionalis,18
Rufous Sibia,Heterophasia capistrata,Heterophasia capistrata,8.7
Grey Sibia,Heterophasia gracilis,Heterophasia gracilis,8.7
Beautiful Sibia,Heterophasia pulchella,Heterophasia pulchella,12
Silver-eared Mesia,Leiothrix argentauris,Leiothrix argentauris,10.5
Red-billed Leiothrix,Leiothrix lutea,Leiothrix lutea,13.5
Red-tailed Minla,Minla ignotincta,Minla ignotincta,7.5
Rufous-backed Sibia,Leioptila annectens,Leioptila annectens,8.7
Bugun Liocichla,Liocichla bugunorum,Liocichla bugunorum,9
Red-faced Liocichla,Liocichla phoenicea,Liocichla phoenicea,9.6
Hoary-throated Barwing,Sibia nipalensis,Sibia nipalensis,10.2
Streak-throated Barwing,Sibia waldeni,Sibia waldeni,10.5
Rusty-fronted Barwing,Actinodura egertoni,Actinodura egertoni,8.4
Blue-winged Minla,Siva cyanouroptera,Siva cyanouroptera,7.8
Chestnut-tailed Minla,Chrysominla strigula,Chrysominla strigula,8.1
Asian Fairy-bluebird,Irena puella,Irena puella,14.1
Dark-sided Flycatcher,Muscicapa sibirica,Muscicapa sibirica,6.3
Asian Brown Flycatcher,Muscicapa dauurica,Muscicapa dauurica,6.3
Brown-breasted Flycatcher,Muscicapa muttui,Muscicapa muttui,5.7
Indian Robin,Saxicoloides fulicatus,Saxicoloides fulicatus,7.2
Oriental Magpie Robin,Copsychus saularis,Copsychus saularis,7.2
White-rumped Shama,Kittacincla malabarica,Kittacincla malabarica,6.6
Andaman Shama,Kittacincla albiventris,Kittacincla albiventris,6.6
White-gorgeted Flycatcher,Anthipes monileger,Anthipes monileger,6.3
Nilgiri Sholakili,Sholicola major,Sholicola major,8.4
White-bellied Sholakili,Sholicola albiventris,Sholicola albiventris,9
White-bellied Blue Flycatcher,Cyornis pallidipes,Cyornis pallidipes,6.9
Pale-chinned Flycatcher,Cyornis poliogenys,Cyornis poliogenys,7.8
Blue-throated Flycatcher,Cyornis rubeculoides,Cyornis rubeculoides,6.6
Large Blue Flycatcher,Cyornis magnirostris,Cyornis magnirostris,6.9
Tickell's Blue Flycatcher,Cyornis tickelliae,Cyornis tickelliae,6.9
Nicobar Jungle Flycatcher,Cyornis nicobaricus,Cyornis nicobaricus,6.6
Large Niltava,Niltava grandis,Niltava grandis,8.4
Small Niltava,Niltava macgrigoriae,Niltava macgrigoriae,6.6
Rufous-bellied Niltava,Niltava sundara,Niltava sundara,7.2
Nilgiri Flycatcher,Eumyias albicaudatus,Eumyias albicaudatus,7.8
Verditer Flycatcher,Eumyias thalassinus,Eumyias thalassinus,7.2
Rusty-bellied Shortwing,Brachypteryx hyperythra,Brachypteryx hyperythra,13.2
Gould's Shortwing,Heteroxenicus stellatus,Heteroxenicus stellatus,8.4
Lesser Shortwing,Brachypteryx leucophris,Brachypteryx leucophris,7.8
Indian Blue Robin,Larvivora brunnea,Larvivora brunnea,7.2
Bluethroat,Luscinia svecica,Cyanecula svecica,8.4
Malabar Whistling Thrush,Myophonus horsfieldii,Myophonus horsfieldii,14.1
Blue Whistling Thrush,Myophonus caeruleus,Myophonus caeruleus,12.9
Little Forktail,Enicurus scouleri,Enicurus scouleri,7.8
Spotted Forktail,Enicurus maculatus,Enicurus maculatus,8.4
Black-backed Forktail,Enicurus immaculatus,Enicurus immaculatus,8.1
Slaty-backed Forktail,Enicurus schistaceus,Enicurus schistaceus,8.4
Siberian Rubythroat,Calliope calliope,Calliope calliope,6
Himalayan Rubythroat,Calliope pectoralis,Calliope pectoralis,7.2
Chinese Rubythroat,Calliope tschebaiewi,Calliope tschebaiewi,7.2
White-tailed Robin,Myiomela leucura,Myiomela leucura,7.2
Blue-fronted Robin,Cinclidium frontale,Cinclidium frontale,8.1
Himalayan Bush Robin,Tarsiger rufilatus,Tarsiger rufilatus,7.2
Rufous-breasted Bush Robin,Tarsiger hyperythrus,Tarsiger hyperythrus,6.9
Golden Bush Robin,Tarsiger chrysaeus,Tarsiger chrysaeus,7.2
Black-and-orange Flycatcher,Ficedula nigrorufa,Ficedula nigrorufa,7.2
Slaty-blue Flycatcher,Ficedula tricolor,Ficedula tricolor,7.8
Snowy-browed Flycatcher,Ficedula hyperythra,Ficedula hyperythra,7.8
Pygmy Blue Flycatcher,Ficedula hodgsoni,Ficedula hodgsoni,7.8
Rufous-gorgeted Flycatcher,Ficedula strophiata,Ficedula strophiata,8.4
Sapphire Flycatcher,Ficedula sapphira,Ficedula sapphira,7.2
Little Pied Flycatcher,Ficedula westermanni,Ficedula westermanni,7.8
Ultramarine Flycatcher,Ficedula superciliaris,Ficedula superciliaris,7.2
Rusty-tailed Flycatcher,Ficedula ruficauda,Ficedula ruficauda,8.4
Taiga Flycatcher,Ficedula albicilla,Ficedula albicilla,8.4
Kashmir Flycatcher,Ficedula subrubra,Ficedula subrubra,7.8
Red-breasted Flycatcher,Ficedula parva,Ficedula parva,7.8
Blue-fronted Redstart,Phoenicurus frontalis,Phoenicurus frontalis,7.8
Plumbeous Water Redstart,Phoenicurus fuliginosus,Phoenicurus fuliginosus,7.8
White-capped Water Redstart,Phoenicurus leucocephalus,Phoenicurus leucocephalus,8.4
Blue-capped Redstart,Phoenicurus coeruleocephala,Phoenicurus coeruleocephala,7.8
White-winged Redstart,Phoenicurus erythrogastrus,Phoenicurus erythrogastrus,8.4
Black Redstart,Phoenicurus ochruros,Phoenicurus ochruros,8.4
Chestnut-bellied Rock Thrush,Monticola rufiventris,Monticola rufiventris,9
Blue-capped Rock Thrush,Monticola cinclorhyncha,Monticola cinclorhyncha,8.4
Blue Rock Thrush,Monticola solitarius,Monticola solitarius,9
Stoliczka's Bushchat,Saxicola macrorhynchus,Saxicola macrorhynchus,6.9
Hodgson's Bushchat,Saxicola insignis,Saxicola insignis,6.9
Siberian Stonechat,Saxicola maurus,Saxicola torquatus,6
Pied Bushchat,Saxicola caprata,Saxicola caprata,6.9
Grey Bushchat,Saxicola ferreus,Saxicola ferreus,6
Brown Rock Chat,Oenanthe fusca,Oenanthe fusca,6
Variable Wheatear,Oenanthe picata,Oenanthe picata,6.9
Desert Wheatear,Oenanthe deserti,Oenanthe deserti,6
Isabelline Wheatear,Oenanthe isabellina,Oenanthe isabellina,7.2
Grandala,Grandala coelicolor,Grandala coelicolor,10.5
Long-tailed Thrush,Zoothera dixoni,Zoothera dixoni,12.3
Alpine Thrush,Zoothera mollissima,Zoothera mollissima,9.6
Dark-sided Thrush,Zoothera marginata,Zoothera marginata,9.9
Long-billed Thrush,Zoothera monticola,Zoothera monticola,13.2
Scaly Thrush,Zoothera dauma,Zoothera dauma,8.7
Nilgiri Thrush,Zoothera neilgherriensis,Zoothera dauma,8.7
Purple Cochoa,Cochoa purpurea,Cochoa purpurea,14.1
Pied Thrush,Geokichla wardii,Geokichla wardii,9
Orange-headed Thrush,Geokichla citrina,Geokichla citrina,9.6
Mistle Thrush,Turdus viscivorus,Turdus viscivorus,13.8
Grey-winged Blackbird,Turdus boulboul,Turdus boulboul,10.2
Indian Blackbird,Turdus simillimus,Turdus simillimus,9.9
Tickell's Thrush,Turdus unicolor,Turdus unicolor,10.5
Tibetan Blackbird,Turdus maximus,Turdus maximus,9.9
White-collared Blackbird,Turdus albocinctus,Turdus albocinctus,11.1
Common Hill Myna,Gracula religiosa,Gracula religiosa,15.3
Southern Hill Myna,Gracula indica,Gracula indica,15.3
Common Starling,Sturnus vulgaris,Sturnus vulgaris,17.4
Rosy Starling,Pastor roseus,Pastor roseus,9
Asian Pied Starling,Gracupica contra,Gracupica contra,7.2
Brahminy Starling,Sturnia pagodarum,Sturnia pagodarum,7.5
Chestnut-tailed Starling,Sturnia malabarica,Sturnia malabarica,7.8
Malabar Starling,Sturnia blythii,Sturnia malabarica,7.8
White-headed Starling,Sturnia erythropygia,Sturnia erythropygia,7.8
Common Myna,Acridotheres tristis,Acridotheres tristis,9.6
Bank Myna,Acridotheres ginginianus,Acridotheres ginginianus,7.2
Jungle Myna,Acridotheres fuscus,Acridotheres fuscus,9
