English Name,Scientific Name,BLI,GEN
Lesser Coucal,Centropus bengalensis,Centropus bengalensis,11.7
Sirkeer Malkoha,Taccocua leschenaultii,Taccocua leschenaultii,15.3
Blue-faced Malkoha,Phaenicophaeus viridirostris,Phaenicophaeus viridirostris,13.8
Green-billed Malkoha,Phaenicophaeus tristis,Phaenicophaeus tristis,13.8
Pied Cuckoo,Clamator jacobinus,Clamator jacobinus,5.7
Asian Koel,Eudynamys scolopaceus,Eudynamys scolopaceus,14.4
Banded Bay Cuckoo,Cacomantis sonneratii,Cacomantis sonneratii,12.6
Plaintive Cuckoo,Cacomantis merulinus,Cacomantis merulinus,9.6
Grey-bellied Cuckoo,Cacomantis passerinus,Cacomantis passerinus,9.6
Fork-tailed Drongo Cuckoo,Surniculus dicruroides,Surniculus dicruroides,7.5
Square-tailed Drongo Cuckoo,Surniculus lugubris,Surniculus lugubris,12.6
Large Hawk Cuckoo,Hierococcyx sparverioides,Hierococcyx sparverioides,15.9
Common Hawk Cuckoo,Hierococcyx varius,Hierococcyx varius,14.7
Lesser Cuckoo,Cuculus poliocephalus,Cuculus poliocephalus,9.9
Indian Cuckoo,Cuculus micropterus,Cuculus micropterus,11.1
Himalayan Cuckoo,Cuculus saturatus,Cuculus saturatus,11.4
Common Cuckoo,Cuculus canorus,Cuculus canorus,11.7
White-rumped Spinetail,Zoonavena sylvatica,Zoonavena sylvatica,6.9
Brown-backed Needletail,Hirundapus giganteus,Hirundapus giganteus,12
Glossy Swiftlet,Collocalia esculenta,Collocalia esculenta,12.3
Indian Swiftlet,Aerodramus unicolor,Aerodramus unicolor,8.4
Himalayan Swiftlet,Aerodramus brevirostris,Aerodramus brevirostris,7.8
Alpine Swift,Tachymarptis melba,Tachymarptis melba,21.9
Blyth's Swift,Apus leuconyx,Apus pacificus,14.1
Dark-rumped Swift,Apus acuticauda,Apus acuticauda,12
Indian House Swift,Apus affinis,Apus affinis,11.4
Asian Palm Swift,Cypsiurus balasiensis,Cypsiurus balasiensis,7.5
Crested Treeswift,Hemiprocne coronata,Hemiprocne coronata,9.9
Slaty-breasted Rail,Lewinia striata,Lewinia striata,9.6
Common Moorhen,Gallinula chloropus,Gallinula chloropus,12.6
Common Coot,Fulica atra,Fulica atra,15.9
Purple Swamphen,Porphyrio porphyrio,Porphyrio porphyrio,12.6
Watercock,Gallicrex cinerea,Gallicrex cinerea,12
White-breasted Waterhen,Amaurornis phoenicurus,Amaurornis phoenicurus,10.5
Andaman Crake,Rallina canningi,Rallina canningi,11.1
Slaty-legged Crake,Rallina eurizonoides,Rallina eurizonoides,7.2
Ruddy-breasted Crake,Zapornia fusca,Zapornia fusca,7.2
Brown Crake,Zapornia akool,Zapornia akool,7.8
Baillon's Crake,Zapornia pusilla,Zapornia pusilla,6.3
Black-tailed Crake,Zapornia bicolor,Zapornia bicolor,7.5
Demoiselle Crane,Grus virgo,Anthropoides virgo,34.2
Sarus Crane,Antigone antigone,Antigone antigone,59.7
Common Crane,Grus grus,Grus grus,50.7
Black-necked Crane,Grus nigricollis,Grus nigricollis,39.3
Indian Thick-knee,Burhinus indicus,Burhinus indicus,19.8
Great Thick-knee,Esacus recurvirostris,Esacus recurvirostris,24.3
Black-winged Stilt,Himantopus himantopus,Himantopus himantopus,20.1
Pied Avocet,Recurvirostra avosetta,Recurvirostra avosetta,20.1
Eurasian Oystercatcher,Haematopus ostralegus,Haematopus ostralegus,37.8
Grey Plover,Pluvialis squatarola,Pluvialis squatarola,22.8
Pacific Golden Plover,Pluvialis fulva,Pluvialis fulva,13.8
Northern Lapwing,Vanellus vanellus,Vanellus vanellus,18
River Lapwing,Vanellus duvaucelii,Vanellus duvaucelii,11.1
Yellow-wattled Lapwing,Vanellus malabaricus,Vanellus malabaricus,16.2
Grey-headed Lapwing,Vanellus cinereus,Vanellus cinereus,15.3
Red-wattled Lapwing,Vanellus indicus,Vanellus indicus,14.7
Sociable Lapwing,Vanellus gregarius,Vanellus gregarius,15.3
White-tailed Lapwing,Vanellus leucurus,Vanellus leucurus,14.7
Lesser Sand Plover,Charadrius mongolus,Charadrius mongolus,12.3
Greater Sand Plover,Charadrius leschenaultii,Charadrius leschenaultii,16.8
Kentish Plover,Charadrius alexandrinus,Charadrius alexandrinus,12.6
Little Ringed Plover,Charadrius dubius,Charadrius dubius,10.5
Greater Painted-snipe,Rostratula benghalensis,Rostratula benghalensis,12
Pheasant-tailed Jacana,Hydrophasianus chirurgus,Hydrophasianus chirurgus,9.9
Bronze-winged Jacana,Metopidius indicus,Metopidius indicus,11.1
Whimbrel,Numenius phaeopus,Numenius phaeopus,20.7
Eurasian Curlew,Numenius arquata,Numenius arquata,28.2
Bar-tailed Godwit,Limosa lapponica,Limosa lapponica,27.3
Black-tailed Godwit,Limosa limosa,Limosa limosa,22.5
Ruddy Turnstone,Arenaria interpres,Arenaria interpres,18
Great Knot,Calidris tenuirostris,Calidris tenuirostris,21.9
Ruff,Calidris pugnax,Calidris pugnax,19.5
Broad-billed Sandpiper,Calidris falcinellus,Calidris falcinellus,11.7
